code,name,pe,pb,eps,2018-06,2018-03,2017-12,2017-09,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09
ADAP,Adaptimmune Therapeutics plc,0.0,5.861617,-0.965384,-43845000.0_-116.89%_9038000.0_156.69%,-21078000.0_3.23%_8196000.0_186.87%,-27263000.0_-76.87%_4270000.0_-49.98%,"-878000.0_95.25%_27185000.0_1,025.21%",-43845000.0,-116.89%,9038000.0,156.69%,-21078000.0,3.23%,8196000.0,186.87%,-27263000.0,-76.87%,4270000.0,-49.98%,-878000.0,95.25%,27185000.0,"1,025.21%"
TRPX,Therapix Biosciences Ltd.,0.0,2.714642,-13.694679999999998,-1214000.0_34.87%_0_0,-2048000.0_-222.01%_0_0,-2712000.0_-528.59%_0_0,-1032000.0_49.46%_0_0,-1214000.0,34.87%,0,0,-2048000.0,-222.01%,0,0,-2712000.0,-528.59%,0,0,-1032000.0,49.46%,0,0
BRY,Berry Petroleum Corp,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLGN,Collplant Holdings Ltd.,0.0,7.271128,-2.26235,0_0_0_0,-7240000.0_-39.45%_779000.0_209.13%,-5912000.0_16.11%_952000.0_376.00%,-3931000.0_42.45%_263000.0_185.87%,0,0,0,0,-7240000.0,-39.45%,779000.0,209.13%,-5912000.0,16.11%,952000.0,376.00%,-3931000.0,42.45%,263000.0,185.87%
FTEK,燃料技术,0.0,0.8349850000000001,-0.14605,-1753000.0_74.42%_11847000.0_21.62%,-216000.0_91.38%_12791000.0_50.64%,-1206000.0_86.75%_13386000.0_39.90%,-417000.0_86.19%_13548000.0_7.56%,-1753000.0,74.42%,11847000.0,21.62%,-216000.0,91.38%,12791000.0,50.64%,-1206000.0,86.75%,13386000.0,39.90%,-417000.0,86.19%,13548000.0,7.56%
PTIE,Pain Therapeutics,0.0,1.919862,-1.449956,-2452000.0_41.06%_0_0,-2160000.0_21.25%_0_0,-2418000.0_4.12%_0_0,-2590000.0_26.38%_0_0,-2452000.0,41.06%,0,0,-2160000.0,21.25%,0,0,-2418000.0,4.12%,0,0,-2590000.0,26.38%,0,0
IVTY,"Invuity, Inc.",0.0,40.776599,-1.940173,-8950000.0_13.83%_10501000.0_7.50%,-11197000.0_15.28%_9505000.0_5.34%,-7407000.0_22.43%_11228000.0_20.02%,-8907000.0_-0.97%_9600000.0_13.23%,-8950000.0,13.83%,10501000.0,7.50%,-11197000.0,15.28%,9505000.0,5.34%,-7407000.0,22.43%,11228000.0,20.02%,-8907000.0,-0.97%,9600000.0,13.23%
KZIA,Kazia Therapeutics Limited,0.0,0.88323,-0.9932799999999999,0_0_0_0,0_0_0_0,212399.99999999997_110.16%_33100.0_-53.77%,212399.99999999997_110.16%_33100.0_-53.77%,0,0,0,0,0,0,0,0,212399.99999999997,110.16%,33100.0,-53.77%,212399.99999999997,110.16%,33100.0,-53.77%
IDRA,井寺制药,0.0,2.929305,-2.794715,-16031000.0_25.34%_163000.0_-12.83%,-20095000.0_-33.46%_255000.0_-32.54%,"-14926000.0_-1,915.82%_173000.0_-98.87%",-14530000.0_-12.61%_164000.0_-49.23%,-16031000.0,25.34%,163000.0,-12.83%,-20095000.0,-33.46%,255000.0,-32.54%,-14926000.0,"-1,915.82%",173000.0,-98.87%,-14530000.0,-12.61%,164000.0,-49.23%
CTRN,Citi Trends,22.038904000000002,2.295628,1.522308,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVGR,"Avinger, Inc.",0.0,2.435885,-36.563373999999996,-5799000.0_54.69%_2058000.0_-16.31%,-10281000.0_32.98%_1809000.0_-48.18%,-10150000.0_24.80%_1913000.0_-59.12%,-10443000.0_19.48%_2071000.0_-61.04%,-5799000.0,54.69%,2058000.0,-16.31%,-10281000.0,32.98%,1809000.0,-48.18%,-10150000.0,24.80%,1913000.0,-59.12%,-10443000.0,19.48%,2071000.0,-61.04%
ICHR,Ichor Holdings Ltd.,7.883942,2.429648,3.064457,28040000.0_184.38%_249000000.00000003_55.87%,16721000.0_30.23%_258000000.0_73.52%,19464000.0_145.97%_183000000.0_39.21%,14290000.0_86.21%_165000000.0_55.67%,28040000.0,184.38%,249000000.00000003,55.87%,16721000.0,30.23%,258000000.0,73.52%,19464000.0,145.97%,183000000.0,39.21%,14290000.0,86.21%,165000000.0,55.67%
LMFA,"LM Funding America, Inc",0.0,1.757264,-2.1334150000000003,455200.00000000006_157.30%_0_0,-8920.0_97.79%_0_0,-2725899.9999999995_-419.85%_0_0,-4703900.0_-414.55%_0_0,455200.00000000006,157.30%,0,0,-8920.0,97.79%,0,0,-2725899.9999999995,-419.85%,0,0,-4703900.0,-414.55%,0,0
ARCI,Appliance Recycling Centers Of America,0.0,0.228481,-1.043672,-1409000.0_-173.65%_8373000.0_-22.07%,-1475000.0_-175.84%_8913000.0_19.64%,0_0_0_0,687000.0_-39.47%_25484000.0_-6.84%,-1409000.0,-173.65%,8373000.0,-22.07%,-1475000.0,-175.84%,8913000.0,19.64%,0,0,0,0,687000.0,-39.47%,25484000.0,-6.84%
PTLA,Portola Pharmaceuticals Inc.,0.0,8.552021,-5.74756,-106000000.0_-52.67%_4011000.0_5.91%,-84510000.0_-102.35%_6644000.0_29.56%,-91501000.0_-67.08%_9803000.0_-28.41%,-82941000.0_8.89%_3828000.0_-58.94%,-106000000.0,-52.67%,4011000.0,5.91%,-84510000.0,-102.35%,6644000.0,29.56%,-91501000.0,-67.08%,9803000.0,-28.41%,-82941000.0,8.89%,3828000.0,-58.94%
EVLO,Evelo Biosciences,0.0,2.642441,-9.350357,-15146000.0_-138.11%_0_0,-10500000.0_-95.53%_0_0,0_0_0_0,0_0_0_0,-15146000.0,-138.11%,0,0,-10500000.0,-95.53%,0,0,0,0,0,0,0,0,0,0
EIGR,"Eiger BioPharmaceuticals, Inc.",0.0,3.6130230000000005,-3.8488809999999996,-9915000.0_11.04%_0_0,-8831000.0_21.43%_0_0,-10893000.0_14.69%_0_0,-9170000.0_19.35%_0_0,-9915000.0,11.04%,0,0,-8831000.0,21.43%,0,0,-10893000.0,14.69%,0,0,-9170000.0,19.35%,0,0
CDMO,"Avid Bioservices, Inc.",0.0,8.143281,-0.563053,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FVE,Five Star Quality Care,0.0,0.42447700000000005,-0.7355729999999999,-20894000.0_-221.15%_275000000.0_-3.43%,-7949000.0_-17.12%_278000000.0_-2.74%,-1006000.0_82.12%_283000000.0_-0.56%,-6603000.0_-11.97%_283000000.0_0.16%,-20894000.0,-221.15%,275000000.0,-3.43%,-7949000.0,-17.12%,278000000.0,-2.74%,-1006000.0,82.12%,283000000.0,-0.56%,-6603000.0,-11.97%,283000000.0,0.16%
ALSK,阿拉斯加通信系统,35.88715,0.629734,0.054337,3402000.0_220.21%_59578000.0_1.78%,2069000.0_392.23%_55972000.0_-1.34%,-2976000.0_-286.35%_54935000.0_-4.95%,284000.0_-11.25%_56703000.0_0.39%,3402000.0,220.21%,59578000.0,1.78%,2069000.0,392.23%,55972000.0,-1.34%,-2976000.0,-286.35%,54935000.0,-4.95%,284000.0,-11.25%,56703000.0,0.39%
FLDM,Fluidigm Corporation,0.0,8.915878999999999,-1.42746,-16241000.0_4.09%_26428000.0_10.52%,-13247000.0_22.99%_25248000.0_-1.12%,-10457000.0_40.91%_27744000.0_10.60%,-15944000.0_19.43%_24747000.0_11.52%,-16241000.0,4.09%,26428000.0,10.52%,-13247000.0,22.99%,25248000.0,-1.12%,-10457000.0,40.91%,27744000.0,10.60%,-15944000.0,19.43%,24747000.0,11.52%
MNOV,美第奇新星生物技术,0.0,5.8395529999999995,-0.34160100000000004,-3144100.0000000005_-12.75%_0_0,-4543100.0_-50.61%_0_0,-1602900.0_-10.60%_0_0,-3755100.0_-32.42%_0_0,-3144100.0000000005,-12.75%,0,0,-4543100.0,-50.61%,0,0,-1602900.0,-10.60%,0,0,-3755100.0,-32.42%,0,0
SMIT,Schmitt Industries,0.0,1.192194,-0.150944,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VECO,Veeco Instruments Inc,0.0,0.8913260000000001,-5.984145,"-238000000.0_-1,192.33%_158000000.0_37.12%","-15827000.0_-1,065.06%_159000000.0_67.80%",-5616000.0_-12.36%_143000000.0_53.22%,-21884000.0_68.56%_132000000.0_54.27%,-238000000.0,"-1,192.33%",158000000.0,37.12%,-15827000.0,"-1,065.06%",159000000.0,67.80%,-5616000.0,-12.36%,143000000.0,53.22%,-21884000.0,68.56%,132000000.0,54.27%
STAF,Staffing 360 Solutions Inc.,0.0,-1.17074,-5.806239,-1844000.0_-326.85%_59727000.0_41.81%,-1271000.0_58.75%_55791000.0_37.04%,"-9137000.0_-2,190.79%_59476000.0_14.03%",-5362000.0_-449.39%_50345000.0_9.56%,-1844000.0,-326.85%,59727000.0,41.81%,-1271000.0,58.75%,55791000.0,37.04%,-9137000.0,"-2,190.79%",59476000.0,14.03%,-5362000.0,-449.39%,50345000.0,9.56%
SKIS,"Peak Resorts, Inc.",0.0,0.9712780000000001,-0.017736000000000002,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TELL,Tellurian Inc.,0.0,6.197614,-0.432909,-35854000.0_-10.24%_813000.0_0,-25184000.0_82.18%_6801000.0_0,-34723000.0_-20.65%_5441000.0_0,-22864000.0_48.51%_0_0,-35854000.0,-10.24%,813000.0,0,-25184000.0,82.18%,6801000.0,0,-34723000.0,-20.65%,5441000.0,0,-22864000.0,48.51%,0,0
AMD,AMD,73.160387,26.595495,0.327773,115999999.99999999_376.19%_1755999999.9999998_52.56%,81000000.0_345.45%_1647000000.0_39.81%,61000000.0_219.61%_1480000000.0_33.82%,71000000.0_117.49%_1643000000.0_25.71%,115999999.99999999,376.19%,1755999999.9999998,52.56%,81000000.0,345.45%,1647000000.0,39.81%,61000000.0,219.61%,1480000000.0,33.82%,71000000.0,117.49%,1643000000.0,25.71%
COCP,"Cocrystal Pharma, Inc.",350.477923,1.022707,0.010985,-1343000.0_-34.03%_0_0,-1553000.0_39.05%_0_0,5197000.0_107.90%_0_0,-2260000.0_-20.15%_0_0,-1343000.0,-34.03%,0,0,-1553000.0,39.05%,0,0,5197000.0,107.90%,0,0,-2260000.0,-20.15%,0,0
RIBT,RiceBran Technologies,0.0,4.624426000000001,-0.22165900000000002,-2160000.0_-76.76%_3198000.0_1.65%,-1913000.0_16.17%_3552000.0_-1.74%,-4326000.0_-278.81%_3149000.0_-2.63%,3299000.0_405.46%_3445000.0_6.03%,-2160000.0,-76.76%,3198000.0,1.65%,-1913000.0,16.17%,3552000.0,-1.74%,-4326000.0,-278.81%,3149000.0,-2.63%,3299000.0,405.46%,3445000.0,6.03%
XSPL,"Xspand Products Lab, Inc.",0.0,5.32632,-0.570498,-726700.0_-226.65%_4387200.0_-3.26%,-1577300.0_-392.40%_3431300.0_-11.15%,1093200.0_582.26%_3389000.0_16.42%,0_0_0_0,-726700.0,-226.65%,4387200.0,-3.26%,-1577300.0,-392.40%,3431300.0,-11.15%,1093200.0,582.26%,3389000.0,16.42%,0,0,0,0
NSYS,Nortech Systems Incorporated,0.0,0.555972,-0.878575,"390000.0_2,537.50%_28538000.0_-5.30%","-391000.0_-2,506.67%_26447000.0_-6.61%","-2458800.0_-2,616.07%_25572600.000000004_-11.84%",43400.0_-31.49%_28310200.0_-4.74%,390000.0,"2,537.50%",28538000.0,-5.30%,-391000.0,"-2,506.67%",26447000.0,-6.61%,-2458800.0,"-2,616.07%",25572600.000000004,-11.84%,43400.0,-31.49%,28310200.0,-4.74%
MAG,迈力达电子,0.0,3.627711,-0.66,0_0_0_0,0_0_0_0,0_0_0_0,-786000.0_60.40%_0_0,0,0,0,0,0,0,0,0,0,0,0,0,-786000.0,60.40%,0,0
MXWL,Maxwell Technologies,0.0,1.835981,-1.150012,-11302000.0_-11.70%_29464000.0_-20.59%,-9205000.0_11.48%_28416000.0_6.48%,-8752000.0_28.08%_30763000.0_16.53%,-13860000.0_-102.19%_35816000.0_40.42%,-11302000.0,-11.70%,29464000.0,-20.59%,-9205000.0,11.48%,28416000.0,6.48%,-8752000.0,28.08%,30763000.0,16.53%,-13860000.0,-102.19%,35816000.0,40.42%
ACRS,Aclaris Therapeutics,0.0,2.747664,-3.3864199999999998,-31218000.0_-110.39%_2676000.0_0,-30229000.0_-140.70%_1118000.0_0,-22934000.0_-99.86%_999000.0_0,-18192000.0_-70.11%_684000.0_0,-31218000.0,-110.39%,2676000.0,0,-30229000.0,-140.70%,1118000.0,0,-22934000.0,-99.86%,999000.0,0,-18192000.0,-70.11%,684000.0,0
GSKY,Greensky Inc.,3.663582,167.796846,5.309012,40816000.0_5.76%_106000000.0_27.41%,18604000.0_-15.48%_85326000.0_30.59%,39032000.0_19.94%_88300000.0_23.48%,39032000.0_19.94%_88300000.0_23.48%,40816000.0,5.76%,106000000.0,27.41%,18604000.0,-15.48%,85326000.0,30.59%,39032000.0,19.94%,88300000.0,23.48%,39032000.0,19.94%,88300000.0,23.48%
REFR,Research Frontiers Incorporated,0.0,12.415645,-0.094959,-569900.0_-16.35%_324900.0_-6.70%,-793800.0_16.67%_433300.0_10.21%,-668400.0_51.75%_279400.0_0.60%,-303100.0_45.84%_488300.0_60.23%,-569900.0,-16.35%,324900.0,-6.70%,-793800.0,16.67%,433300.0,10.21%,-668400.0,51.75%,279400.0,0.60%,-303100.0,45.84%,488300.0,60.23%
DRIO,LabStyle Innovations Corp,0.0,5.855455,-0.10371099999999998,-5838000.0_54.18%_2059000.0_70.17%,-2919000.0_46.07%_1756000.0_74.38%,-3265000.0_15.44%_1578000.0_88.31%,-2978000.0_-387.40%_1375000.0_88.87%,-5838000.0,54.18%,2059000.0,70.17%,-2919000.0,46.07%,1756000.0,74.38%,-3265000.0,15.44%,1578000.0,88.31%,-2978000.0,-387.40%,1375000.0,88.87%
FORTY,配方系统,51.911771,0.834492,0.79,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USLV,Velocitysharestm 3X Long Silver,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBX,Unity Biotechnology,0.0,3.882793,-12.895897999999999,-20002000.0_-75.03%_0_0,-16133000.0_-80.58%_0_0,0_0_0_0,0_0_0_0,-20002000.0,-75.03%,0,0,-16133000.0,-80.58%,0,0,0,0,0,0,0,0,0,0
GNMK,GenMark Diagnostics,0.0,8.556835000000001,-1.041754,-16521000.0_8.16%_14941000.0_20.89%,-11423000.0_17.92%_20645000.0_64.70%,-14538000.0_-14.67%_16022000.0_7.64%,-15408000.0_-27.78%_11603000.0_7.31%,-16521000.0,8.16%,14941000.0,20.89%,-11423000.0,17.92%,20645000.0,64.70%,-14538000.0,-14.67%,16022000.0,7.64%,-15408000.0,-27.78%,11603000.0,7.31%
KOOL,热动力医疗,0.0,0.587613,-2.120923,"-27161000.0_-2,253.64%_2004000.0_-42.76%",-3370000.0_-60.71%_1867000.0_-42.59%,-183000.0_94.62%_2944000.0_-26.49%,-2587000.0_88.47%_3069000.0_-18.53%,-27161000.0,"-2,253.64%",2004000.0,-42.76%,-3370000.0,-60.71%,1867000.0,-42.59%,-183000.0,94.62%,2944000.0,-26.49%,-2587000.0,88.47%,3069000.0,-18.53%
SIEB,Siebert Financial Corp,75.220203,48.168521999999996,0.20526399999999997,1799000.0_392.88%_0_0,"1693000.0_2,818.97%_0_0",732000.0_122.81%_0_0,1001000.0_187.81%_0_0,1799000.0,392.88%,0,0,1693000.0,"2,818.97%",0,0,732000.0,122.81%,0,0,1001000.0,187.81%,0,0
NOVN,Novan Inc.,0.0,16.933467999999998,-1.4908700000000001,-7578000.0_23.35%_649000.0_-2.99%,-5217000.0_54.17%_658000.0_103.09%,-8189000.0_37.30%_621000.0_0,-7444000.0_57.40%_750000.0_0,-7578000.0,23.35%,649000.0,-2.99%,-5217000.0,54.17%,658000.0,103.09%,-8189000.0,37.30%,621000.0,0,-7444000.0,57.40%,750000.0,0
TCDA,Tricida Inc.,0.0,-8.592889,-34.520897,-25362000.0_-228.27%_0_0,-20504000.0_-828.20%_0_0,0_0_0_0,0_0_0_0,-25362000.0,-228.27%,0,0,-20504000.0,-828.20%,0,0,0,0,0,0,0,0,0,0
MVIS,维视图像,0.0,8.334448,-0.361282,-8459000.0_-53.97%_2014000.0_38.61%,-7132000.0_-19.89%_2188000.0_285.21%,-7861000.0_-46.39%_2560000.0_-11.88%,-5241000.0_-28.77%_6086000.0_52.15%,-8459000.0,-53.97%,2014000.0,38.61%,-7132000.0,-19.89%,2188000.0,285.21%,-7861000.0,-46.39%,2560000.0,-11.88%,-5241000.0,-28.77%,6086000.0,52.15%
MSON,Misonix Inc,0.0,6.852703,-0.70321,0_0_0_0,"2239100.0_1,635.26%_12439100.0_73.30%","-6856799.999999999_-1,015.32%_8323800.0_38.03%",-1212200.0_-132.28%_7280700.000000001_17.97%,0,0,0,0,2239100.0,"1,635.26%",12439100.0,73.30%,-6856799.999999999,"-1,015.32%",8323800.0,38.03%,-1212200.0,-132.28%,7280700.000000001,17.97%
HTGM,"HTG Molecular Diagnostics, Inc.",0.0,3.5403620000000005,-0.823943,-4102700.0_29.76%_4910800.0_178.90%,-5379900.0_7.50%_4158700.0_203.29%,-1922000.0_66.12%_7904200.0_442.20%,-5380800.0_17.07%_3723500.0_307.43%,-4102700.0,29.76%,4910800.0,178.90%,-5379900.0,7.50%,4158700.0,203.29%,-1922000.0,66.12%,7904200.0,442.20%,-5380800.0,17.07%,3723500.0,307.43%
RMBL,Rumbleon Inc.,0.0,15.03165,-1.191915,"-4736300.0_-150.30%_13914500.0_11,841.55%","-3613900.0_-291.58%_8080200.0_20,677.61%","-3440700.0_-2,083.37%_3444300.0_0","-2317500.0_-5,685.22%_3706100.0_0",-4736300.0,-150.30%,13914500.0,"11,841.55%",-3613900.0,-291.58%,8080200.0,"20,677.61%",-3440700.0,"-2,083.37%",3444300.0,0,-2317500.0,"-5,685.22%",3706100.0,0
NWPX,西北管道,0.0,0.906533,-1.22482,-5686000.0_-174.95%_28785000.0_0.32%,-1951000.0_49.56%_33365000.0_12.50%,-2158000.0_-136.99%_35627000.0_-9.07%,-2069000.0_-384.59%_38804000.0_-5.53%,-5686000.0,-174.95%,28785000.0,0.32%,-1951000.0,49.56%,33365000.0,12.50%,-2158000.0,-136.99%,35627000.0,-9.07%,-2069000.0,-384.59%,38804000.0,-5.53%
OPRA,Opera,0.0,0.0,0.0,7411000.0_390.51%_39828000.0_50.35%,0_0_0_0,0_0_0_0,0_0_0_0,7411000.0,390.51%,39828000.0,50.35%,0,0,0,0,0,0,0,0,0,0,0,0
ARDX,Ardelyx,0.0,1.670827,-1.001986,-22291000.0_13.34%_0_0,-17019000.0_39.24%_2320000.0_0,10114000.0_132.34%_42000000.0_0,-20724000.0_28.61%_0_0,-22291000.0,13.34%,0,0,-17019000.0,39.24%,2320000.0,0,10114000.0,132.34%,42000000.0,0,-20724000.0,28.61%,0,0
OBAS,阿贝斯,0.0,0.810657,-0.24699699999999997,0_0_0_0,"-105000.0_-1,600.00%_0_0",55000.0_104.49%_0_0,588000.0_-8.98%_0_0,0,0,0,0,-105000.0,"-1,600.00%",0,0,55000.0,104.49%,0,0,588000.0,-8.98%,0,0
MDXG,MiMedx Group Inc.,13.420066,3.468086,0.33159299999999997,0_0_0_0,0_0_0_0,0_0_0_0,17457000.0_425.65%_84573000.0_31.27%,0,0,0,0,0,0,0,0,0,0,0,0,17457000.0,425.65%,84573000.0,31.27%
NVMM,"Novume Solutions, Inc.",0.0,20.760732,-0.451029,-921300.0_-60.96%_12338200.0_280.84%,-2193800.0_-303.05%_11218800.000000002_223.26%,-3127700.0_-581.13%_11004000.0_332.29%,"-791400.0_-1,324.80%_4421600.0_83.81%",-921300.0,-60.96%,12338200.0,280.84%,-2193800.0,-303.05%,11218800.000000002,223.26%,-3127700.0,-581.13%,11004000.0,332.29%,-791400.0,"-1,324.80%",4421600.0,83.81%
CFMS,"ConforMIS, Inc.",0.0,1.387589,-1.010471,-14057000.0_-16.27%_19100000.0_3.33%,-12001000.0_30.06%_19656000.0_-3.91%,-11858000.0_24.66%_20751000.0_-4.25%,-12472000.0_2.27%_18425000.0_-1.17%,-14057000.0,-16.27%,19100000.0,3.33%,-12001000.0,30.06%,19656000.0,-3.91%,-11858000.0,24.66%,20751000.0,-4.25%,-12472000.0,2.27%,18425000.0,-1.17%
