code,open,name,pe,pb,eps,2018-06,2018-03,2017-12,2017-09,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09
ALT,26.9,"Altimmune, Inc.",0.0,1.13612,-3.6701669999999997,-9138800.0_-193.82%_2417100.0_-20.44%,-3173500.0_30.69%_2691000.0_798.28%,-8831000.0_-188.42%_2808800.0_159.06%,-29905200.0_-523.67%_4591900.0_409.63%,-9138800.0,-193.82%,2417100.0,-20.44%,-3173500.0,30.69%,2691000.0,798.28%,-8831000.0,-188.42%,2808800.0,159.06%,-29905200.0,-523.67%,4591900.0,409.63%
ITRM,6.85,Iterum Therapeutics Plc,0.0,0.888533,-91.300377,-15747000.0_-150.75%_185000.0_0,-12146000.0_-108.09%_191000.0_0,0_0_0_0,0_0_0_0,-15747000.0,-150.75%,185000.0,0,-12146000.0,-108.09%,191000.0,0,0,0,0,0,0,0,0,0
GRNQ,2.97,Greenpro Capital Corp.,0.0,22.479119,-0.041346,-360000.0_-1.28%_808100.0_48.51%,-13700.000000000002_91.21%_740600.0_-13.42%,"-3121700.0_-1,051.78%_1077200.0_-20.28%",-103400.0_17.57%_1009800.0_88.49%,-360000.0,-1.28%,808100.0,48.51%,-13700.000000000002,91.21%,740600.0,-13.42%,-3121700.0,"-1,051.78%",1077200.0,-20.28%,-103400.0,17.57%,1009800.0,88.49%
LQDA,19.21,Liquidia Technologies Inc,0.0,-24.151823999999998,-72.871613,-6268900.0_24.39%_1042900.0000000001_-47.38%,-27508200.0_-179.65%_926000.0_-43.51%,0_0_0_0,0_0_0_0,-6268900.0,24.39%,1042900.0000000001,-47.38%,-27508200.0,-179.65%,926000.0,-43.51%,0,0,0,0,0,0,0,0
BHBK,25.25,Blue Hills Bancorp Inc.,33.791379,1.7071900000000002,0.751671,6457000.0_66.93%_0_0,6583000.0_-12.07%_0_0,1293000.0_-67.66%_0_0,3841000.0_135.64%_0_0,6457000.0,66.93%,0,0,6583000.0,-12.07%,0,0,1293000.0,-67.66%,0,0,3841000.0,135.64%,0,0
FVE,0.78,Five Star Quality Care,0.0,0.365703,-0.7355729999999999,-20894000.0_-221.15%_275000000.0_-3.43%,-7949000.0_-17.12%_278000000.0_-2.74%,-1006000.0_82.12%_283000000.0_-0.56%,-6603000.0_-11.97%_283000000.0_0.16%,-20894000.0,-221.15%,275000000.0,-3.43%,-7949000.0,-17.12%,278000000.0,-2.74%,-1006000.0,82.12%,283000000.0,-0.56%,-6603000.0,-11.97%,283000000.0,0.16%
DFBG,3.94,Differential Brands Group Inc.,0.0,1.175426,-0.880684,-5684000.0_-40.21%_35965000.0_-1.34%,-4085000.0_-73.83%_38818000.0_-3.20%,4135000.0_184.30%_45109000.0_7.35%,-183000.0_93.51%_42389000.0_2.99%,-5684000.0,-40.21%,35965000.0,-1.34%,-4085000.0,-73.83%,38818000.0,-3.20%,4135000.0,184.30%,45109000.0,7.35%,-183000.0,93.51%,42389000.0,2.99%
SNSS,2.02,Sunesis Pharmaceuticals,0.0,-7.068919,-0.9783270000000001,-6840000.0_22.64%_0_0,-7273000.0_26.04%_237000.0_-64.57%,-6623000.0_22.42%_0_0,-10159000.0_-13.46%_0_0,-6840000.0,22.64%,0,0,-7273000.0,26.04%,237000.0,-64.57%,-6623000.0,22.42%,0,0,-10159000.0,-13.46%,0,0
LTRPB,13.3,Liberty Tripadvisor Holdings Inc,0.0,0.0,-0.54,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOVE,22.23,Lovesac Co.,0.0,4.36704,-4.875541,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTNR,1.55,Vertex Energy Inc.,0.0,2.110287,-0.233596,2661800.0_246.58%_46917800.0_27.10%,-2208100.0_30.73%_41368200.0_18.97%,-185000.0_92.25%_41345200.00000001_33.13%,"-2949400.0_-3,694.78%_32470500.0_14.08%",2661800.0,246.58%,46917800.0,27.10%,-2208100.0,30.73%,41368200.0,18.97%,-185000.0,92.25%,41345200.00000001,33.13%,-2949400.0,"-3,694.78%",32470500.0,14.08%
DXLG,2.45,Casual Male Retail Group,0.0,1.901948,-0.274194,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTSI,61.62,P.A.M. Transportation Services,9.287657000000001,3.012368,6.943624000000001,7289000.0_353.01%_112999999.99999999_21.25%,1387000.0_-39.25%_99104000.0_5.88%,"31561000.0_4,265.28%_93366000.0_-0.93%",3446000.0_-0.14%_93457000.0_-2.57%,7289000.0,353.01%,112999999.99999999,21.25%,1387000.0,-39.25%,99104000.0,5.88%,31561000.0,"4,265.28%",93366000.0,-0.93%,3446000.0,-0.14%,93457000.0,-2.57%
IIN,65.4,IntriCon Corporation,110.25249099999999,22.077234,0.603161,2008000.0_541.53%_30160000.0_33.90%,757000.0_215.57%_25363000.0_19.55%,505000.0_127.15%_22227000.0_25.24%,917000.0_168.48%_24034000.0_54.36%,2008000.0,541.53%,30160000.0,33.90%,757000.0,215.57%,25363000.0,19.55%,505000.0,127.15%,22227000.0,25.24%,917000.0,168.48%,24034000.0,54.36%
UEPS,7.35,Net 1 UEPS Technologies,11.114738000000001,0.672033,0.689175,5253000.0_-52.92%_149000000.0_-3.78%,3311000.0_-82.59%_163000000.0_9.99%,9979000.0_-48.11%_148000000.0_-1.99%,19727000.0_-21.86%_153000000.0_-1.98%,5253000.0,-52.92%,149000000.0,-3.78%,3311000.0,-82.59%,163000000.0,9.99%,9979000.0,-48.11%,148000000.0,-1.99%,19727000.0,-21.86%,153000000.0,-1.98%
BVSN,1.8,宏道资讯,0.0,1.965559,-1.721166,-2160000.0_8.55%_1243000.0_-23.03%,-1492000.0_42.57%_1603000.0_-11.34%,-2437000.0_-2.01%_1479000.0_-28.13%,-2502000.0_-2.46%_1455000.0_-25.42%,-2160000.0,8.55%,1243000.0,-23.03%,-1492000.0,42.57%,1603000.0,-11.34%,-2437000.0,-2.01%,1479000.0,-28.13%,-2502000.0,-2.46%,1455000.0,-25.42%
KRNT,20.05,Kornit Digital Ltd.,385.756146,4.615544,0.054957000000000006,1774000.0_725.12%_35876000.0_25.49%,565000.0_132.53%_31120000.0_14.83%,-369000.0_-145.00%_29950000.0_-6.37%,-124000.0_-134.35%_28447000.0_-8.00%,1774000.0,725.12%,35876000.0,25.49%,565000.0,132.53%,31120000.0,14.83%,-369000.0,-145.00%,29950000.0,-6.37%,-124000.0,-134.35%,28447000.0,-8.00%
MKGI,2.75,"Monaker Group, Inc.",0.0,32.059646,-1.547962,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PXS,0.86,Pyxis Tankers Inc,0.0,0.393842,-0.180085,-1257000.0_-63.67%_6977000.0_-17.48%,604000.0_135.47%_6590000.0_-13.74%,-1449000.0_75.15%_7317000.0_2.02%,-1323000.0_9.57%_6339000.0_-11.92%,-1257000.0,-63.67%,6977000.0,-17.48%,604000.0,135.47%,6590000.0,-13.74%,-1449000.0,75.15%,7317000.0,2.02%,-1323000.0,9.57%,6339000.0,-11.92%
NEXT,4.28,NextDecade Corporation,0.0,5.233748,-0.484878,-3482000.0_-41.49%_0_0,-16200000.0_-578.39%_0_0,-16328000.0_-632.20%_0_0,-14157000.0_-590.92%_0_0,-3482000.0,-41.49%,0,0,-16200000.0,-578.39%,0,0,-16328000.0,-632.20%,0,0,-14157000.0,-590.92%,0,0
ODT,20.66,Odonate Therapeutics LLC,0.0,3.347377,-3.232114,-19390000.0_-397.18%_0_0,-16881000.0_-519.26%_0_0,-15746000.0_-709.15%_0_0,-10372000.0_-970.38%_0_0,-19390000.0,-397.18%,0,0,-16881000.0,-519.26%,0,0,-15746000.0,-709.15%,0,0,-10372000.0,-970.38%,0,0
ESTA,23.66,Establishment Labs Holdings Inc.,0.0,214.987923,-1.905977,-5360000.0_55.67%_13709000.0_58.91%,-6530000.0_-30.63%_14816000.0_114.13%,0_0_0_0,0_0_0_0,-5360000.0,55.67%,13709000.0,58.91%,-6530000.0,-30.63%,14816000.0,114.13%,0,0,0,0,0,0,0,0
WSTL,2.66,Westell Technologies,77.083449,0.8366709999999999,0.036454,-39000.0_93.18%_13037000.0_-21.34%,-916000.0_-64.75%_11096000.0_-27.88%,799000.0_144.22%_13675000.0_-8.73%,720000.0_112.39%_17232000.0_-3.08%,-39000.0,93.18%,13037000.0,-21.34%,-916000.0,-64.75%,11096000.0,-27.88%,799000.0,144.22%,13675000.0,-8.73%,720000.0,112.39%,17232000.0,-3.08%
AZRX,2.52,AzurRx Biopharma Inc.,0.0,5.8080110000000005,-0.994981,-3309200.0_-23.86%_0_0,-3633000.0_-29.32%_0_0,-2481000.0_55.94%_0_0,-3134200.0_2.00%_0_0,-3309200.0,-23.86%,0,0,-3633000.0,-29.32%,0,0,-2481000.0,55.94%,0,0,-3134200.0,2.00%,0,0
HIIQ,55.0,Health Insurance Innovations In,47.588143,7.641205,1.192524,4026000.0_-42.09%_71724000.0_16.09%,5985000.0_-29.77%_67750000.0_21.27%,5015000.0_253.42%_69490000.0_35.13%,6002000.0_16.91%_63335000.0_37.36%,4026000.0,-42.09%,71724000.0,16.09%,5985000.0,-29.77%,67750000.0,21.27%,5015000.0,253.42%,69490000.0,35.13%,6002000.0,16.91%,63335000.0,37.36%
VNET,9.79,世纪互联,0.0,1.4418389999999999,-1.077393,-95531000.0_19.89%_827999999.9999999_-5.73%,34731000.0_129.73%_801000000.0_-7.12%,798000000.0_264.38%_766000000.0_-14.97%,-1479000000.0_-762.22%_886000000.0_-8.47%,-95531000.0,19.89%,827999999.9999999,-5.73%,34731000.0,129.73%,801000000.0,-7.12%,798000000.0,264.38%,766000000.0,-14.97%,-1479000000.0,-762.22%,886000000.0,-8.47%
HJLI,2.55,Hancock Jaffe Laboratories Inc.,0.0,6.734641000000001,-2.769883,-5045400.0_-303.98%_83400.0_114.85%,-4747500.0_-307.98%_31100.0_-82.77%,-3124000.0_-102.83%_175100.00000000003_-42.56%,-2254900.0_-109.49%_27900.0_-90.56%,-5045400.0,-303.98%,83400.0,114.85%,-4747500.0,-307.98%,31100.0,-82.77%,-3124000.0,-102.83%,175100.00000000003,-42.56%,-2254900.0,-109.49%,27900.0,-90.56%
MCEP,1.46,Mid-Con Energy Partners,0.0,0.7234689999999999,-1.233566,-6855000.0_54.90%_15232000.0_15.06%,-10418000.0_-334.53%_13840000.0_-4.87%,-8655000.0_-161.40%_14714000.0_-0.76%,-7921000.0_-227.18%_13107000.0_-4.03%,-6855000.0,54.90%,15232000.0,15.06%,-10418000.0,-334.53%,13840000.0,-4.87%,-8655000.0,-161.40%,14714000.0,-0.76%,-7921000.0,-227.18%,13107000.0,-4.03%
JOBS,72.24,前程无忧,0.0,5.148812,-0.633725,-57319000.0_-181.01%_886000000.0_33.09%,-338000000.0_-307.10%_801000000.0_33.64%,305000000.0_50.24%_863000000.0000001_25.63%,-166000000.0_-254.35%_720000000.0_22.24%,-57319000.0,-181.01%,886000000.0,33.09%,-338000000.0,-307.10%,801000000.0,33.64%,305000000.0,50.24%,863000000.0000001,25.63%,-166000000.0,-254.35%,720000000.0,22.24%
NAUH,0.87,National American University Hol,0.0,1.147203,-0.5016930000000001,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTHR,0.9576,诗思（香港）,0.0,0.6115689999999999,-0.119199,-697800.0_-73.24%_6400300.0_-3.64%,-578100.0_-3.29%_6762700.0_19.79%,683500.0_163.70%_8537000.0_41.46%,-174500.0_84.92%_6208800.0_19.10%,-697800.0,-73.24%,6400300.0,-3.64%,-578100.0,-3.29%,6762700.0,19.79%,683500.0,163.70%,8537000.0,41.46%,-174500.0,84.92%,6208800.0,19.10%
OXBR,2.05,Oxbridge Re Holdings Ltd,0.0,0.858138,-3.9426870000000003,265000.0_-76.25%_0_0,-211000.0_-116.61%_0_0,-24000.0_98.97%_0_0,-22954000.0_-868.98%_0_0,265000.0,-76.25%,0,0,-211000.0,-116.61%,0,0,-24000.0,98.97%,0,0,-22954000.0,-868.98%,0,0
LENS,1.6,Presbia PLC,0.0,7.645631,-0.7037770000000001,-2251000.0_50.34%_3000.0_0,-2013000.0_56.17%_3000.0_-40.00%,-3132000.0_18.65%_1000.0_120.00%,-4740000.0_-11.29%_8000.0_-38.46%,-2251000.0,50.34%,3000.0,0,-2013000.0,56.17%,3000.0,-40.00%,-3132000.0,18.65%,1000.0,120.00%,-4740000.0,-11.29%,8000.0,-38.46%
QRHC,2.45,Quest Resource Holding Corp,0.0,0.6405609999999999,-0.294956,-538500.0_56.94%_27928600.0_-32.49%,-1312500.0_31.26%_24695900.0_-41.95%,-1580000.0_-17.06%_22505400.0_-50.03%,-1080300.0_55.06%_31930500.0_-30.82%,-538500.0,56.94%,27928600.0,-32.49%,-1312500.0,31.26%,24695900.0,-41.95%,-1580000.0,-17.06%,22505400.0,-50.03%,-1080300.0,55.06%,31930500.0,-30.82%
SGRP,1.1,SPAR Group,0.0,1.335576,-0.128938,-1097000.0_-241.73%_59224000.0_38.63%,425000.0_144.25%_54579000.0_36.84%,-358000.0_-170.47%_50020000.0_12.30%,586000.0_20.08%_48752000.0_45.80%,-1097000.0,-241.73%,59224000.0,38.63%,425000.0,144.25%,54579000.0,36.84%,-358000.0,-170.47%,50020000.0,12.30%,586000.0,20.08%,48752000.0,45.80%
MYND,1.75,"MYnd Analytics, Inc.",0.0,3.640849,-2.312807,-2937200.0000000005_-86.80%_391700.0_869.55%,"-2659600.0_-83.17%_459900.0_1,341.69%",-2769300.0_-92.29%_122000.0_449.55%,-2648200.0_-166.82%_34000.0_82.80%,-2937200.0000000005,-86.80%,391700.0,869.55%,-2659600.0,-83.17%,459900.0,"1,341.69%",-2769300.0,-92.29%,122000.0,449.55%,-2648200.0,-166.82%,34000.0,82.80%
FAMI,4.63,"Farmmi, Inc.",14.726689000000002,3.225479,0.32865500000000003,0_0_0_0,598800.0_5.44%_6510000.0_11.56%,598800.0_5.44%_6510000.0_11.56%,1067200.0_51.74%_7497600.0_39.97%,0,0,0,0,598800.0,5.44%,6510000.0,11.56%,598800.0,5.44%,6510000.0,11.56%,1067200.0,51.74%,7497600.0,39.97%
VXRT,2.98,"Vaxart, Inc",0.0,0.9368559999999999,-35.133984000000005,-8871000.0_-150.73%_608000.0_-67.21%,2314000.0_182.76%_1503000.0_-34.94%,-1075000.0_74.30%_760000.0_-79.14%,0_0_0_0,-8871000.0,-150.73%,608000.0,-67.21%,2314000.0,182.76%,1503000.0,-34.94%,-1075000.0,74.30%,760000.0,-79.14%,0,0,0,0
ECOR,14.1,Electrocore LLC,0.0,4.589143,-0.414396,-17782100.0_-53.64%_393200.0_122.72%,-9443500.0_-48.56%_81199.99999999999_-30.57%,0_0_0_0,0_0_0_0,-17782100.0,-53.64%,393200.0,122.72%,-9443500.0,-48.56%,81199.99999999999,-30.57%,0,0,0,0,0,0,0,0
IMTE,10.0,Integrated Media Technology Limited,21.736484,2.480126,0.501001,0_0_0_0,0_0_0_0,195900.0_-78.65%_737600.0_-80.95%,195900.0_-78.65%_737600.0_-80.95%,0,0,0,0,0,0,0,0,195900.0,-78.65%,737600.0,-80.95%,195900.0,-78.65%,737600.0,-80.95%
GROW,1.52,美国全球投资者,36.782793,0.930899,0.042683,-366000.0_54.25%_1361000.0_-7.48%,"-1065000.0_-3,127.27%_1417000.0_-15.10%","884000.0_3,436.00%_1993000.0_21.38%",1236000.0_368.18%_1490000.0_-24.79%,-366000.0,54.25%,1361000.0,-7.48%,-1065000.0,"-3,127.27%",1417000.0,-15.10%,884000.0,"3,436.00%",1993000.0,21.38%,1236000.0,368.18%,1490000.0,-24.79%
LASR,27.66,nLIGHT,0.0,5.487976000000001,-5.165334,"4653000.0_1,721.25%_51705000.0_49.16%",2916000.0_340.40%_42467000.0_42.09%,0_0_0_0,0_0_0_0,4653000.0,"1,721.25%",51705000.0,49.16%,2916000.0,340.40%,42467000.0,42.09%,0,0,0,0,0,0,0,0
PNBK,25.5,爱国者国家合众银行,26.773115,1.456485,0.952448,1036000.0_28.86%_0_0,1065000.0_-38.44%_0_0,600000.0_-42.58%_0_0,1013000.0_24.45%_0_0,1036000.0,28.86%,0,0,1065000.0,-38.44%,0,0,600000.0,-42.58%,0,0,1013000.0,24.45%,0,0
TTOO,6.29,T2 Biosystems,0.0,8.908576,-1.63822,-12324000.0_20.26%_3931000.0_311.19%,-12913000.0_12.17%_2311000.0_145.59%,-18194000.0_-25.05%_1661000.0_82.73%,-14076000.0_-10.11%_1108000.0_2.21%,-12324000.0,20.26%,3931000.0,311.19%,-12913000.0,12.17%,2311000.0,145.59%,-18194000.0,-25.05%,1661000.0,82.73%,-14076000.0,-10.11%,1108000.0,2.21%
TMDI,2.25,Titan Medical Inc.,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSC,2.5,创新软件,0.0,1.251566,-0.203964,"-1041000.0_-5,516.43%_3389700.0000000005_-25.36%",-1316900.0_-122.21%_3727200.0000000005_-19.91%,-881600.0_26.22%_3088000.0_-8.26%,-186000.0_-146.85%_4225500.0_-32.07%,-1041000.0,"-5,516.43%",3389700.0000000005,-25.36%,-1316900.0,-122.21%,3727200.0000000005,-19.91%,-881600.0,26.22%,3088000.0,-8.26%,-186000.0,-146.85%,4225500.0,-32.07%
CORI,9.03,"Corium International, Inc.",0.0,13.747488,-1.546149,-12391000.0_7.42%_7430000.0_-5.25%,-18006000.0_-63.14%_9820000.0_38.74%,-13292000.0_-27.45%_9075000.0_35.43%,-12943000.0_-38.77%_9175000.0_20.34%,-12391000.0,7.42%,7430000.0,-5.25%,-18006000.0,-63.14%,9820000.0,38.74%,-13292000.0,-27.45%,9075000.0,35.43%,-12943000.0,-38.77%,9175000.0,20.34%
IRCP,25.8,IRSA Propiedades Comerciales SA,1.571868,0.224009,16.540825,3467000000.0_275.51%_0_0,606000000.0_64.43%_0_0,9648000000.0_638.73%_0_0,1935000000.0000002_148.16%_0_0,3467000000.0,275.51%,0,0,606000000.0,64.43%,0,0,9648000000.0,638.73%,0,0,1935000000.0000002,148.16%,0,0
ATAI,1.13,ATA公司,0.0,0.744903,-0.34273899999999996,"-99590700.0_-1,060.81%_77100.0_-99.92%",-38569600.0_28.17%_218500.0_-99.65%,53119700.0_-29.53%_302000000.0_15.97%,-16521500.0_53.56%_59028900.0_0.44%,-99590700.0,"-1,060.81%",77100.0,-99.92%,-38569600.0,28.17%,218500.0,-99.65%,53119700.0,-29.53%,302000000.0,15.97%,-16521500.0,53.56%,59028900.0,0.44%
DMPI,0.78,DelMar Pharmaceuticals,0.0,14.446913,-0.647491,0_0_0_0,-2933100.0_-56.98%_0_0,-3161600.0000000005_-139.16%_0_0,-2666400.0_-16.42%_0_0,0,0,0,0,-2933100.0,-56.98%,0,0,-3161600.0000000005,-139.16%,0,0,-2666400.0,-16.42%,0,0
ICCC,8.51,伊芙美尔医疗,0.0,2.069521,-0.295468,-798400.0_-265.57%_3014500.0_72.30%,-221100.0_-137.85%_2881200.0_-18.70%,-194700.0_-742.74%_3132600.0_41.50%,"-339300.0_-1,073.17%_2005000.0_1.87%",-798400.0,-265.57%,3014500.0,72.30%,-221100.0,-137.85%,2881200.0,-18.70%,-194700.0,-742.74%,3132600.0,41.50%,-339300.0,"-1,073.17%",2005000.0,1.87%
