code,name,pe,pb,eps,description
TLRY,Tilray Inc.,0.0,95.80005799999999,-0.16414700000000002,"Tilray, Inc.于2018年1月24日在特拉华州注册成立。该公司开创了全球医疗大麻研究，种植，加工和分销的未来，一旦合法化，他们打算成为加拿大成人使用大麻市场的领导者。该公司渴望通过建立世界上最值得信赖的大麻公司来领导，合法化和确定其行业的未来。"
SITO,"SITO Mobile, Ltd.",0.0,2.704093,-0.904724,Sito移动有限公司于2000年5月31日在特拉华州注册成立。该公司是一家基于移动位置的广告平台服务企业，广告商和品牌。通过它的平台，该公司的解决方案可以让营销人员根据位置，兴趣，行为和忠诚度，创建针对受众的内容。通过对移动设备的普及，该公司为客户提供提供一个实时可操作的内容的能力，同时提供测量和分析，让运动成为流体和交易驱动。该公司的业务一直专注于利用其短信/通知，媒体投放等领域在移动设备和缩位拨号代码的解决方案。
LTRX,创力,154.454593,4.598344,0.037422000000000004,"Lantronix designs, develops and markets devices and software to access, manage, control and configure electronic devices over the Internet or other networks."
IDXG,Interpace Diagnostics Group Inc,0.0,0.987297,-0.8672700000000001,"Interpace诊断集团有限公司作为外包销售组织在1987年开始运营。公司提供商业服务外包业务，外包包括已有的和新兴的制药、生物技术和医疗公司。公司是外包销售团队的领先供应商,目标医疗服务提供者,提供一系列互补的销售支持服务,旨在实现其客户的战略和金融产品的目标。除了外包销售团队,公司还提供了其他的促销服务包括临床教育服务、数字通信、和新业务单元的形成，公司提供制药、生物技术、医疗设备和诊断客户提供全方位服务产品商业化的解决方案。公司提供的服务包括全程供应链管理，运营，销售，市场营销，合规和监管/医疗管理。合并后，公司为客户提供一系列的个人和非个人的促销方案，为他们的产品在整个开发到成熟的产品生命周期中进行商业化，该公司提供创新而灵活的服务产品设计来推动客户的业务，并成功地在不断变化的市场做出反应。该公司的服务通过产品信息给医生和其他医护专业人员在他们的患者的护理期间提供通信，是其客户和医学界之间的重要纽带。"
RGSE,"Real Goods Solar, Inc.",0.0,-142.963333,-2.29786,"Real Goods Solar, Inc. 是一家太阳能公司。Real Goods Solar提供免费家庭太阳能采集,以及太阳能系统融资,设计,工程方案,许可,安装,维护,以及监控等一系列相关服务。2014年5月14日,公司收购了Elemental Energy LLC."
ROSE,Rosehill Resources Inc.,32.760294,1.393729,0.250303,"Rosetta Resources 公司于2005年6月在特拉华州成立。公司通过从第三方开发和探索土地，购买未开发租赁物，收购石油和天然气资产和钻探前景，战略上出让拥有更多石油基地的资产，已为公司打下了良好的财政基础。公司运营在一个地理操作部分。其是一个独立的勘探和生产公司，在美国从事陆上能源资源的获取和发展。公司的业务主要位于德克萨斯州南部,包括其最大的老鹰福特页岩产地，和蒙大拿州西北部的阿尔伯塔省南部盆地地区。公司总部位于休斯顿（德克萨斯州）, 办事处在拉雷多和卡塔琳娜州（德克萨斯州）。"
SNOA,"Sonoma Pharmaceuticals, Inc.",0.0,0.981693,-2.9000369999999998,"Sonoma Pharmaceuticals, Inc.于1999年4月以Micromed科研实验股份有限公司的名字根据加利福尼亚州的法律成立。2001年8月，公司更名为Oculus创新科技公司， 2006年12月，公司根据特拉华州的法律重新注册成立。该公司是一个全球性的医疗保健公司，在20多个国家设计、生产和销售处方药和非处方药。公司正在开发创新型的皮肤科、外科药物，先进的创伤药和纱布，动物保健产品。公司主要关注将其专有的叫做Microcyn的技术平台商业化。该技术的设计目标是利用带电的氧化氯小分子来治疗一系列生物体引起疾病（病原体）。"
ADAP,Adaptimmune Therapeutics plc,0.0,5.861617,-0.965384,Adaptimmune治疗有限公司是于2014年12月3号在英格兰和威尔士成立的一个股份有限公司。该公司是一家临床阶段的生物制药公司，专注于基于其T细胞受体的平台上新的癌症免疫治疗产品。公司已经开发出了全面的专有平台，鉴别癌症目标肽，其是氨基酸短序列的形式，查找和基因工程的T细胞受体，或电阻温度系数，以及产生的TCR治疗候选施用于患者。
TRPX,Therapix Biosciences Ltd.,0.0,2.714642,-13.694679999999998,Therapix Biosciences Ltd.是一个专业的制药公司，于2004年8月23日成立于以色列并开始运营。它专注于创建和增强基于大麻素药物的技术和资产组合。有了这个重点，公司启动了两个内部药物开发计划，基于再利用FDA批准的合成大麻素（dronabinol）：联合Pharma开发THX-TS01针对Tourette综合征或TS的治疗和联合BrainBright开发THX-ULD01针对轻度认知障碍或MCI的高价值和服务不足的市场。
BRY,Berry Petroleum Corp,0.0,0.0,0.0,Berry Petroleum Corporation是一家独立的石油和天然气公司，于2017年2月13日根据特拉华州法律注册成立.Berry Petroleum是一家位于加利福尼亚州的独立上游能源公司，主要从事开发和生产位于美国西部的常规石油储备状态。公司长期可预测和高利润的资产基础具有独特的优势，可以支持他们通过商品价格周期产生顶级企业级回报和积极自由现金流的目标。该公司认为，通过在生产基地低生产基地和已确定钻井地点的大量库存中执行战略，将会实现长期的资本效率生产增长以及向股东返还过剩自由现金流量的能力。
CLGN,Collplant Holdings Ltd.,0.0,7.271128,-2.26235,CollPlant Holdings Ltd.于1981年11月9日在以色列注册成立为私人有限公司。该公司是一家临床阶段再生医学公司，专注于开发和商业化组织修复产品，最初用于生物性骨材和高级伤口护理市场。
FTEK,燃料技术,0.0,0.8349850000000001,-0.14605,Fuel-Tech is a technology company active in the air pollution control and specialty chemical businesses. Co.'s special focus is the worldwide marketing of its nitrogen oxide (NOx) reduction and FUEL CHEM Processes.
PTIE,Pain Therapeutics,0.0,1.919862,-1.449956,Pain Therapeutics is a biopharmaceutical company that develops novel drugs for pain management and oncology.
IVTY,"Invuity, Inc.",0.0,40.776599,-1.940173,"Invuity, Inc.于2004年11月29日在加利福尼亚州注册成立，公司是一个商业级的医疗技术公司，利用其专有的智能光电技术开发一次性使用的和可重复使用的手术照明设备，这为外科医生提供照明手术腔期间开放微创微创程序，直接可视化。该公司的工厂设在加利福尼亚州旧金山。"
KZIA,Kazia Therapeutics Limited,0.0,0.88323,-0.9932799999999999,Kazia Therapeutics Limited在澳大利亚新南威尔士的法律下成立于1994年3月。Novogen在澳大利亚企业法案下注册经营。该公司是一家制药公司，已经参与类黄酮技术的新兴领域产品的发现、开发、生产和销售。公司的产品开发计划是通过其子公司美制药有限公司(“美”)进行的，包含了一系列以新颖德类黄酮技术为基础的制药，这些药物被称为异黄酮化合物。根据当前提出的以下交易详细，公司的策略是继续通过其子公司推进它的研究和发展，研发更多的人类酚类化合物技术领域的先进药物，重点推进肿瘤领域的候选药物的发展。
IDRA,井寺制药,0.0,2.929305,-2.794715,Idera Pharmaceuticals develops therapeutics that modulate immune responses through Toll-like Receptors (TLRs) for the treatment of multiple diseases.
CTRN,Citi Trends,22.038904000000002,2.295628,1.522308,Citi Trends is a value priced family apparel retailer with over 460 stores in twenty-seven states. As of May 2005 Citi Trends became a publicly traded company on the Nasdaq exchange with the symbol CTRN.
AVGR,"Avinger, Inc.",0.0,2.435885,-36.563373999999996,"Avinger, Inc.在美国特拉华州注册成立于2007年3月8日，是一家设计医疗器械的商业级公司，生产和销售医生用来治疗患者外周动脉疾病的图像引导、导管为基础的系统，PAD。 PAD为患者胳膊和腿动脉积聚斑块供应血液。他们的使命是通过引入基于他们lumivascular平台，唯一的血管图像引导系统，在这个市场上的产品，从而大幅度提高血管疾病的治疗。该公司生产和在美国销售的产品套件，并选择欧洲市场。其当前的产品包括其灯箱成像控制台，以及它们的不可靠，Kittycat和山猫家族导管，其被设计为允许医师穿透总堵塞动脉，称为慢性完全闭塞，或CTO的。"
ICHR,Ichor Holdings Ltd.,7.883942,2.429648,3.064457,"Ichor Holdings, Ltd.于2012年1月30日在开曼群岛注册成立。该公司是半导体资本设备关键流体输送子系统的设计，工程和制造等方面的领先制造商。它们的主要产品包括气体和化学品递送子系统，统称为流体递送子系统，是用于制造半导体器件的工艺工具的关键元素。它们的气体输送子系统输送监测和控制在半导体制造工艺中使用的例如蚀刻和沉积的精确量的专用气体。它们的化学递送子系统精确地混合和分配用于半导体制造工艺（例如化学机械平坦化或CMP，电镀和清洁）中的反应性液体化学物质。他们还生产用于流体输送系统内部使用的某些部件，并直接销售给客户。该业务的垂直整合部分主要集中在分别用于气体和化学系统的金属和塑料部件。"
LMFA,"LM Funding America, Inc",0.0,1.757264,-2.1334150000000003,"LM Funding America, Inc.于2015年4月20日在特拉华州注册成立。该公司是一家专业性的金融公司，主要是给位于佛罗里达州的非营利性社团提供资金，并在较小的程度上，也提供给位于华盛顿州和科罗拉多州的非营利性的社会团体。"
ARCI,Appliance Recycling Centers Of America,0.0,0.228481,-1.043672,"Appliance Recycling Centers of America is a provider of reverse logistics, energy efficiency and appliance recycling services."
PTLA,Portola Pharmaceuticals Inc.,0.0,8.552021,-5.74756,"Portola Pharmaceuticals, Inc.是一家生物制药企业。公司致力于在血栓疾病以及其他血液疾病和发炎病症领域研发新的疗法，同时将该疗法商业化。该疗法主要用于当前没有或认证疗法选择有限的病人。公司于2003年9月在特拉华州注册成立。公司总部以及业务范围在加利福尼亚州的南旧金山市，并以一个部门生产经营。 公司两个主要项目用于解决血栓疾病和血凝块方面的问题。公司主要化合物是新型口服每日一次的贝曲西班，它是处于第三研发阶段凝血因子Xa的抑制剂，主要用于急性内科疾病患者静脉血栓栓塞的长期预防或预防性疗法。公司第二主要的候选研发药物是正处于概念取证阶段的PRT4445，它是一个主要用于逆转抗凝血生理活动的重组蛋白，该药主要用于使用抗凝血因子抑制剂治疗的患有不可控流血疾病或经历急诊外科手术的患者。公司第三种候选产品PRT2070是一种可口服的激酶抑制剂，该药物主要用于血液系统疾病、血液疾病、癌症及其他发炎类疾病。公司第四候选产品是 PRT2607，该药物由公司合作伙伴百健艾迪股份有限公司（Biogen Idec Inc.）开发研制，主要用于发炎类疾病。"
EVLO,Evelo Biosciences,0.0,2.642441,-9.350357,"Evelo Biosciences, Inc.是一家生物技术公司，于2014年5月6日在特拉华州成立.Evelo Biosciences，Inc.正在发现和开发旨在对肠体网络起作用的潜在疗法。该公司疗法的作用是基于他们对肠道在控制整个身体免疫和生物活性方面的中心作用的日益了解。肠道网络代表肠道与所有器官和组织的连接，使肠道能够对人体的免疫和生物系统施加显着的控制。肠道网络对免疫系统的中心地位最近才得到了重视，现代医学和药物发现在很大程度上忽视了肠道网络在抗击疾病中的重要性。该公司相信他们有可能利用未开发的肠道网络生物学来开发新的治疗方法，从而改变许多重大疾病的治疗方法，可能为患者和社会带来深远的益处。"
EIGR,"Eiger BioPharmaceuticals, Inc.",0.0,3.6130230000000005,-3.8488809999999996,"Eiger BioPharmaceuticals, Inc.于2016年3月22日由Celladon Corporation和BioPharmaceuticals, Inc.合并而成。BioPharmaceuticals, Inc.在美国加州注册，于2000年12月21日成立，并于2012年4月在特拉华州重新合并，该公司是一家生物技术公司，致力于开发用于心脏衰竭，糖尿病和神经退行性疾病的治疗。 Celladon的领先候选产品是市场上紧缺的SERCA2a——心脏病病人所需的生化酶。"
CDMO,"Avid Bioservices, Inc.",0.0,8.143281,-0.563053,"Avid Bioservices, Inc.最初于1981年6月在美国加州注册成立，并于1996年9月25日在美国特拉华州重新合并。公司是一家开发用于癌症治疗和诊断的先入级的单克隆抗体的生物制药公司。公司正在朝着对病人的新的治疗选择前进。公司还拥有一家全资生物制造子公司——Avid Bioservices有限公司，它为 Peregrine和第三方客户端提供综合的cGMP商业和临床生产服务。"
FVE,Five Star Quality Care,0.0,0.42447700000000005,-0.7355729999999999,"Five Star Quality Care, Inc. (Five Star)五星经营高级居住社区,包括独立生活社区,辅助生活社区和专业护理设施(SNFS). 2012年9月该公司出售了其制业务Omnicare公司. 2013年12月31日,五星转移了两个康复医院,其中包括设在位于布伦特里的康复医院和新英格兰的康复医院,转移去了Reliant Hospital Partners, LLC."
ALSK,阿拉斯加通信系统,35.88715,0.629734,0.054337,"Headquartered in Anchorage, Alaska Communications today serves the fastest growing segment of users - data dependent consumers and enterprises - and leverages its legacy as a local telephone company to support its wireless and enterprise data network"
FLDM,Fluidigm Corporation,0.0,8.915878999999999,-1.42746,Fluidigm Corporation为增长型市场上的学术机构、临床实验室、制药公司、生物科技和农业生物科技公司(Ag-Bio)发展、制造、销售微流体系统，例如，单细胞基因组学、应用基因分型、针对性测序的样品制备。这家公司专有的微流体系统由仪器和耗材组成，包括集成流体通路(IFCs)，化验和试剂。这家公司主要销售四中微流体系统，包括18中不同的商业化的集成流体通路，三种分析化学。这家公司的系统是为了简化实验工作流程，提高吞吐量，降低成本，提供完美的数据质量而设计的。另外，这家公司的专有技术使以前在许多情况下不可能的遗传分析成为可能。富鲁达公司于1999年5月19日在加利福尼亚州成立。
MNOV,美第奇新星生物技术,0.0,5.8395529999999995,-0.34160100000000004,"Medicinova is a development stage company. Co. is a specialty pharmaceutical company engaged in acquiring, developing and commercializing innovative pharmaceutical products for a variety of diseases and conditions."
SMIT,Schmitt Industries,0.0,1.192194,-0.150944,"Schmitt Industries designs, assembles and markets computer-controlled balancing equipment to the machine tool industry. Co. also designs, manufactures and markets precision laser measurement systems."
VECO,Veeco Instruments Inc,0.0,0.8913260000000001,-5.984145,"Veeco Instruments designs, manufactures, markets and services a line of equipment primarily used by manufacturers in the data storage, semiconductor, wireless and HB-LED (high brightness light emitting diode) industries."
STAF,Staffing 360 Solutions Inc.,0.0,-1.17074,-5.806239,"Staffing 360 Solutions, Inc.在内华达州注册成立于2009年12月22日。在2012年7月31日，这家公司从人员编制部门开始运作。在国际工作人员方面，作为一个快速成长的上市公司，其高成长性的商业模式是基于发现和获取适当的、成熟的、可盈利的、经营性的、国内和国际工作人员的公司。该公司的目标整合模式尤其关注于会计和财务、信息技术（“IT”）、工程、管理和轻工业部门。"
SKIS,"Peak Resorts, Inc.",0.0,0.9712780000000001,-0.017736000000000002,"Peak Resorts is a  leading owner and operator of high-quality, individually branded ski resorts in the U.S. We currently operate 13 ski resorts primarily located in the Northeast and Midwest, 12 of which we own. The majority of our resorts are located within 100 miles of major metropolitan markets, including New York City, Boston, Philadelphia, Cleveland and St. Louis, enabling day and overnight drive accessibility. Our resorts are comprised of nearly 1,650 acres of skiable terrain that appeals to a wide range of ages and abilities. We offer a breadth of activities, services and amenities, including skiing, snowboarding, terrain parks, tubing, dining, lodging, equipment rentals and sales, ski and snowboard instruction and mountain biking and other summer activities. We believe that both the day and overnight drive segments of the ski industry are appealing given their stable revenue base, high margins and attractive risk-adjusted returns."
TELL,Tellurian Inc.,0.0,6.197614,-0.432909,Tellurian Inc. (TELL.US)前身Magellan Petroleum Corporation，于2017年2月更为现名，总部位于德州的休斯顿。公司通过子公司Tellurian Investments Inc.于美国墨西哥湾沿岸从事液化天然气项目之开发。
AMD,AMD,73.160387,26.595495,0.327773,"<p>Advanced Micro Devices, Inc.，缩写：AMD）是一家专注于微处理器与图形处理器设计和生产的跨国公司，总部位于美国加州旧金山湾区硅谷内的森尼韦尔市[1]。AMD为电脑、通信及消费电子市场供应各种集成电路产品，其中包括中央处理器、图形处理器、闪存、芯片组以及其他半导体技术。公司的主要设计及研究所位于美国和加拿大，主要生产设施位于德国，还在新加坡、马来西亚和中国等地设有测试中心。AMD于2006年7月24日并购了ATi后，成为一家同时拥有中央处理器和图形处理器等生产技术的半导体公司，也是唯一可与英特尔和英伟达匹敌的厂商，在2010年第二季全球个人电脑中央处理器的市场占有率中，英特尔以80.7％排名第一、AMD以19.0％位居第二，而威盛电子则占0.3％[2]。收购ATI前的AMD，其主要产品是中央处理器，在其K7处理器中期之后，CPU特点是以较低的核心时钟频率产生相对上较高的运算效率，也开始使用PR值来标定产品性能。但低级Duron仍以时钟频率标定，而且其主频通常会比同性能的英特尔中央处理器低1GHz左右。自从Athlon XP上市以来，AMD与Intel的技术差距逐渐缩小。2003年时AMD抢先于Intel之前发表了具有64位的Athlon 64，使得AMD的技术已经与Intel相当，或甚至在某些方面已经领先于Intel。2005年4月22日，AMD领先于Intel率先发布了拥有两个核心的Opteron处理器（当然还是远远落后于国际商业机器股份有限公司于2001年发布的POWER4双核处理器），随后又推出了面向主流消费市场的Athlon 64 X2。而由于两家厂商目前都已以多核心系统作为新产品的开发主轴，使得AMD的Athlon 64 FX-57 2.8GHz成为世界上性能最高的零售单核心中央处理器（时钟频率最快的零售处理器则是Intel的Pentium 4：580 3.8 GHz，而其他性能更高的产品都是采用多核心架构）。2010年底，AMD推出绘图芯片与处理芯片合二为一的AMD Fusion芯片，亦即是“加速处理器”（Accelerated Processing Unit，简称“APU”），获得PC业界不少生产厂家采用，包括惠普、宏碁及Sony等等。现在AMD也推出K10架构的Phenom II六核心处理器来与Intel Nehalem微架构的Core i7处理器竞争。</p>"
COCP,"Cocrystal Pharma, Inc.",350.477923,1.022707,0.010985,"Cocrystal Pharma, Inc.于2014年1月2日在特拉华州注册成立。其主要业务是开发用于治疗人类病毒性疾病的新药。 Cocrystal Pharma，Inc.自2008年投入资金以来，一直致力于开发新型技术和方法，以创造一流的同类最佳抗病毒药物。该公司的重点是追求开发和商业化 的广谱抗病毒药物候选物，将改变人类病毒性疾病的治疗和预防。该公司计划利用他们在这些领域的基础设施和专业知识，将研究和开发工作集中在病毒复制抑制剂上。"
RIBT,RiceBran Technologies,0.0,4.624426000000001,-0.22165900000000002,NutraCea is a health science company that processes and converts Rice Bran into a value added ingredient in various food products and into a key component in nutritional supplementation.
XSPL,"Xspand Products Lab, Inc.",0.0,5.32632,-0.570498,"Xspand Products Lab, Inc.于2017年7月18日（“Xspand”）根据内华达州法律成立为Idea Lab X Products，Inc.。截至2017年9月30日，Xspand拥有两家全资子公司，“公司”）：SRM娱乐有限公司（“SRM”）和Ferguson Containers，Inc.（“Fergco”）。于二零一七年九月三十日，SRS及Fergco被Xspand收购以换取合共3,000,000股Xspand普通股及应付票据合共2,996,500美元。SRM于1981年1月14日在香港注册成立，Fergco于9月14日注册成立，1966年根据新泽西州的法律。该公司的两个可报告部门符合SRM和Fergco的业务线：（i）设计，制造和销售各种创新玩具产品，直接销售给零售商或通过其电子商务在北美，亚洲和欧洲直接销售给消费者（ii）Fergco分部为北美工业和制药公司设计，制造和销售包装和包装材料。"
NSYS,Nortech Systems Incorporated,0.0,0.555972,-0.878575,"Nortech Systems is engaged in manufacturing wire harnesses, cables, electronic sub-assemblies and components, and printed circuit board assemblies. Co. provides a full turnkey contract manufacturing service to its customers."
MAG,迈力达电子,0.0,3.627711,-0.66,"MagneTek provides digital power products used in information technology, telecommunications, consumer products, transportation, industrial automation and energy markets, and it operates in a single segment: Digital Power Control Systems."
MXWL,Maxwell Technologies,0.0,1.835981,-1.150012,"Maxwell Technologies, Inc.开发,生产及营销用于运输,工业,信息技术和其他应用的能源储备和电力运输产品,以及用于卫星应用的微电子产品。该公司着重于三个系列的产品:超级电容器,高压电容器和减轻辐射微电子产品。超级电容器提供能源储备及电力运输解决方案。超级电容器能够在未来几十年任何气候条件下稳定工作。减轻辐射微电子产品包括单板计算机和部件,如高密度存储器和电源板块。"
ACRS,Aclaris Therapeutics,0.0,2.747664,-3.3864199999999998,"Aclaris Therapeutics, Inc.于2012年在美国特拉华州成立。该公司是一家临床阶段的专业制药公司，专注于识别，开发和商业化创新和差异化的外用药物，以显著解决在皮肤科未满足的需求。"
GSKY,Greensky Inc.,3.663582,167.796846,5.309012,"Greensky, Inc.于2017年7月12日成立于特拉华州的一家公司。它们是一家领先的技术公司，在销售点为商业提供支持。该公司平台促进了商家的销售，同时减少了购买的消费者和银行为该购买提供的融资，从而减少了摩擦并提高了经济性。截至2018年3月31日，GreenSky公司在其平台上拥有约12,000家活跃商户，并且从2018年3月31日开始，商家们使用他们的平台为大约170万消费者提供了超过120亿美元的交易。"
REFR,Research Frontiers Incorporated,0.0,12.415645,-0.094959,"Research Frontiers develops and markets technology and devices to control the flow of light. Such devices, which are referred to as light valves or suspended particle devices (SPDs), has numerous product applications, inclusing sunshades and sunroofs."
DRIO,LabStyle Innovations Corp,0.0,5.855455,-0.10371099999999998,DarioHealth Corp.成立于2011年8月11日的特拉华州，是一家移动医疗公司，主要开发和商业化移动医疗健康管理的项目，其子公司LabStyle Innovation Ltd总部设立在以色列凯撒利亚。目前该公司的主营方向为Dario项目，该项目通过手机应用软件和云盘的数据联动，进行消费者实时的血糖监控，来进行客户的糖尿病管理。
FORTY,配方系统,51.911771,0.834492,0.79,"Formula Systems (1985) is a global information technology, or IT, solutions and services company based in Isreal. Co. is engaged in providing software consulting services and computer-based business solutions and developing proprietary software products."
USLV,Velocitysharestm 3X Long Silver,0.0,0.0,0.0,0
UBX,Unity Biotechnology,0.0,3.882793,-12.895897999999999,"Unity Biotechnology, Inc.于2009年3月在特拉华州注册成立。Unity Biotechnology，Inc.是一家生物技术公司，致力于治疗的研究和开发，以扩大人类健康范围。公司全力投入研发，筹集资金，招聘人才。"
GNMK,GenMark Diagnostics,0.0,8.556835000000001,-1.041754,"Genmark Diagnostics, Inc.是一家分子诊断学公司，致力于其具有专利产权的电子传感（eSensor）探测技术的开发与商业化。公司具有专利产权的电化学技术可使得在一个样本中快速、准确同时高敏感地探测出72种不同的生物标记。公司的XT-8系统已从美国食品及药物管理局（FDA）获得510(k)许可证，公司通过软件包和易于使用的工作站以及独立的一次性的检测暗盒来支持各类分子诊断测试。在收到已经提取和放大的核算样本30分钟内，公司的XT-8系统便会得到清晰而准确的结果。XT-8系统支持24种独立运行的测试暗盒，这样便可以为其目标客户带来高方便性和自由性的工作流程，其目标客户为医院和参考实验室。公司已经利用XT-8系统开发出4项诊断测试，同时希望以每年开发2到4项新测试的速度扩展其测试产品清单。公司的囊胞性纤维症基因分型检测以及血栓形成倾向风险检测已获得美国食品及药物管理局（FDA）许可证，前者能够探测出囊胞性纤维症潜在风险、测定口腔对华法林抗凝剂代谢的能力；后者能够检测患血栓的风险值。 公司于2010年2月在特拉华州成立。"
KOOL,热动力医疗,0.0,0.587613,-2.120923,"ThermoGenesis develops and manufactures automated blood processing systems and disposables that enable the manufacture, preservation and delivery of personalized cell therapy and surgical wound care products for clinical use."
