code,name,open,latestPrice,pe,pb,eps,2018-06,2018-03,2017-12,2017-09,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09,count,grow_radio_3,grow_radio_6,grow_self_3,grow_self_6,max_price,max_price_radio,price,price_week_3,vol_radio,volume_3,volume_6,week_3_rs,week_6_rs,year
DFBG,Differential Brands Group Inc.,3.86,4.34,0.0,1.214665,-0.880684,-5684000.0_-40.21%_35965000.0_-1.34%,-4085000.0_-73.83%_38818000.0_-3.20%,4135000.0_184.30%_45109000.0_7.35%,-183000.0_93.51%_42389000.0_2.99%,-5684000.0,-40.21%,35965000.0,-1.34%,-4085000.0,-73.83%,38818000.0,-3.20%,4135000.0,184.30%,45109000.0,7.35%,-183000.0,93.51%,42389000.0,2.99%,142,0.028538093534516074,-0.038179550368717334,0.11703333333333354,-0.25999999999999995,8.0,0.4223625,4.6211,4.300366666666666,-0.620225930933658,112913.66666666667,297318.0,0.030851937815022407,-0.03291213937307783,2
ZNGA,Zynga,3.86,4.36,106.44791,2.582363,0.040959,-911000.0_-117.89%_217000000.0_3.73%,5609000.0_159.20%_208000000.0_7.18%,12929000.0_136.49%_233000000.0_22.43%,18091000.0_143.35%_225000000.0_23.12%,-911000.0,-117.89%,217000000.0,3.73%,5609000.0,159.20%,208000000.0,7.18%,12929000.0,136.49%,233000000.0,22.43%,18091000.0,143.35%,225000000.0,23.12%,252,0.03611763715211992,-0.02652946088805615,0.1433333333333334,-0.11000000000000003,5.58,0.21863799283154117,4.36,4.13,0.43391107870610907,60615510.333333336,42272851.666666664,0.040580890128494355,-0.029099316499233318,4
FLKS,"Flex Pharma, Inc.",0.4518,0.55,0.0,0.7410939999999999,-1.952319,-9051900.0_-2.81%_245500.0_-26.83%,-8223200.000000001_0.55%_178600.0_-26.37%,-8028500.0_-1.63%_282800.0_-5.38%,-9332100.0_12.27%_413600.0_-30.96%,-9051900.0,-2.81%,245500.0,-26.83%,-8223200.000000001,0.55%,178600.0,-26.37%,-8028500.0,-1.63%,282800.0,-5.38%,-9332100.0,12.27%,413600.0,-30.96%,194,0.11557055897423123,-0.06835402792696026,0.05203333333333334,-0.033299999999999996,22.56,0.9739671985815603,0.5873,0.514,0.9987354676404488,4197052.666666667,2099854.0,0.11515354844731411,-0.05539751564322199,3
AGMH,安高盟,35.0,34.95,179.325494,91.771833,0.194897,0_0_0_0,0_0_0_0,979200.0_-30.95%_3325299.9999999995_4.41%,979200.0_-30.95%_3325299.9999999995_4.41%,0.0,0,0.0,0,0.0,0,0.0,0,979200.0,-30.95%,3325299.9999999995,4.41%,979200.0,-30.95%,3325299.9999999995,4.41%,26,0.20314303152776567,0.03559937185747114,4.966666666666666,0.4533666666666664,39.0,0.10256410256410256,35.0,35.4,-0.6729153211435724,60266.333333333336,184253.0,0.14589927138270756,0.0058158492100366015,0
NFEC,能发伟业,3.88,4.4,0.0,1.322609,-0.41237,-1651600.0_-532.00%_564300.0_-66.36%,-505000.0_-19.05%_147100.0_-85.80%,-465900.00000000006_24.39%_4652800.0_94.15%,-426900.0_-11.87%_1141900.0_-18.45%,-1651600.0,-532.00%,564300.0,-66.36%,-505000.0,-19.05%,147100.0,-85.80%,-465900.00000000006,24.39%,4652800.0,94.15%,-426900.0,-11.87%,1141900.0,-18.45%,252,0.0004141494491212867,0.04985850867705982,-0.10666666666666631,0.18666666666666684,6.324,0.2979127134724857,4.44,4.22,-0.41776379742670705,194660.0,334331.6666666667,0.003828699161682244,0.03354539324044669,4
SSC,"Seven Stars Cloud Group, Inc.",3.07,3.45,0.0,6.925561999999998,-0.313602,-8610900.0_-123.03%_133000000.0_206.93%,-4162400.0_-354.04%_186000000.0_460.63%,-5092000.0_77.34%_37626400.0_22.13%,"-3021900.0_-40.35%_30223600.0_1,757.81%",-8610900.0,-123.03%,133000000.0,206.93%,-4162400.0,-354.04%,186000000.0,460.63%,-5092000.0,77.34%,37626400.0,22.13%,-3021900.0,-40.35%,30223600.0,"1,757.81%",100,-0.10663113404540393,0.04618288210864436,-0.44129999999999986,0.18333333333333326,5.42,0.4066236162361624,3.2161,3.4853666666666663,-0.6964720614314911,2740812.6666666665,9029853.0,-0.11082984541803202,0.04412879755163077,1
OBLN,Obalon Therapeutics Inc,2.11,2.34,0.0,3.292163,-2.433571,-9753000.0_-26.17%_2732000.0_39.17%,-12126000.0_-56.57%_1346000.0_-8.56%,-10120000.0_-35.02%_3692000.0_378.24%,-9170000.0_-74.33%_2787000.0_260.54%,-9753000.0,-26.17%,2732000.0,39.17%,-12126000.0,-56.57%,1346000.0,-8.56%,-10120000.0,-35.02%,3692000.0,378.24%,-9170000.0,-74.33%,2787000.0,260.54%,106,-0.029906228081609375,-0.028030177493003364,-0.07866666666666673,-0.09333333333333327,15.0,0.8450666666666666,2.324,2.5046666666666666,-0.5160412290779173,341083.3333333333,704777.6666666666,-0.03406582886709614,-0.03961029017888432,2
TOCA,Tocagen Inc,12.72,14.08,25.8278,6.094997,0.545149,-16089000.0_-77.47%_9000.0_-10.00%,-12880000.0_-41.96%_9000.0_-18.18%,-10837000.0_-28.55%_10000.0_-9.09%,-9953000.0_-10.59%_10000.0_-9.09%,-16089000.0,-77.47%,9000.0,-10.00%,-12880000.0,-41.96%,9000.0,-18.18%,-10837000.0,-28.55%,10000.0,-9.09%,-9953000.0,-10.59%,10000.0,-9.09%,79,0.00575733365957995,0.104739821487337,-0.08000000000000007,1.1666666666666667,17.4,0.21436781609195396,13.67,14.0,-0.08647169471071955,1720689.3333333333,1883564.3333333333,0.015513926174365622,0.10824585219871875,1
NVMM,"Novume Solutions, Inc.",1.36,1.5,0.0,21.776992,-0.451029,-921300.0_-60.96%_12338200.0_280.84%,-2193800.0_-303.05%_11218800.000000002_223.26%,-3127700.0_-581.13%_11004000.0_332.29%,"-791400.0_-1,324.80%_4421600.0_83.81%",-921300.0,-60.96%,12338200.0,280.84%,-2193800.0,-303.05%,11218800.000000002,223.26%,-3127700.0,-581.13%,11004000.0,332.29%,-791400.0,"-1,324.80%",4421600.0,83.81%,40,0.07601102101043333,-0.014117857015383532,0.08999999999999993,-0.03336666666666669,4.45,0.6314606741573034,1.64,1.3699999999999999,-0.07968079318058159,45669.0,49623.0,0.09084839829165613,-0.012110905676042125,0
SNOA,"Sonoma Pharmaceuticals, Inc.",1.73,1.89,0.0,0.966354,-2.900037,-3458000.0_1.43%_4369000.0_13.92%,-4763000.0_-95.53%_3655000.0_-9.28%,-3187000.0_-119.64%_4843000.0_44.09%,-2870000.0_-47.26%_4325000.0_54.57%,-3458000.0,1.43%,4369000.0,13.92%,-4763000.0,-95.53%,3655000.0,-9.28%,-3187000.0,-119.64%,4843000.0,44.09%,-2870000.0,-47.26%,4325000.0,54.57%,97,0.09055352780636756,-0.07225541330804487,0.1372,-0.1333333333333333,7.91,0.7633881163084703,1.8716,1.7105333333333332,7.754817065302819,1243899.0,142081.66666666666,0.08807762287224778,-0.08439562904016894,1
HYRE,Hyrecar Inc.,2.25,2.46,0.0,3.00882,-1.7908419999999998,-5042300.0_-555.80%_2273500.0_260.16%,-1767000.0_-114.65%_1714199.9999999998_239.22%,-1390600.0_-143.92%_1259000.0_396.55%,0_0_0_0,-5042300.0,-555.80%,2273500.0,260.16%,-1767000.0,-114.65%,1714199.9999999998,239.22%,-1390600.0,-143.92%,1259000.0,396.55%,0.0,0,0.0,0,16,-0.036202599299050654,-0.034154710111075424,-0.10333333333333321,-0.11003333333333327,5.05,0.5069306930693068,2.49,2.546666666666667,-0.47077456491396963,350355.0,662014.6666666666,-0.03875013345568541,-0.04430474584242806,0
PRTO,Proteon Therapeutics,1.54,1.68,0.0,7.267174000000002,-2.028775,-4879000.0_13.00%_0_0,-6081000.0_6.42%_0_0,-5551000.0_20.27%_0_0,-12307000.0_-73.17%_0_0,-4879000.0,13.00%,0.0,0,-6081000.0,6.42%,0.0,0,-5551000.0,20.27%,0.0,0,-12307000.0,-73.17%,0.0,0,208,-0.03552631578947372,-0.03571428571428572,-0.0733333333333334,-0.08333333333333333,20.0,0.916,1.68,1.7599999999999998,2.0455437164748806,724478.0,237881.33333333334,-0.05757740559036525,-0.05336027884030895,4
SGMS,美彩科技,22.52,24.67,0.0,-0.994295,-3.441196,-5800000.0_85.17%_844999999.9999999_10.23%,-202000000.0_-100.20%_811999999.9999999_11.91%,-43100000.0_61.10%_823000000.0_9.41%,-59300000.0_40.04%_769000000.0_6.79%,-5800000.0,85.17%,844999999.9999999,10.23%,-202000000.0,-100.20%,811999999.9999999,11.91%,-43100000.0,61.10%,823000000.0,9.41%,-59300000.0,40.04%,769000000.0,6.79%,252,-0.015576571737555596,-0.043523427082859535,-0.44333333333333275,-1.2833333333333339,60.25,0.5931950207468879,24.51,24.396666666666665,-0.12462458952887964,7140694.0,8157293.333333333,-0.017099287021858825,-0.05574241019477161,4
ALLK,Allakos Inc.,31.93,35.28,0.0,-19.738398,-16.164455,-9377000.0_-99.85%_0_0,-8485000.0_-67.82%_0_0,0_0_0_0,0_0_0_0,-9377000.0,-99.85%,0.0,0,-8485000.0,-67.82%,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13,-0.06926670884059029,0.0723631110372709,-3.6000000000000014,2.7399999999999998,47.64,0.26070528967254414,35.22,37.85333333333333,-0.11440576065836096,968508.0,1093625.0,-0.08218837165921421,0.06521123439238617,0
DCAR,DropCar Incorporated,0.54,0.59,0.0,0.570382,-4.78985,-4309100.0_-140.28%_6340400.0_612.97%,-3361400.0_-757.28%_4874600.0_663.37%,-2552400.0_-318.77%_1488100.0_135.78%,"-2902900.0_-1,019.27%_1269600.0_135.69%",-4309100.0,-140.28%,6340400.0,612.97%,-3361400.0,-757.28%,4874600.0,663.37%,-2552400.0,-318.77%,1488100.0,135.78%,-2902900.0,"-1,019.27%",1269600.0,135.69%,252,0.015338669662588428,-0.11623882503192841,0.007683999999999987,-0.07736666666666663,225.0548,0.9974232942376701,0.5799,0.5406666666666666,-0.21222656260569725,582274.3333333334,739139.3333333334,0.03344849508006859,-0.10122609692768363,4
EBIX,亚太交换中心,61.18,63.41,18.794914,3.998445,3.373785,29071000.0_21.65%_125000000.0_42.61%,26456000.0_-0.63%_108000000.0_36.82%,27525000.0_10.35%_105000000.0_30.78%,24538000.0_2.43%_92800000.0_24.38%,29071000.0,21.65%,125000000.0,42.61%,26456000.0,-0.63%,108000000.0,36.82%,27525000.0,10.35%,105000000.0,30.78%,24538000.0,2.43%,92800000.0,24.38%,252,-0.062448062263893045,0.0012586532410321428,-4.733999999999999,0.1000000000000038,86.9,0.24812428078250875,65.338,72.256,1.1731386148971898,1897221.0,873032.6666666666,-0.062225014306188986,-0.00681367724313647,4
VTVT,vTv Therapeutics Inc.,2.94,3.29,0.0,-0.72477,-1.431307,"-9596000.0_28.46%_2473000.0_18,923.08%","-9960000.0_30.28%_2064000.0_6,780.00%",-14592000.0_-6.43%_233000.0_513.16%,-12355000.0_8.52%_15000.0_-60.53%,-9596000.0,28.46%,2473000.0,"18,923.08%",-9960000.0,30.28%,2064000.0,"6,780.00%",-14592000.0,-6.43%,233000.0,513.16%,-12355000.0,8.52%,15000.0,-60.53%,168,1.1119034302759132,-0.07292208364194436,1.0566666666666666,-0.07540000000000006,10.0,0.633,3.67,2.5966666666666667,51.20932520472713,45656915.666666664,874497.3333333334,1.1248867173502728,-0.08984167495690516,3
PZZA,Papa John’S International,53.57,54.9,23.966326,-6.513127,2.290714,0_0_0_0,0_0_0_0,28975000.0_-15.47%_468000000.0_6.37%,22669000.0_0.08%_432000000.0_2.19%,0.0,0,0.0,0,0.0,0,0.0,0,28975000.0,-15.47%,468000000.0,6.37%,22669000.0,0.08%,432000000.0,2.19%,252,0.06137568738076677,0.0004536644061723088,2.87666666666667,0.01666666666666335,89.17,0.3941908713692946,54.02,51.88333333333333,1.0030998806985976,7852238.333333333,3920043.3333333335,0.05856769314358242,-0.00905388415616265,4
NSTG,NanoString Technologies Inc.,16.47,16.99,0.0,59.908207,-2.3149490000000004,-20601000.0_-352.27%_24999000.0_-27.73%,-19202000.0_-1.86%_23085000.0_27.80%,-8751000.0_24.51%_35233000.0_39.64%,-11404000.0_-13.05%_27016000.0_12.88%,-20601000.0,-352.27%,24999000.0,-27.73%,-19202000.0,-1.86%,23085000.0,27.80%,-8751000.0,24.51%,35233000.0,39.64%,-11404000.0,-13.05%,27016000.0,12.88%,252,-0.0036424826155991574,0.013788098766007834,-0.10500000000000043,0.21999999999999767,23.27,0.2902879243661366,16.515,16.775000000000002,-0.2582853304499462,1294875.3333333333,1745786.3333333333,0.0021825815867185286,0.0019891825948640932,4
ADIL,Adial Pharmaceuticals,2.6001,2.96,0.0,-15.002892999999998,-0.833268,-1792400.0_-578.22%_0_0,-379000.0_-112.22%_0_0,-404000.0_-323.02%_0_0,-292600.0_-182.97%_0_0,-1792400.0,-578.22%,0.0,0,-379000.0,-112.22%,0.0,0,-404000.0,-323.02%,0.0,0,-292600.0,-182.97%,0.0,0,12,-0.0521214721586575,-0.06584200021010612,-0.15499999999999994,-0.21333333333333337,4.05,0.33086419753086416,2.71,2.728333333333333,-0.6892410414273017,62118.333333333336,199892.33333333334,-0.018001121168979322,-0.028904743198118133,0
USAT,全美科技,6.35,6.94,0.0,3.69243,-0.227492,0_0_0_0,1160000.0_752.94%_35832000.0_35.42%,"-12516000.0_-5,471.67%_32506000.0_49.41%",-213000.0_91.36%_25617000.0_18.66%,0.0,0,0.0,0,1160000.0,752.94%,35832000.0,35.42%,-12516000.0,"-5,471.67%",32506000.0,49.41%,-213000.0,91.36%,25617000.0,18.66%,252,-0.06864344833308059,-0.17822072129473185,-0.583333333333333,-2.566666666666667,16.45,0.6018237082066868,6.55,6.946666666666666,-0.2995952961383004,5728657.0,8179067.0,-0.08562387964727998,-0.1868892527001186,4
AIRT,Air T,34.4555,37.89,18.712857,2.767706,2.024811,3282100.0_166.86%_60867500.0_27.61%,1462700.0_387.42%_53459200.0_22.37%,-714400.0_-142.90%_44501200.0_24.41%,478500.0_-55.69%_48861500.0_26.84%,3282100.0,166.86%,60867500.0,27.61%,1462700.0,387.42%,53459200.0,22.37%,-714400.0,-142.90%,44501200.0,24.41%,478500.0,-55.69%,48861500.0,26.84%,252,0.05391296816743734,0.004214634001754444,1.826166666666668,0.13333333333333286,37.88,0.0,37.88,35.4745,8.981415966923832,78058.0,7820.333333333333,0.040837389860318034,0.008508343864533472,4
PEIX,Pacific Ethanol,3.01,2.91,0.0,0.388939,-0.8210040000000001,-14604000.0_-46.95%_411000000.00000006_1.31%,-9497000.0_29.57%_400000000.0_3.54%,-14110000.0_-207.02%_395000000.0_-10.52%,-541000.0_84.62%_445000000.0_6.61%,-14604000.0,-46.95%,411000000.00000006,1.31%,-9497000.0,29.57%,400000000.0,3.54%,-14110000.0,-207.02%,395000000.0,-10.52%,-541000.0,84.62%,445000000.0,6.61%,252,0.1343662164606277,0.007467144563918754,0.25999999999999995,0.0,23.11,0.8836001730852444,2.69,2.1566666666666667,7.129122972955144,10680182.666666666,1313817.3333333333,0.16253097009799566,-0.010238040110657678,4
ACIU,AC Immune SA,7.35,7.95,0.0,5.63025,-0.4905640000000001,-11143000.0_9.60%_2028000.0_169.32%,-11614000.0_-22.83%_1458000.0_-27.32%,"4164000.0_187.35%_16421000.0_1,048.32%",-8793000.0_3.39%_1074000.0_-19.43%,-11143000.0,9.60%,2028000.0,169.32%,-11614000.0,-22.83%,1458000.0,-27.32%,4164000.0,187.35%,16421000.0,"1,048.32%",-8793000.0,3.39%,1074000.0,-19.43%,108,-0.04370682318059654,-0.028438923754646007,-0.3624666666666669,-0.2765333333333337,16.47,0.5444687310261079,7.5026,7.7442,2.132236469730718,1025615.3333333334,327438.6666666667,-0.04040756256166206,-0.032121743519305745,2
PBSK,Poage Bankshares,23.25,25.24,0.0,1.365358,-0.799204,704000.0_91.83%_3869000.0_-12.35%,229000.0_-50.54%_4019000.0_-7.95%,"-3680000.0_-1,608.20%_2711000.0_-37.48%",-18000.0_-104.95%_3795000.0_-18.77%,704000.0,91.83%,3869000.0,-12.35%,229000.0,-50.54%,4019000.0,-7.95%,-3680000.0,"-1,608.20%",2711000.0,-37.48%,-18000.0,-104.95%,3795000.0,-18.77%,252,-0.012770991903211024,-0.007618835869039651,-0.3266666666666668,-0.1999999999999993,26.8,0.06641791044776124,25.02,25.206666666666667,-0.7535197557420096,17302.666666666668,70199.0,-0.006260979277876628,-0.018790413429174736,4
EYEG,"Eyegate Pharmaceuticals, Inc.",0.39,0.4189,0.0,1.343083,-0.584044,-2780299.9999999995_16.43%_242000.0_63.20%,-2379300.0_18.51%_1096000.0_493.94%,-2831000.0_23.51%_0_0,-4140400.0_-22.62%_74700.0_-72.77%,-2780299.9999999995,16.43%,242000.0,63.20%,-2379300.0,18.51%,1096000.0,493.94%,-2831000.0,23.51%,0.0,0,-4140400.0,-22.62%,74700.0,-72.77%,168,0.03359807875936904,-0.12283348474524947,0.008383333333333317,-0.054700000000000006,7.15,0.943958041958042,0.4007,0.37455,2.5684106197843874,7476789.666666667,2095271.6666666667,0.06908638294867321,-0.14870193207096707,3
XSPA,XpresSpa Group,0.1601,0.18,0.0,0.35224,-1.621634,-3346000.0_51.58%_13038000.0_0.86%,-23850000.0_-275.65%_12600000.0_13.68%,-10586000.0_-165.98%_140000.0_103.12%,-4544000.0_13.63%_17731000.0_471.78%,-3346000.0,51.58%,13038000.0,0.86%,-23850000.0,-275.65%,12600000.0,13.68%,-10586000.0,-165.98%,140000.0,103.12%,-4544000.0,13.63%,17731000.0,471.78%,127,0.09790229589560695,-0.043037005552640985,0.0152,-0.007144999999999994,3.55,0.9475492957746479,0.1862,0.16933333333333334,0.46390802170174517,7264267.333333333,4962243.0,0.09242860758001281,-0.06555077343521411,2
ESES,"Eco-Stim Energy Solutions, Inc.",0.255,0.28,0.0,0.387596,-0.154187,-16576500.0_-169.63%_18211100.0_113.55%,-12860500.0_-155.73%_17778800.0_593.77%,-9130000.0_-98.81%_19807200.0_860.22%,-6640100.0_-38.18%_13120200.0_519.47%,-16576500.0,-169.63%,18211100.0,113.55%,-12860500.0,-155.73%,17778800.0,593.77%,-9130000.0,-98.81%,19807200.0,860.22%,-6640100.0,-38.18%,13120200.0,519.47%,182,-0.10382891742836198,-0.05598104240665842,-0.046799999999999974,-0.024499999999999984,7.05,0.9631205673758866,0.26,0.27366666666666667,4.415100041464323,1284200.0,237151.66666666666,-0.11425395435961432,-0.031391227927869754,3
FPAY,FlexShopper Inc,0.96,0.995,0.0,-0.7511800000000001,-2.334179,-1974900.0_-26.35%_19076300.0_14.32%,-2286300.0_-116.82%_19951400.0_14.39%,-3985600.0_-14.08%_16413599.999999998_14.57%,-1727600.0_33.90%_16503800.000000002_33.87%,-1974900.0,-26.35%,19076300.0,14.32%,-2286300.0,-116.82%,19951400.0,14.39%,-3985600.0,-14.08%,16413599.999999998,14.57%,-1727600.0,33.90%,16503800.000000002,33.87%,99,-0.12093223254213964,-0.1534900672703241,-0.24176666666666666,-0.35999999999999993,6.5,0.8369230769230769,1.06,0.9342333333333334,26.947834113832855,4965324.0,177664.0,-0.0872635749842683,-0.1625013544707462,1
ESEA,Euroseas Ltd,1.17,1.245,0.0,3.648215,-0.475808,2661400.0_356.97%_9750600.0_-2.60%,-3230400.0_-47.52%_12927500.0_55.90%,1954500.0_111.09%_13545900.0_85.24%,-4823500.0_-5.77%_11068500.0_53.17%,2661400.0,356.97%,9750600.0,-2.60%,-3230400.0,-47.52%,12927500.0,55.90%,1954500.0,111.09%,13545900.0,85.24%,-4823500.0,-5.77%,11068500.0,53.17%,252,-0.035344960873406536,-0.025068279043167312,-0.05113333333333333,-0.03880000000000002,7.6,0.8412368421052632,1.2066,1.2188666666666668,2.976245732707068,334670.0,84167.33333333333,-0.05358303106243081,-0.048900799221796486,4
VOXX,奥迪富斯,5.4,5.76,3.739677,0.3073,1.54024,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,252,0.030904159633135864,-0.0029437823315899155,0.1633333333333334,-0.016666666666666607,16.65,0.6588588588588589,5.68,5.403333333333333,0.9945415411997227,385501.0,193278.0,0.027836907815204478,-0.01589579953185799,4
MTBCP,"Medical Transcription Billing, Corp",25.2,26.88,0.0,0.0,-0.64,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,154,-0.00910048060889433,-0.0008325385692566327,-0.2966333333333336,-0.023299999999998988,199999.98,0.9998644994864498,27.1001,26.140033333333335,5.897916876067947,183006.33333333334,26530.666666666668,0.0005100385125365176,-0.007452216385467977,2
CCRC,中国客户关系中心有限公司,13.02,14.04,29.33256,6.566492,0.478649,0_0_0_0,0_0_0_0,2443900.0_31.28%_27117300.0_41.78%,2443900.0_31.28%_27117300.0_41.78%,0.0,0,0.0,0,0.0,0,0.0,0,2443900.0,31.28%,27117300.0,41.78%,2443900.0,31.28%,27117300.0,41.78%,147,0.12794450688842673,0.023882110595115566,1.3600000000000005,0.22000000000000064,24.6,0.4215447154471545,14.23,13.776666666666666,-0.238265026831552,240270.0,315424.6666666667,0.1250589846310413,0.012685742367417397,2
