code,name,open,latestPrice,pe,pb,eps,2018-06,2018-03,2017-12,2017-09,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09
ADIL,Adial Pharmaceuticals,2.6001,2.96,0.0,-15.002892999999998,-0.833268,-1792400.0_-578.22%_0_0,-379000.0_-112.22%_0_0,-404000.0_-323.02%_0_0,-292600.0_-182.97%_0_0,-1792400.0,-578.22%,0,0,-379000.0,-112.22%,0,0,-404000.0,-323.02%,0,0,-292600.0,-182.97%,0,0
USAT,全美科技,6.35,6.94,0.0,3.6924300000000003,-0.227492,0_0_0_0,1160000.0_752.94%_35832000.0_35.42%,"-12516000.0_-5,471.67%_32506000.0_49.41%",-213000.0_91.36%_25617000.0_18.66%,0,0,0,0,1160000.0,752.94%,35832000.0,35.42%,-12516000.0,"-5,471.67%",32506000.0,49.41%,-213000.0,91.36%,25617000.0,18.66%
AIRT,Air T,34.4555,37.89,18.712857,2.767706,2.024811,3282100.0_166.86%_60867500.0_27.61%,1462700.0_387.42%_53459200.0_22.37%,-714400.0_-142.90%_44501200.0_24.41%,478500.0_-55.69%_48861500.0_26.84%,3282100.0,166.86%,60867500.0,27.61%,1462700.0,387.42%,53459200.0,22.37%,-714400.0,-142.90%,44501200.0,24.41%,478500.0,-55.69%,48861500.0,26.84%
PEIX,Pacific Ethanol,3.01,2.91,0.0,0.388939,-0.8210040000000001,-14604000.0_-46.95%_411000000.00000006_1.31%,-9497000.0_29.57%_400000000.0_3.54%,-14110000.0_-207.02%_395000000.0_-10.52%,-541000.0_84.62%_445000000.0_6.61%,-14604000.0,-46.95%,411000000.00000006,1.31%,-9497000.0,29.57%,400000000.0,3.54%,-14110000.0,-207.02%,395000000.0,-10.52%,-541000.0,84.62%,445000000.0,6.61%
ACIU,AC Immune SA,7.35,7.95,0.0,5.63025,-0.49056400000000006,-11143000.0_9.60%_2028000.0_169.32%,-11614000.0_-22.83%_1458000.0_-27.32%,"4164000.0_187.35%_16421000.0_1,048.32%",-8793000.0_3.39%_1074000.0_-19.43%,-11143000.0,9.60%,2028000.0,169.32%,-11614000.0,-22.83%,1458000.0,-27.32%,4164000.0,187.35%,16421000.0,"1,048.32%",-8793000.0,3.39%,1074000.0,-19.43%
PBSK,Poage Bankshares,23.25,25.24,0.0,1.365358,-0.799204,704000.0_91.83%_3869000.0_-12.35%,229000.0_-50.54%_4019000.0_-7.95%,"-3680000.0_-1,608.20%_2711000.0_-37.48%",-18000.0_-104.95%_3795000.0_-18.77%,704000.0,91.83%,3869000.0,-12.35%,229000.0,-50.54%,4019000.0,-7.95%,-3680000.0,"-1,608.20%",2711000.0,-37.48%,-18000.0,-104.95%,3795000.0,-18.77%
EYEG,"Eyegate Pharmaceuticals, Inc.",0.39,0.4189,0.0,1.343083,-0.584044,-2780299.9999999995_16.43%_242000.0_63.20%,-2379300.0_18.51%_1096000.0_493.94%,-2831000.0_23.51%_0_0,-4140400.0_-22.62%_74700.0_-72.77%,-2780299.9999999995,16.43%,242000.0,63.20%,-2379300.0,18.51%,1096000.0,493.94%,-2831000.0,23.51%,0,0,-4140400.0,-22.62%,74700.0,-72.77%
XSPA,XpresSpa Group,0.1601,0.18,0.0,0.35224,-1.621634,-3346000.0_51.58%_13038000.0_0.86%,-23850000.0_-275.65%_12600000.0_13.68%,-10586000.0_-165.98%_140000.0_103.12%,-4544000.0_13.63%_17731000.0_471.78%,-3346000.0,51.58%,13038000.0,0.86%,-23850000.0,-275.65%,12600000.0,13.68%,-10586000.0,-165.98%,140000.0,103.12%,-4544000.0,13.63%,17731000.0,471.78%
ESES,"Eco-Stim Energy Solutions, Inc.",0.255,0.28,0.0,0.387596,-0.154187,-16576500.0_-169.63%_18211100.0_113.55%,-12860500.0_-155.73%_17778800.0_593.77%,-9130000.0_-98.81%_19807200.0_860.22%,-6640100.0_-38.18%_13120200.0_519.47%,-16576500.0,-169.63%,18211100.0,113.55%,-12860500.0,-155.73%,17778800.0,593.77%,-9130000.0,-98.81%,19807200.0,860.22%,-6640100.0,-38.18%,13120200.0,519.47%
FPAY,FlexShopper Inc,0.96,0.995,0.0,-0.7511800000000001,-2.3341790000000002,-1974900.0_-26.35%_19076300.0_14.32%,-2286300.0_-116.82%_19951400.0_14.39%,-3985600.0_-14.08%_16413599.999999998_14.57%,-1727600.0_33.90%_16503800.000000002_33.87%,-1974900.0,-26.35%,19076300.0,14.32%,-2286300.0,-116.82%,19951400.0,14.39%,-3985600.0,-14.08%,16413599.999999998,14.57%,-1727600.0,33.90%,16503800.000000002,33.87%
ESEA,Euroseas Ltd,1.17,1.245,0.0,3.648215,-0.475808,2661400.0_356.97%_9750600.0_-2.60%,-3230400.0_-47.52%_12927500.0_55.90%,1954500.0_111.09%_13545900.0_85.24%,-4823500.0_-5.77%_11068500.0_53.17%,2661400.0,356.97%,9750600.0,-2.60%,-3230400.0,-47.52%,12927500.0,55.90%,1954500.0,111.09%,13545900.0,85.24%,-4823500.0,-5.77%,11068500.0,53.17%
VOXX,奥迪富斯,5.4,5.76,3.7396769999999995,0.3073,1.54024,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTBCP,"Medical Transcription Billing, Corp",25.2,26.88,0.0,0.0,-0.64,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCRC,中国客户关系中心有限公司,13.02,14.04,29.332559999999997,6.566492,0.478649,0_0_0_0,0_0_0_0,2443900.0_31.28%_27117300.0_41.78%,2443900.0_31.28%_27117300.0_41.78%,0,0,0,0,0,0,0,0,2443900.0,31.28%,27117300.0,41.78%,2443900.0,31.28%,27117300.0,41.78%
PTIE,Pain Therapeutics,1.25,1.38,0.0,2.764408,-1.449956,-2452000.0_41.06%_0_0,-2160000.0_21.25%_0_0,-2418000.0_4.12%_0_0,-2590000.0_26.38%_0_0,-2452000.0,41.06%,0,0,-2160000.0,21.25%,0,0,-2418000.0,4.12%,0,0,-2590000.0,26.38%,0,0
BURG,Chanticleer Holdings,2.21,2.3748,0.0,0.923011,-2.184409,-805800.0_59.77%_10399900.0_-3.39%,-2681800.0_-53.43%_9995500.0_1.37%,-2263900.0_-23.91%_10082200.0_2.24%,-1726200.0_-83.00%_10725400.0_-2.29%,-805800.0,59.77%,10399900.0,-3.39%,-2681800.0,-53.43%,9995500.0,1.37%,-2263900.0,-23.91%,10082200.0,2.24%,-1726200.0,-83.00%,10725400.0,-2.29%
ADRO,"Aduro Biotech, Inc.",6.12,6.52,0.0,2.9216,-1.2530569999999999,-24397000.0_-25.76%_2639000.0_-55.40%,-21494000.0_1.46%_6627000.0_75.69%,-26132000.0_11.61%_3756000.0_-3.15%,-24520000.0_30.04%_3794000.0_0.00%,-24397000.0,-25.76%,2639000.0,-55.40%,-21494000.0,1.46%,6627000.0,75.69%,-26132000.0,11.61%,3756000.0,-3.15%,-24520000.0,30.04%,3794000.0,0.00%
CETX,Cemtrex Inc.,1.35,1.44,0.0,0.46208999999999995,-0.177189,-2583200.0_-318.44%_19164300.0_-31.08%,423500.0_2.42%_20601200.0_-32.47%,732000.0_-47.93%_32381900.0_10.15%,1388200.0_-31.98%_32919300.0_-10.46%,-2583200.0,-318.44%,19164300.0,-31.08%,423500.0,2.42%,20601200.0,-32.47%,732000.0,-47.93%,32381900.0,10.15%,1388200.0,-31.98%,32919300.0,-10.46%
GH,Guardant Health Inc.,29.63,31.51,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMRS,阿米瑞斯,8.65,9.2,0.0,-2.31155,-2.294111,1533000.0_147.26%_23194000.0_-9.68%,-91496000.0_-144.83%_22998000.0_77.18%,-1717000.0_96.48%_80588000.0_262.39%,-33861000.0_-71.85%_24197000.0_-8.84%,1533000.0,147.26%,23194000.0,-9.68%,-91496000.0,-144.83%,22998000.0,77.18%,-1717000.0,96.48%,80588000.0,262.39%,-33861000.0,-71.85%,24197000.0,-8.84%
SLNO,Capnia Inc,1.99,2.0887,0.0,2.824218,-1.328554,-7637000.0_-92.42%_0_0,-3755000.0_-30.07%_0_0,-5025400.0_-92.31%_0_0,-3786000.0_-37.67%_0_0,-7637000.0,-92.42%,0,0,-3755000.0,-30.07%,0,0,-5025400.0,-92.31%,0,0,-3786000.0,-37.67%,0,0
TGTX,TG Therapeutics Inc.,5.26,5.61,0.0,4.565325,-2.121542,-44142000.0_-55.69%_38000.0_0.00%,-41529000.0_-49.78%_38000.0_0.00%,-30859800.0_-30.35%_38100.0_0.00%,-31535700.0_-27.00%_38100.0_0.00%,-44142000.0,-55.69%,38000.0,0.00%,-41529000.0,-49.78%,38000.0,0.00%,-30859800.0,-30.35%,38100.0,0.00%,-31535700.0,-27.00%,38100.0,0.00%
ANIX,ITUS Corp,5.25,5.62,0.0,16.608520000000002,-0.547941,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNGO,Bionano Genomics,6.75,6.94,0.0,-1.215641,-243.79599,-3311500.0_50.39%_3390000.0_54.36%,-3847400.0_32.33%_1768500.0_2.77%,0_0_0_0,0_0_0_0,-3311500.0,50.39%,3390000.0,54.36%,-3847400.0,32.33%,1768500.0,2.77%,0,0,0,0,0,0,0,0
SNDE,Sundance Energy Australia Limited,6.4,6.55,0.0,0.235551,-3.0376,-58010000.0_-606.49%_24990000.0_35.99%,-15583000.0_-731.66%_24036000.0_3.46%,-10671000.0_56.64%_21742000.0_4.84%,-6018000.0_-509.73%_31584000.0_80.93%,-58010000.0,-606.49%,24990000.0,35.99%,-15583000.0,-731.66%,24036000.0,3.46%,-10671000.0,56.64%,21742000.0,4.84%,-6018000.0,-509.73%,31584000.0,80.93%
AAME,美国大西洋,2.68,2.71,51.806537,0.5400550000000001,0.05231,3185000.0_118.15%_49443000.0_13.32%,"-5024000.0_-2,173.30%_40540000.0_-7.57%",2542000.0_88.58%_48825000.0_21.97%,747000.0_401.34%_44798000.0_5.54%,3185000.0,118.15%,49443000.0,13.32%,-5024000.0,"-2,173.30%",40540000.0,-7.57%,2542000.0,88.58%,48825000.0,21.97%,747000.0,401.34%,44798000.0,5.54%
EGAN,eGain Communications Corporation,7.25,7.74,0.0,-24.612078,-0.07284199999999999,"-536000.0_-1,091.11%_15589000.0_6.62%",-99000.0_96.06%_15745000.0_13.68%,-788000.0_24.88%_15398000.0_2.66%,-568000.0_76.44%_14575000.0_-1.15%,-536000.0,"-1,091.11%",15589000.0,6.62%,-99000.0,96.06%,15745000.0,13.68%,-788000.0,24.88%,15398000.0,2.66%,-568000.0,76.44%,14575000.0,-1.15%
LFVN,Lifevantage Corporation,10.22,10.83,26.303326000000002,6.960911,0.411735,"2992000.0_3,461.90%_54033000.0_6.70%","1635000.0_2,580.33%_50562000.0_12.34%",317000.0_12.01%_49482000.0_1.09%,817000.0_-30.76%_49127000.0_-10.51%,2992000.0,"3,461.90%",54033000.0,6.70%,1635000.0,"2,580.33%",50562000.0,12.34%,317000.0,12.01%,49482000.0,1.09%,817000.0,-30.76%,49127000.0,-10.51%
ELGX,恩多勒吉克斯,1.51,1.6,0.0,3.4202690000000002,-0.862985,-23876000.0_-46.55%_44740000.0_-7.86%,-19767000.0_7.26%_42284000.0_-0.77%,-14521000.0_41.74%_44003000.0_-7.29%,-14273000.0_6.38%_45986000.0_-11.77%,-23876000.0,-46.55%,44740000.0,-7.86%,-19767000.0,7.26%,42284000.0,-0.77%,-14521000.0,41.74%,44003000.0,-7.29%,-14273000.0,6.38%,45986000.0,-11.77%
ATXI,Avenue Therapeutics Inc.,2.48,2.5,0.0,5.259328,-2.4151860000000003,-4657000.0_-93.56%_0_0,"-10377000.0_-1,469.89%_0_0",-6243000.0_-666.01%_0_0,-2948000.0_-441.91%_0_0,-4657000.0,-93.56%,0,0,-10377000.0,"-1,469.89%",0,0,-6243000.0,-666.01%,0,0,-2948000.0,-441.91%,0,0
FUV,"Arcimoto, Inc.",3.8,3.94,0.0,5.366537999999999,-0.422612,-2169100.0_-270.71%_85300.0_0,-2048100.0_-301.61%_660.0_-98.38%,-1525700.0_-262.21%_86400.0_0,-694599.9999999999_-22.30%_0_0,-2169100.0,-270.71%,85300.0,0,-2048100.0,-301.61%,660.0,-98.38%,-1525700.0,-262.21%,86400.0,0,-694599.9999999999,-22.30%,0,0
MYND,"MYnd Analytics, Inc.",1.36,1.46,0.0,2.946585,-2.312807,-2937200.0000000005_-86.80%_391700.0_869.55%,"-2659600.0_-83.17%_459900.0_1,341.69%",-2769300.0_-92.29%_122000.0_449.55%,-2648200.0_-166.82%_34000.0_82.80%,-2937200.0000000005,-86.80%,391700.0,869.55%,-2659600.0,-83.17%,459900.0,"1,341.69%",-2769300.0,-92.29%,122000.0,449.55%,-2648200.0,-166.82%,34000.0,82.80%
FDBC,"Fidelity D & D Bancorp, Inc.",68.0,71.0,26.933788,2.998158,2.636094,2768000.0_26.80%_9469000.0_5.53%,2528000.0_27.68%_9242000.0_9.27%,2327000.0_14.69%_8408000.0_1.84%,2226000.0_9.39%_8919000.0_8.50%,2768000.0,26.80%,9469000.0,5.53%,2528000.0,27.68%,9242000.0,9.27%,2327000.0,14.69%,8408000.0,1.84%,2226000.0,9.39%,8919000.0,8.50%
NMRD,"Nemaura Medical, Inc.",2.1,2.25,0.0,148.15949799999999,-0.017352,-763199.9999999999_-87.15%_0_0,-553300.0_-54.01%_0_0,-466400.0_-24.24%_0_0,-393000.0_-21.88%_0_0,-763199.9999999999,-87.15%,0,0,-553300.0,-54.01%,0,0,-466400.0,-24.24%,0,0,-393000.0,-21.88%,0,0
RMNI,"Rimini Street, Inc.",6.15,6.55,0.0,-1.7951599999999999,-0.37293699999999996,-25446000.0_1.60%_62649000.0_20.37%,3507000.0_124.23%_59805000.0_21.88%,-3923000.0_-116.31%_57904000.0_23.89%,-9040000.0_41.26%_53611000.0_31.65%,-25446000.0,1.60%,62649000.0,20.37%,3507000.0,124.23%,59805000.0,21.88%,-3923000.0,-116.31%,57904000.0,23.89%,-9040000.0,41.26%,53611000.0,31.65%
TSEM,Tower Semiconductor Ltd,20.91,21.12,7.745786,1.900163,2.726644,36009000.0_-30.39%_335000000.0_-2.88%,27181000.0_-42.22%_313000000.0_-5.26%,149000000.0_184.47%_358000000.0_5.06%,54241000.0_4.27%_355000000.0_8.69%,36009000.0,-30.39%,335000000.0,-2.88%,27181000.0,-42.22%,313000000.0,-5.26%,149000000.0,184.47%,358000000.0,5.06%,54241000.0,4.27%,355000000.0,8.69%
FRED,弗雷德,2.16,2.28,0.0,0.637158,-3.7362849999999996,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XTLB,XTL Biopharmaceuticals,2.05,2.3,4.023089,1.364219,0.5717,34000.0_102.45%_0_0,875000.0_189.56%_0_0,-2000.0_99.83%_0_0,1586000.0_654.55%_0_0,34000.0,102.45%,0,0,875000.0,189.56%,0,0,-2000.0,99.83%,0,0,1586000.0,654.55%,0,0
SNNA,Sienna Biopharmaceuticals Inc.,14.03,14.84,3.1144990000000004,5.441892,4.764811,-20239000.0_-57.42%_0_0,-17103000.0_-69.22%_0_0,-11189000.0_-35.00%_0_0,-16391000.0_-298.81%_0_0,-20239000.0,-57.42%,0,0,-17103000.0,-69.22%,0,0,-11189000.0,-35.00%,0,0,-16391000.0,-298.81%,0,0
