code,name,pe,pb,eps,count,end,max,mean,min,price_end,price_middle,price_start,start,,std,volume_end,volume_start,,year
SITO,"SITO Mobile, Ltd.",0,2.704093,-0.904724,38,1.88,7.65,3.804468421,1.88,4.569230769,3.65,3.143316667,4.18,,1.50229253,4469986.316,1624418.368,2845567.947,3
UGP,Ultrapar Participacoes S/A ADS,14.827021,0.622427,0.696701,228,9.55,26.67,9.402013596,0.3837,21.19947368,6.193067105,0.8135,0.9783,8.5717,9.686175447,11491900.53,13872661.32,-2380760.789,19
IDXG,Interpace Diagnostics Group Inc,0,0.987297,-0.86727,34,1.5,5.2,2.054244118,0.83,1.080075,2.214490909,2.956727273,0,,1.227608547,24589243.82,11443879.06,13145364.76,2
RGSE,"Real Goods Solar, Inc.",0,-142.963333,-2.29786,125,0.445,87000,19877.73923,0.3236,268.7951548,21049.14298,38764.97566,108000,,19307.84421,8594008.476,264.8225806,8593743.654,10
JCTCF,朱伊特卡梅伦贸易,7.888649,1.002067,1.11,252,8.65,8.675,2.599321429,0.4717,5.280652381,1.798452381,0.718859524,0.4867,8.1633,2.185529758,187255.5397,591229.0238,-403973.4841,21
SNOA,"Sonoma Pharmaceuticals, Inc.",0,0.981693,-2.900037,22,1.88,7.17,4.839086364,1.88,2.9025,5.328557143,6.562857143,4.918,,1.750590236,1512532.727,617754.7273,894778,1
ADAP,Adaptimmune Therapeutics plc,0,5.861617,-0.965384,41,10.94,18.33,8.738292683,4.03,9.682142857,5.489285714,11.22076923,19.25,,3.415516727,7162908.762,5012920.15,,3
TRPX,Therapix Biosciences Ltd.,0,2.714642,-13.69468,19,4.7,8.08,5.515068421,3.6,4.377357143,5.509133333,6.848333333,6.3,,1.220362997,1508888.5,1288897.111,219991.3889,1
BRY,Berry Petroleum Corp,0,0,0,3,15.85,16.39,15.33,13.75,15.85,16.39,13.75,13.25,,1.39470427,7143779,7694524,,0
CLGN,Collplant Holdings Ltd.,0,7.271128,-2.26235,9,5.18,8.95,6.427644444,5.18,5.6006,5.865666667,7.816666667,8.95,,1.202776283,92739.6,3102.25,89637.35,0
FTEK,燃料技术,0,0.834985,-0.14605,252,1.1695,34.25,6.467494841,0.7901,3.106055952,13.03857143,3.257857143,1.88,,6.556600146,2776088.214,2557641.27,218446.9444,21
PTIE,Pain Therapeutics,0,1.919862,-1.449956,219,0.9797,150.08,39.55015982,0.9797,15.43308219,46.98342466,56.2339726,101.5,,25.46932362,1991040.055,643808.1284,1347231.926,18
IVTY,"Invuity, Inc.",0,40.776599,-1.940173,40,4.9,14.12,8.05575,3.3,5.521428571,8.644615385,10.19615385,12.75,,3.20203452,3053065.85,1594565.25,1458500.6,3
KZIA,Kazia Therapeutics Limited,0,0.88323,-0.99328,237,3.4,2730,606.2747405,2.9246,10.45784177,585.2271392,1223.139241,700,,686.6190397,435704.8487,4004.449153,431700.3996,19
IDRA,井寺制药,0,2.929305,-2.794715,148,9.88,120,32.43795946,4,18.681,16.26546939,62.64816327,35.2,,27.34413184,3582283.054,130417.5405,3451865.514,12
CTRN,Citi Trends,22.038904,2.295628,1.522308,161,30.93,48.46,22.77708075,8.78,22.22407407,18.14462963,28.06037736,16.95,,8.892871962,2025174.58,4133563.75,,13
AVGR,"Avinger, Inc.",0,2.435885,-36.563374,45,1.6,908.4,253.0538889,1.11,6.2238,182.0312,570.9066667,526,,265.5603418,8335962.739,68195.36364,8267767.375,3
CABO,Cable ONE Inc,17.746715,6.42688,45.461372,40,833.54,837.74,600.11675,415.22,719.1228571,630.1584615,441.9146154,400,433.54,129.1139821,744939.9,794694.35,,3
LMFA,"LM Funding America, Inc",0,1.757264,-2.133415,34,0.48,8.9899,4.319662382,0.415,1.106918417,3.902336364,8.2418,8.9,,3.065712972,9104687.529,86189.94118,9018497.588,2
ARCI,Appliance Recycling Centers Of America,0,0.228481,-1.043672,252,1.06,11,2.726825599,0.5,2.116524417,3.910619048,2.153333333,2.94,,1.664908734,875408.9841,130760.3175,744648.6667,21
PTLA,Portola Pharmaceuticals Inc.,0,8.552021,-5.74756,65,29.37,63.45,33.84646154,17.99,41.81590909,34.02863636,25.30666667,15.25,,11.54232435,22084184.3,5962428.688,,5
EVLO,Evelo Biosciences,0,2.642441,-9.350357,5,13.24,15.89,13.408,11.8,13.355,12.22,15.89,16,,1.530349633,1027611.667,3146998,,0
EIGR,"Eiger BioPharmaceuticals, Inc.",0,3.613023,-3.848881,31,12.9,21.11,12.37096774,6.65,11.31818182,9.75,16.15,17.4,,3.807500803,2203995.75,515772.4,,2
CDMO,"Avid Bioservices, Inc.",0,8.143281,-0.563053,252,7.24,1515.5,141.2815897,2.0979,7.133935714,116.9608333,299.75,547.75,,181.3749066,4479063.317,123407.1032,4355656.214,21
FVE,Five Star Quality Care,0,0.424477,-0.735573,202,1.02,12.14,4.728242574,0.99,3.306985294,4.531641791,6.367313433,8.25,,2.754010284,4344768.168,3365211.881,979556.2871,16
LTM,LATAM Airlines Group SA,26.019737,1.514155,0.343201,251,8.67,30.81,9.845760956,0.135,14.12511905,13.9772619,1.333566265,0.55,8.12,8.294010892,9967558.119,10024207.2,-56649.08095,20
FLDM,Fluidigm Corporation,0,8.915879,-1.42746,92,7.93,46.85,16.42847826,3.76,6.582258065,27.27096774,15.399,13.5,,11.13801173,5874591.543,3219045.652,2655545.891,7
MNOV,美第奇新星生物技术,0,5.839553,-0.341601,142,12.35,13.28,4.776274648,1.59,6.122708333,2.497319149,5.680148936,11,,2.743879239,2319363.254,352995.7746,,11
SMIT,Schmitt Industries,0,1.192194,-0.150944,252,2.8,33.3903,5.015192063,1,2.620039286,5.585,6.840536905,29.2503,,4.504475239,498774.0159,233419.0952,265354.9206,21
VECO,Veeco Instruments Inc,0,0.891326,-5.984145,252,11.85,106.27,28.43706349,4.26,27.17178571,23.41178571,34.72761905,64.63,,14.16778887,15427211.6,10075884.13,,21
STAF,Staffing 360 Solutions Inc.,0,-1.17074,-5.806239,37,2.39,7.9,1.982791892,0.55,1.821307692,0.785708333,3.354816667,10.24,,1.60119923,6247844.632,2617217,3630627.632,3
SKIS,"Peak Resorts, Inc.",0,0.971278,-0.017736,47,5,8.89,5.556131915,3.21,4.93426875,4.785,7.041993333,9,,1.235071705,752405.7917,1221076.783,-468670.9909,3
TELL,Tellurian Inc.,0,6.197614,-0.432909,252,8.96,25.52,10.52867698,0.5315,8.085459524,12.38342857,11.11714286,28.72,,4.698964611,3732363.619,378683.119,3353680.5,21
AMD,AMD,73.160387,26.595495,0.327773,252,28.06,43.75,11.32539841,1.72,6.56577381,12.77607143,14.63435,14.75,,8.450749561,624418399.4,240254577,,21
ITUB,艾涛巴西联合银行,9.703991,0.524785,1.049053,199,9.96,18.4545,9.486342211,0.7782,11.08842836,12.9677,4.378624242,1.9027,8.0573,4.678024618,302125970.2,144613321.3,157512648.9,16
RIBT,RiceBran Technologies,0,4.624426,-0.221659,58,3.17,7.19,2.574801724,0.79,1.515165,1.617642105,4.647368421,4.26,,1.650257939,1528073.414,895033.7931,633039.6207,4
XSPL,"Xspand Products Lab, Inc.",0,5.32632,-0.570498,5,6.75,7.77,6.764,5.9,6.595,6.835,6.96,5.51,,0.689586833,415710.6667,2785019,-2369308.333,0
NSYS,Nortech Systems Incorporated,0,0.555972,-0.878575,252,4.23,12.5,5.26135,2,4.084169048,5.551904762,6.14797619,5.13,,1.987348384,185946.3968,106800.7937,79145.60317,21
MAG,迈力达电子,0,3.627711,-0.66,72,7.55,50.06,18.83833333,7.55,11.55333333,29.90458333,15.05708333,8.83,,10.51563129,4310847.083,151291.6667,4159555.417,6
MXWL,Maxwell Technologies,0,1.835981,-1.150012,252,3.49,40.25,12.27611111,3.49,7.898690476,13.50761905,15.42202381,29.75,,6.427469742,5570777.563,1649992.857,3920784.706,21
ACRS,Aclaris Therapeutics,0,2.747664,-3.38642,36,15.42,31.23,22.49388889,14.47,19.78583333,27.1225,20.57333333,11.94,,4.580161119,5878642.889,2642174.389,,3
IRDMB,Iridium Communications Inc,35098.15079,0.253759,0.02,53,664.74,664.74,366.372097,243.5,451.8961111,310.1470078,335.3497059,300,364.74,89.06405338,19598.37037,21842.23077,,4
REFR,Research Frontiers Incorporated,0,12.415645,-0.094959,252,1.1,34.94,7.456365476,0.81,3.579572619,5.577261905,13.2122619,9.75,,5.978112534,998775.8571,1280657.143,-281881.2857,21
DRIO,LabStyle Innovations Corp,0,5.855455,-0.103711,31,0.98,5.2399,2.663641935,0.98,1.427672727,2.60786,4.07899,3.65,,1.275524276,2010434.938,862882.6667,1147552.271,2
FORTY,配方系统,51.911771,0.834492,0.79,252,40.23,82.5,21.81480952,4.02,28.36311905,12.45142857,24.62988095,34.5,,11.91619798,68955.09524,304485.7143,,21
USLV,Velocitysharestm 3X Long Silver,0,0,0,58,5.94,56.5,19.55964138,5.94,11.233,15.27522105,32.60894737,43.98,,12.46896334,46125755.83,8635787.103,37489968.72,4
UBX,Unity Biotechnology,0,3.882793,-12.895898,5,17.81,19.06,16.372,14.9,18.435,15.045,14.9,19,,1.935347514,1009647,3231202,,0
GNMK,GenMark Diagnostics,0,8.556835,-1.041754,101,8.38,15.55,8.413366337,3.36,8.547941176,11.10647059,5.5,5.65,,3.26967438,5845968.137,2327156,3518812.137,8
KOOL,热动力医疗,0,0.587613,-2.120923,252,0.49,507.2,134.4549226,0.3833,13.6888631,190.0809524,199.5949524,242.504,,129.1629561,1474744.262,36693.29365,1438050.968,21
SIEB,Siebert Financial Corp,75.220203,48.168522,0.205264,252,16.14,31.5,4.466544048,1.16,3.146858333,2.696285714,7.556488095,2.22,,4.807429124,320120.1825,1152225.397,,21
NOVN,Novan Inc.,0,16.933468,-1.49087,25,2.76,27.02,7.368,2.56,2.955555556,5.125,14.575,14.4,,7.512909445,1141081.308,4964970.417,-3823889.109,2
TCDA,Tricida Inc.,0,-8.592889,-34.520897,4,32.29,32.29,29.1675,23.65,31.56,23.65,29.9,25,,3.807592196,1186093.5,3967090.5,,0
MVIS,维视图像,0,8.334448,-0.361282,252,1.035,512.48,50.33295794,0.895,2.115797619,25.4526,123.4304762,114,,75.56638559,7985072.365,561677.7778,7423394.587,21
MSON,Misonix Inc,0,6.852703,-0.70321,252,19.3,19.7,6.005630952,0.78,7.940761905,3.821845238,6.254285714,14.3333,,3.150518168,316524.3333,817053.1746,,21
HTGM,"HTG Molecular Diagnostics, Inc.",0,3.540362,-0.823943,41,4.4,14.35,3.953526829,1.66,3.173571429,2.9382,5.886907692,14,,2.600996776,23859763,1927193.3,21932569.7,3
RMBL,Rumbleon Inc.,0,15.03165,-1.191915,12,8.54,8.57,5.572083333,4.14,7.23,4.5225,4.96375,5.5,,1.510020256,1595394.167,786280.3333,809113.8333,1
NWPX,西北管道,0,0.906533,-1.22482,252,17.94,58.15,22.73281746,7.06,22.30702381,30.15095238,15.74047619,26.5,,9.322453403,1224800.262,542040.4762,,21
OPRA,Opera,0,0,0,3,12.1,12.1,11.99666667,11.8,12.1,11.8,12.09,14.34,,0.170391706,4788963,9609491,,0
ARDX,Ardelyx,0,1.670827,-1.001986,52,4.25,27.01,11.49740385,3.7,5.583333333,12.03235294,17.22441176,14.5,,5.942088536,8402319.462,2666531.038,5735788.423,4
OBAS,阿贝斯,0,0.810657,-0.246997,234,8.7499,881.25,83.06000214,4.8,8.590262821,55.58653846,185.0032051,187.5,,126.7129528,19943.36752,68232.13675,-48288.76923,19
PBR.A,巴西石油,102.75875,0.091458,0.086416,212,8.94,60.44,13.38537925,0.5975,10.6943662,27.06832817,2.236415714,1.7188,7.2212,12.57412256,190779609.9,281193680.2,-90414070.3,17
NVMM,"Novume Solutions, Inc.",0,20.760732,-0.451029,9,1.302,3.75,2.331155556,1.302,1.318233333,2.0738,3.601433333,4.623,,1.076772128,219315.2,91599.5,127715.7,0
CFMS,"ConforMIS, Inc.",0,1.387589,-1.010471,39,1.23,23.08,7.387820513,0.96,1.859615385,6.451538462,13.85230769,18,,6.06980434,8344508.75,8642112.895,-297604.1447,3
VSAR,Versartis Inc,0,0.946259,-1.048764,52,1.75,30.52,12.70221154,1.4,6.251388889,12.47941176,19.75529412,29.85,,8.066118768,12153050.08,2677452.462,9475597.615,4
AMCN,航美传媒,0,0.126699,-1.424327,131,0.42,22.89,4.598953435,0.42,2.999838636,2.308409091,8.579069767,19.5,,4.27088623,9490921.455,4114370.769,5376550.685,10
ELOX,"Eloxx Pharmaceuticals, Inc.",0,8.761544,-3.713997,6,17.23,18.32,15.82833333,12.27,17.775,16.12,13.59,10.35,,2.17500728,1041060.333,4011024,,0
DAKT,Daktronics,200.723027,1.663304,0.037066,252,7.86,36.84,10.00095397,0.6725,10.09184524,15.1910119,4.720004762,0.735,7.125,6.500975572,4201775.238,5307374.603,-1105599.365,21
NFLX,"Netflix, Inc.",157.391826,34.748668,2.279788,197,363.6,391.43,48.04135431,0.6407,127.2563091,13.45170152,2.729509231,1.1564,,78.27867415,462860609.9,261196492.9,,16
NERV,Minerva Neurosciences,0,3.538909,-0.907455,51,10.45,14.115,7.396666667,4.38,7.405882353,9.382647059,5.401470588,6.24,,2.534768168,4364349.962,4359927.6,,4
CNTY,世纪赌场,62.27416,1.346261,0.13007,252,7.81,11.14,4.392142857,0.75,5.712619048,5.3925,2.071309524,0.72,7.09,2.812042999,1537123.468,1140426.19,396697.2778,21
VCEL,Vericel Corporation,0,5.89506,-0.472008,47,11.65,13.45,4.618723404,2.02,7.984375,2.79125,2.978,3,,3.249885361,17143513.75,5217551.174,,3
RAVE,RAVE Restaurant Group,0,7.286815,-0.211304,252,1.36,13.98,3.483729365,1.01,5.104164286,2.305119048,3.041904762,4.81,,2.401608216,1057599.5,351845.2381,705754.2619,21
AQXP,"Aquinox Pharmaceuticals, Inc.",0,0.825444,-1.696466,55,3.06,18.06,10.57281818,1.84,11.29210526,11.86666667,8.519722222,11.8,,4.006769476,4443560,6536596.963,-2093036.963,4
MYOS,MYOS Corporation,0,2.647696,-0.632107,51,1.3101,14.19,3.258631373,1.18,1.440976471,1.895164706,6.439752941,14.21,,3.379020318,6337130.808,326112.8,6011018.008,4
MGIC,Magic Software Enterprises Ltd,22.496545,2.098458,0.402284,252,9.05,26.6667,4.559581349,0.77,6.768684524,2.558154762,4.351904762,2,7.05,3.719740504,2325002.032,2095819.841,229182.1905,21
JNCE,Jounce Therapeutics Inc.,0,2.499061,-0.997254,21,7.71,28.32,16.15,7.06,12.06714286,17.19142857,19.19142857,18,,5.97595097,8452341,3498209.4,4954131.6,1
MSTR,MicroStrategy Incorporated,0,2.766664,-0.120549,244,147.75,1390.6,127.4448361,5,145.3153659,86.23148148,150.567037,81.25,,155.2216234,2272196.934,5476109.016,,20
STLR,Stellar Acquisition III Inc.,0,6.198464,-0.1728,24,10.45,10.45,10.19233333,9.88,10.37615,10.17085,10.03,9.92,,0.16865424,289117.6667,183912.25,,2
MELI,MercadoLibre,0,104.885047,-1.454434,134,342.27,387.97,115.0477612,12.32,206.1055556,95.30255556,42.11443182,22,,87.4040507,11563042.9,14386004.48,,11
EPM,Evolution Petroleum,19.86123,4.289878,0.500976,147,9.75,13.16,6.625680272,1.2,7.320612245,9.108571429,3.447857143,3.1,6.65,2.926755745,1866484.635,1090543.836,775940.7995,12
CSBR,"Champions Oncology, Inc.",0,31937.51407,-0.13429,140,8.8,21,8.178612857,1.58,4.362676596,9.730212766,10.49217391,6.12,,4.105129683,511721.2429,12520,499201.2429,11
TROV,TrovaGene,0,0.850073,-3.548187,76,0.815,131.52,49.64995132,0.77,14.44831923,69.0624,66.8472,48,,31.98624645,3157795.184,281607.8158,2876187.368,6
BJRI,BJs餐饮,27.167162,5.321555,2.749643,252,75.45,75.7,22.91849206,1.16,41.29,22.00880952,5.456666667,2.19,,16.7928627,6803110.238,1660499.206,,21
CORI,"Corium International, Inc.",0,13.849429,-1.546149,54,9.89,14.66,7.600277778,3.47,9.42,5.095,8.285833333,8.23,,2.897609362,3572575.815,915391.7778,2657184.037,4
APRI,Apricus Biosciences,0,1.308711,-1.126056,97,0.28,56.1,18.63532062,0.2697,2.475033333,18.42,35.5159375,26,,15.28130136,7255110.122,578637.5,6676472.622,8
RVEN,Reven Housing Reit Inc,0,1.413767,-0.227387,26,3.97,5.956,4.773869231,2.58,3.8578,4.944611111,5.6123625,4.6,,0.900625865,79937.92308,22739.69231,57198.23077,2
INGN,Inogen Inc,161.52253,19.681347,1.523255,56,264.94,264.94,72.06625,14.11,135.8284211,50.94473684,27.05666667,16,248.94,58.03851748,3710763.286,3625005.786,,4
IBN,印度工业信贷投资银行,25.584795,0.027392,0.36936,223,9.17,12.6,5.736658744,0.5182,8.042513333,6.829722973,2.30657973,2.5455,6.6245,2.987893257,199681164.8,128558625.2,71122539.52,18
FANH,泛华金融控股集团,19.664951,2.88031,1.329777,131,24,33.4,12.2278626,4.85,13.20306818,6.994886364,16.58465116,25,,7.191427028,2942500.318,5959247.692,,10
CPIX,坎伯兰药业,0,1.517656,-0.297315,110,6.2,16.74,6.334145455,4.2,5.939621622,5.247297297,7.856666667,17.22,,2.270679637,406485.5818,1188090.909,-781605.3273,9
MHLD,Maiden Holdings,0,0.525532,-2.395481,125,3.45,17.75,9.72336,3.13,11.56380952,10.72642857,6.810487805,10,,3.287758562,8901399.222,4417764.516,4483634.706,10
IPIC,iPic Entertainment Inc.,0,-0.304052,-38.991913,8,6.94,11.83,8.72875,6.53,6.683333333,8.716666667,11.815,17,,2.156342389,161109.25,379506,-218396.75,0
VLRX,"Valeritas Holdings, Inc.",0,10.988477,-2.501041,19,1.0908,7.15,3.406357895,1.0908,1.571542857,3.216666667,5.736666667,9.5,,1.976126073,10227970.5,694850.7778,9533119.722,1
CPAH,CounterPath Corporation,0,1.454976,-0.51,75,2.1784,25.3,8.067356,1.9301,2.517368,4.6487,17.036,32.5,,7.221844246,1120892.526,56374.59459,1064517.932,6
WVVI,Willamette Valley Vineyards,17.602659,1.420771,0.455613,252,8.037,8.75,4.269838095,1.18,6.251954762,4.717678571,1.839880952,2,6.037,2.320134611,113996.6111,141811.9048,-27815.29365,21
VNET,世纪互联,0,1.656573,-1.077393,90,9.71,29.97,13.48705556,4.46,8.110833333,21.055,11.29533333,20.26,,6.335694445,16625866.96,12942957.78,3682909.178,7
DFBG,Differential Brands Group Inc.,0,1.307024,-0.880684,33,4.75,8,3.0098,0.8479,2.395045455,1.894718182,4.739636364,7.5,,1.820685624,4041582.412,334948.0625,3706634.349,2
BIOL,Biolase,0,1.71725,-0.982835,252,1.82,88.665,18.94357183,1.21,9.092084524,25.58803571,22.15059524,18.375,,15.90269915,873856.4444,974266.1905,-100409.746,21
AQMS,"Aqua Metals, Inc.",0,1.270066,-1.234358,39,2.37,19.54,7.416025641,1.82,3.092307692,12.32384615,6.831923077,6.5,,4.615733987,11221636.9,1988350.105,9233286.795,3
VIPS,唯品会,12.294584,1.932378,0.559596,79,6.605,29.44,11.76841772,0.44,11.97981481,18.89192308,4.425384615,0.6,6.005,7.234370179,175556313.9,127396453.8,48159860.05,6
BPTH,"Bio-Path Holdings, Inc.",0,3.59112,-0.768309,55,1.55,30.5,12.97865455,1.34,2.920842105,15.71555556,20.85833333,40.5,,9.013323203,1428674.143,299813.6667,1128860.476,4
OBLN,Obalon Therapeutics Inc,0,2.982031,-2.433571,24,2.8,12.93,7.151666667,1.66,2.915,8.0375,10.5025,15.21,,3.511126001,2845587.917,1521620.083,1323967.833,2
UGLD,Velocitysharestm 3X Long Gold Et,0,0,0,53,7.93,16.87,11.27149057,7.37,10.41805556,10.67772222,12.80382353,13.48,,2.312205795,13020232.04,6501887.846,6518344.191,4
MEET,MeetMe,0,1.793417,-1.020867,54,5.09,6.43,3.3975,1.53,3.844444444,4.397777778,1.950277778,2.92,,1.450103363,33366431.37,13976270.3,19390161.07,4
PLAB,福尼克斯,21.351384,0.979864,0.505822,252,10.65,42.56,13.78740079,0.45,8.539761905,10.47797619,22.34446429,30.065,,8.178474802,9385498.778,11542769.05,,21
CENX,世纪铝业,15.459688,1.286651,0.810495,252,12.03,73,17.76519841,2.11,11.90190476,28.31333333,13.08035714,17,,14.0181737,44923885.06,5824919.048,,21
LPSN,LivePerson,0,10.150751,-0.284513,222,27.25,27.25,7.248265766,0.12,11.57932432,7.346013514,2.819459459,8.75,,5.265364785,7519757.189,4165085.586,,18
VBIV,VBI Vaccines Inc.,0,1.04809,-0.893693,252,2.09,43.25,11.10059087,2.04,3.798433333,17.79619643,11.70714286,4.7625,,9.083362222,824602.5556,54858.73016,769743.8254,21
AGRX,"Agile Therapeutics, Inc.",0,0.366519,-0.750534,53,0.27,11.62,5.737075472,0.27,2.773888889,6.400277778,8.172352941,5.5,,2.887585849,6930526.074,1464364.346,5466161.728,4
SSRM,SSR Mining Inc,0,1.099,0,252,8.395,42.49,12.0606746,0.75,9.488809524,22.61059524,4.082619048,4.44,,9.602955385,27795002.11,8254665.873,19540336.24,21
HTHT,华住,51.302511,10.291005,0.674236,103,33.75,44.01,10.56945437,2.88,21.47285714,5.732611765,4.182205882,3.375,,10.64464602,21047949.23,13146305.88,,8
ABCD,新生,14.611084,-100.156284,0.940382,106,13.17,13.38,3.887537736,0.91,6.448611111,2.161685714,2.979142857,4,,2.591757977,1433205.17,663333.9623,,8
AVEO,AVEO制药公司,0,-7.004446,-0.238772,103,3,20.61,5.519494175,0.54,1.732482857,2.186205882,12.75117647,8.25,,5.654045075,31775607.35,9134429.412,22641177.93,8
MCEP,Mid-Con Energy Partners,0,0.750348,-1.232463,82,1.5,24.98,11.12445976,0.94,1.840917857,9.427407407,22.44888889,18,,9.947412474,3471267.293,2066000,1405267.293,6
XELA,"Exela Technologies, Inc.",0,-14.307036,-1.894507,42,5.88,10.08,8.28642381,4.52,5.302857143,9.733557143,9.822857143,9.85,,2.202308738,2553627.667,570972.1429,1982655.524,3
PZZA,Papa John’S International,19.513566,-5.303038,2.290714,252,45.79,88.36,23.88068452,5.5625,50.8560119,13.08431548,7.70172619,8.5,,22.42536439,9045993.722,19442561.9,,21
CATS,"Catasys, Inc.",0,-32.03948,-0.167198,18,9.33,9.33,5.435833333,3.57,7.344166667,4.288333333,4.675,4.75,,1.696512209,911671.7778,1085009.444,-173337.6667,1
IOTS,Adesto Technologies Corp,0,5.046137,-0.308491,36,5.9,9.1,5.435416667,1.8,7.245833333,4.272916667,4.7875,5.6,,2.06026953,4242751.778,1407039.167,2835712.611,3
ANET,"Arista Networks, Inc.",98.620631,13.424103,3.12896,52,289.82,298.98,128.2005769,60.03,224.4133333,82.64352941,71.88529412,55.25,234.57,78.22066179,18099735.42,13346644.23,,4
SHSP,SharpSpring Inc,0,7.503032,-0.810009,35,14.49,14.49,5.543134286,3.16,7.640333333,4.605483333,4.278172727,0,,2.666591999,850654,358115.5882,,2
DERM,Dermira,0,3.580467,-7.74454,48,9.47,34.61,23.44145833,7.99,19.08625,30.05125,21.186875,18,,8.255001318,13042144.08,3550740.333,9491403.75,4
ATXI,Avenue Therapeutics Inc.,0,8.37264,-2.415186,16,3.7,7.95,4.6978125,3.58,3.776666667,4.234,6.267,7.6,,1.283662688,571164.25,646727.625,-75563.375,1
NSSC,NAPCO Security Technologies,39.971798,4.780571,0.381519,252,15.4,15.8,4.008939286,0.4875,6.534345238,4.28445119,1.208021429,1.2278,,3.210741131,556731.8333,1694730.008,,21
ENTX,Entera Bio Ltd.,0,-1.600796,-2.195727,4,5.4,6.3,5.624975,5.3999,5.4,5.3999,6.3,7.3,,0.450016669,81740,260424.5,-178684.5,0
QUMU,Qumu Corp,0,5.71308,-1.234831,252,2.55,32.59,12.27589087,1.76,7.282025,19.40845238,10.13719524,2.5022,,6.97600282,626387.4365,765236.1111,-138848.6746,21
CDNA,CareDx,0,26.614321,-2.629829,51,23.87,24.31,6.30372549,0.87,8.657647059,3.753529412,6.5,9.5,,4.620785089,6557788.385,587021.12,,4
JG,极光,0,-25.734657,-0.308476,3,9.57,10.5,9.24,7.65,9.57,10.5,7.65,9,,1.453375382,4555210.5,4719157,-163946.5,0
ZS,Zscaler Inc.,0,21.851569,-1.402254,7,44.26,44.26,34.61857143,26.26,40.78666667,31.005,28.98,27.5,,7.030842597,25322839.5,22185890.67,,0
CMLS,Cumulus Media,1.024342,0.225196,19.417343,237,19.44,406,68.18931435,0.09,20.42920886,54.14987342,129.9888608,112,,63.05803617,2366884.756,1121676.619,,19
FATE,Fate Therapeutics Inc,0,12.215225,-1.183321,60,12.87,12.89,5.449916667,1.53,7.1595,3.31325,5.877,6.56,,2.867989683,7731100.4,1871789.067,,5
DMRC,数字标识,0,4.26088,-2.578686,120,29.9,45.14,25.69125,9,32.08275,24.6235,20.3675,11.5,,7.836217099,1305517.217,451543.3333,,10
ONCS,OncoSec Medical Incorporated,0,2.288851,-1.045214,41,1.57,7.95,2.224395122,0.92,1.502728571,1.408714286,3.88,7.9,,1.646444512,17187152.38,3236298.75,13950853.63,3
JCS,通信系统,0,0.731185,-1.190677,124,3.4,18.4,9.749889516,3.4,5.745745238,11.57036585,12.03121951,11.25,,3.666843875,263080.3548,293740.3226,-30659.96774,10
JASN,Jason Industries Inc.,0,-2.107861,-0.185984,51,2.775,10.55,4.004623529,1.2,2.135,2.623276471,7.255594118,10.7,,2.758433416,1781393.577,922958.36,858435.2169,4
GHC,Graham Holdings Company,9.523843,1.052628,59.482292,53,559.45,689.56,521.1321698,378.265,582.8138889,505.8072222,472.0485294,397.565,161.885,72.94029356,435304.4815,621331.4615,,4
HBIO,哈佛生物科学,0,2.849914,-0.138252,214,5.75,10.79,3.874719626,1.545,3.987847222,3.181478873,4.453239437,6.475,,1.452151525,2186414.131,2704542.991,-518128.8598,17
