code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,grow_3,grow_3_1,grow_3_2,grow_3_3,grow_6,month_six_rs,price,vol_radio,volume_end,volume_start,year,year_rs
PAYC,"Paycom Software, Inc.",97.335747,26.836098,1.550715,35722000,0.7847,54,18.41,7.8,39.07,8.36,7.906666667,0.329748911,54.57481481,0.453383064,14353432.48,9875877.074,4,0.217120388
ALGN,阿莱技术公司,99.927201,24.222031,3.678678,106000000,0.5338,213,18.37,3.52,29.84,21.75,24.27833333,0.463122116,45.4992723,0.29782584,17088709.14,13167182.08,17,0.348487185
TTD,Trade Desk Inc.,103.077804,19.727696,1.34219,19343000,0.0262,25,17.92,4.22,57.76,-8.22,16.34166667,0.418409916,57.838,0.395507402,21975371.85,15747227,2,0.233204486
CVCO,卡寇工业,31.588593,4.62852,7.686319,19691000,0.6754,184,17.2,12.2,33,6.4,14.10833333,0.244662668,58.75222826,0.007534373,741325.1739,735781.5217,15,0.207686453
TECH,Techne Corporation,56.281276,6.554522,3.344807,40901000,0.2741,252,17.16666667,8.24,30.2,13.06,7.963333333,0.158666386,61.94859127,-0.453335647,3134017.627,5732983.333,21,0.127693655
REGN,Regeneron Pharmaceuticals,25.408124,5.652737,14.811404,551000000,0.4221,252,16.58,-13.33,40.01,23.06,8.668333333,0.426623955,121.6789286,0.886305503,15312439.72,8117688.095,21,0.342392025
PRLB,Proto Labs Inc,61.79323,7.842468,2.377283,18314000,0.5153,80,16.03333333,9.9,30.9,7.3,8.25,0.217298646,68.888125,-0.193017772,4827210.325,5981805,6,0.166336254
GWW,美国固安捷,26.590412,10.821517,13.732393,248000000,1.3162,252,15.95,0.41,8.01,39.43,12.63666667,0.111454156,122.5145833,0.428231687,13548585.51,9486265.873,21,0.10092161
LGND,Ligand Pharmaceuticals Inc.,44.481085,8.557125,5.650042,73160000,11.0766,252,15.92333333,-5.64,41.97,11.44,14.95666667,0.346801057,63.16180714,0.800965099,4203955.667,2334279.365,21,0.29703838
DXCM,德康医疗,0,24.985557,-0.060621,30200000,9.4138,162,15.88,-1.07,50.25,-1.54,11.47833333,0.466436109,32.12731481,1.771878649,17175145.28,6196211.111,13,0.371350597
FICO,Fair Isaac Corp,51.38695,22.269437,4.381268,32361000,0.2828,252,15.58,9.18,29.21,8.35,11.745,0.204339444,47.6472754,-0.470390711,5255006.46,9922421.246,21,0.168524427
BIIB,生化基因,24.215998,5.624378,14.136522,915000000,0.0605,252,15.51666667,-15.17,17.65,44.07,10.41666667,0.223586334,119.0060706,-0.503141401,38952326.49,78397207.14,21,0.181433043
ASR,Grupo Aeroportuario del Sureste,18.547924,39.57022,9.96284,1098000000,-0.0466,217,14.85333333,16.28,8.59,19.69,5.225,0.211106799,73.41184332,-0.376657782,1342548.697,2153790.741,18,0.173940066
GRUB,GrubHub Inc,94.86805,8.968401,1.45929,30120000,1.0415,54,14.45,2.11,22.25,18.99,8.586666667,0.265239438,49.84351852,0.10652661,36901243.67,33348717.81,4,0.195452403
SODA,SodaStream International Ltd,35.141988,5.813948,4.051279,26110000,0.817,95,14.39666667,0.23,39.96,3,6.185,0.397103653,44.22857895,-0.662566642,7810975.583,23148202.13,7,0.286068633
LMT,洛克希德马丁,35.468168,218.724346,9.058545,1163000000,0.2178,252,14.18333333,15.8,-5.18,31.93,-0.185,0.099659917,107.0626389,-0.126038809,37637162.97,43065027.78,21,0.082953502
MTD,梅特勒-托利多,37.415973,26.898084,15.180682,111000000,0.0973,251,14.01333333,29.42,-5.51,18.13,7.661666667,0.135103041,157.3669323,0.107071926,4264813.921,3852336.8,20,0.126747309
HII,Huntington Ingalls Industries,18.228121,6.313163,13.583957,239000000,0.6259,90,12.72333333,9.07,11.14,17.96,-0.555,0.135387543,120.1835556,0.176524645,7242761.533,6156064.444,7,0.111729495
ZBRA,Zebra Technologies Corporation,52.909985,8.452174,3.192403,70000000,3.1176,252,12.59,7.39,34.34,-3.96,7.19,0.212726073,45.40012659,-0.378968331,7023831.706,11309941.27,21,0.175714506
ROG,罗杰斯,32.540891,3.088521,4.154465,17329000,-0.1707,252,12.46333333,9.11,21.81,6.47,5.036666667,0.230662963,46.90027778,0.422118385,2133157.262,1499985.714,21,0.200654356
ROP,儒博实业,28.334429,4.197553,10.468536,228000000,0.2724,252,12.33333333,12.46,-3.17,27.71,4.963333333,0.104572646,80.53063492,0.486607092,10308573.66,6934296.032,21,0.090392005
TMO,赛默飞世尔,39.375747,3.574979,5.960776,752000000,0.2288,252,12.27333333,3.09,4.94,28.79,6.07,0.126753675,65.21452381,1.190879026,47903995.91,21865194.44,21,0.107744316
IRBT,iRobot Corp.,52.270199,6.46617,2.067526,10471000,0.3249,155,12.07,-2.38,34.44,4.15,7.986666667,0.313538082,32.77741935,1.493814517,11415037.59,4577340.26,12,0.259145094
BIO.B,Bio-Rad Laboratories Inc Cl B,12.309845,2.038763,25.751745,268000000,52.2359,252,11.8,0,13.15,22.25,13.375,0.152571634,87.45864206,-0.03350238,4673.706349,4835.714286,21,0.12211895
KWR,奎克化学,70.833011,5.609265,2.503635,19370000,0.5696,252,11.79666667,10.2,1.68,23.51,6.74,0.3234341,45.21797619,2.25804853,1334051.929,409463.4921,21,0.255756198
PH,汉尼汾,21.506657,3.891989,7.97567,353000000,0.2044,252,11.31666667,11.94,7.84,14.17,3.188333333,0.25365974,64.39981349,-0.132119589,28194325.67,32486417.86,21,0.176351
OLED,Universal Display Corporation,91.735602,8.82997,1.329909,10814000,-0.7708,64,11.16666667,-2.1,23.85,11.75,3.175,0.316826753,66.1675,0.663442862,19055840.38,11455662.72,5,0.252576551
ADBE,Adobe,59.409276,14.709145,4.401838,663000000,0.7713,252,11.05333333,11.02,18.51,3.63,10.28666667,0.168422886,47.90292778,-0.407812313,90884477.25,153472419.8,21,0.144143269
JKHY,杰克亨利,32.641894,10.014732,4.854804,85280000,0.3183,252,10.90666667,4.16,23.74,4.82,6.998333333,0.124937159,37.40128968,-0.159090402,8545410.762,10162103.97,21,0.103277516
BA,波音,21.730004,-139.293348,16.07823,2196000000,0.2556,252,10.83666667,18.2,-11.3,25.61,6.708333333,0.147532479,88.95888889,0.151245497,96561183.87,83875406.35,21,0.120725541
USPH,US Physical Therapy Inc,68.642784,7.106937,1.727057,13236000,1.0714,74,10.63333333,2.8,20.35,8.75,7.725,0.158359986,52.07716216,0.858848876,1460226.27,785554.0541,6,0.124647241
IDXX,IDEXX实验室,70.910999,-525.310514,3.518495,109000000,0.2725,252,10.59333333,-5.43,9.11,28.1,9.433333333,0.167873714,41.63025794,-0.35699126,13548880.02,21071066.67,21,0.145721964
ATRI,Atrion公司公司,35.034908,5.996337,18.296038,8797000,-0.1226,252,10.51666667,-23.45,-33.5,88.5,-0.608333333,0.206790763,170.532004,0.194820838,84261.42063,70522.22222,21,0.170913449
JBT,约翰宾技术,45.156624,8.736464,2.513474,33600000,0.8771,123,10.46666667,0.85,8.25,22.3,1.183333333,0.216358556,39.47837398,-0.023327776,3112646.371,3186991.803,10,0.171058746
HUBB,Hubbell Incorporated,26.359218,4.059947,4.738001,102000000,0.2673,34,10.21333333,8.4,3.62,18.62,2.25,0.068455942,114.6832353,0.535808475,7942034.941,5171240.471,2,0.044163791
AAPL,苹果,19.40896,9.082616,11.137124,11519000000,0.3214,252,10.13333333,-4.57,28.5,6.47,7.559766667,0.237202757,44.88673135,-0.329074817,1910539612,2847619467,21,0.200106298
LII,雷诺士,28.269949,-49.204411,7.791312,138000000,0.1913,231,10.05333333,3.89,6.65,19.62,4.196666667,0.193581691,57.47874459,0.314183294,8578892.552,6527926.957,19,0.162099224
NSC,诺福克南方,8.734842,2.957063,20.018679,710000000,0.4286,252,9.676666667,5.6,4.8,18.63,7.213333333,0.15782056,57.43349206,0.412827908,50080231.64,35446802.38,21,0.134681069
BRK.B,伯克希尔B,12.903661,1.432873,16.117907,12077000000,1.7731,252,9.62,7.16,9.92,11.78,2.516666667,0.128938851,84.31230159,2.58272713,125315549.1,34977698.41,21,0.095972194
TDG,TransDigm,25.904242,-8.902196,13.702775,217000000,0.2851,151,9.556666667,20.67,-24.32,32.32,10.81333333,0.170936539,136.9330464,0.417030778,9747535.553,6878845.333,12,0.145386609
ROK,罗克韦尔自动化,55.786991,14.927833,3.137649,199000000,-0.0844,252,9.49,11.27,-6.12,23.32,3.173333333,0.202541908,70.90853175,0.26567979,22918639.33,18107770.63,21,0.156557264
ROKU,Roku Inc,23.72167,31.688542,2.66676,526000,1.0339,13,9.423333333,10.58,14.01,3.68,6.731666667,0.33971681,41.82615385,-0.093401465,136212665.6,150245847.8,1,0.116512954
IT,加特纳,157.391743,14.327937,0.923619,46270000,1.5014,252,9.403333333,6.46,18.4,3.35,7.206666667,0.202024281,39.65154762,0.124974763,10072670.46,8953685.714,21,0.171391596
CACI,CACI国际,15.82376,2.27031,12.234766,51831000,0.1718,252,9.316666667,0.85,19.45,7.65,7.466666667,0.207514093,56.07736111,-0.235411946,5091999.881,6659795.238,21,0.169658725
TYL,泰勒科技,51.85831,6.983146,4.669454,39161000,0.2326,252,9.26,2.12,21.16,4.5,6.36,0.204459485,46.95948413,0.501818253,4063801,2705920.635,21,0.175718424
APPF,"AppFolio, Inc.",152.553145,27.417531,0.530307,7474000,1.6721,40,9.183333333,3.15,12.95,11.45,7.658333333,0.178880702,31.607,1.062941152,2498279.6,1211028.05,3,0.144859573
SPSC,SPS Commerce,1287.587796,5.764279,0.07549,5416000,1.752,102,9.106666667,2.34,12.32,12.66,6.256666667,0.191854321,48.81259804,0.930331722,2469136.51,1279125.49,8,0.155105994
IQV,IQVIA,21.187027,3.45036,5.91966,68000000,0.0303,65,9.033333333,-0.31,4.89,22.52,4.721666667,0.113368634,72.69938462,1.267043261,27748407.61,12239910.94,5,0.086725969
SNA,施耐宝,16.510713,3.210869,10.665196,183000000,0.1652,252,9.006666667,9.45,7.68,9.89,6.715,0.154736832,67.54579365,0.50041432,8862816.397,5906912.698,21,0.121678792
HCA,HCA控股,16.110504,-7.590015,8.153687,966000000,0.2151,90,8.976666667,-4.44,9.43,21.94,5.11,0.154672152,62.406,-0.11147391,56648496.2,63755580,7,0.127780282
FTNT,飞塔信息,152.145721,17.42748,0.528375,49300000,1.1435,107,8.84,5.25,20.53,0.74,5.968333333,0.948608785,22.07345794,-0.817956069,36718899.81,201703509.4,8,0.551813942
TREX,Trex Co Inc,40.190946,15.933904,2.011896,42820000,0.4877,233,8.84,3.85,6.96,15.71,5.713333333,0.339663274,13.30313305,0.165259627,13519442.65,11602086.21,19,0.291092974
MASI,麦斯莫医疗,49.084015,7.415926,2.38978,43853000,-0.0285,134,8.773333333,5.45,18.17,2.7,5.973333333,0.198666442,40.08869403,-0.110847525,8501381.896,9561219.403,11,0.171348504
VRSN,威瑞信,33.133777,-13.779293,4.710601,128000000,0.0427,249,8.763333333,4.9,12.89,8.5,7.486666667,0.228304638,48.37608434,-0.538891253,41425658.03,89839237.1,20,0.178084515
RCL,皇家加勒比邮轮,14.804242,2.321933,8.086196,466000000,0.2619,252,8.75,7.05,9.49,9.71,1.956666667,0.380779145,44.7172619,1.21331891,52726480.56,23822360.32,21,0.278208674
AINC,Ashford Inc,0,4.812275,-3.003723,8932000,2.2352,47,8.728333333,-0.31,6.265,20.23,-1.134166667,0.312526811,71.78028936,-0.433496912,72758.20833,128433.913,3,0.208364755
CHTR,Charter Communications,7.648283,1.861884,39.312092,339000000,0.7385,97,8.723333333,8.31,5.41,12.45,1.753333333,0.140363257,171.7074742,1.64652622,34515035.59,13041637.5,8,0.124066555
ANDV,Andeavor,10.556909,2.329758,14.706956,582000000,5.6897,252,8.716666667,2.88,3.31,19.96,9.478333333,0.369639631,35.50434524,1.050453334,79568219.15,38805184.13,21,0.297430516
CHKP,Check Point软件科技,22.615362,4.98507,5.11776,198000000,0.0495,252,8.64,5.24,4.84,15.84,4.145,0.189701078,44.29331468,-0.634712833,34228090.03,93701868.25,21,0.143840046
AZPN,艾斯本,54.393203,-28.089826,2.061103,38020000,-0.3005,154,8.586666667,3.28,19.27,3.21,6.508333333,0.239101393,29.46853896,0.022417583,11117679.83,10873912.99,12,0.198423159
LLL,L-3通信,18.606932,3.040775,11.358132,379000000,0.8309,245,8.523333333,2.45,-0.24,23.36,1.455,0.12125408,81.97518367,-0.22044967,14700919.23,18858204.1,20,0.107087172
LIVN,LivaNova PLC,0,3.432711,-1.156743,15066000,-0.6828,36,8.326666667,-0.45,14.3,11.13,6.081666667,0.113408494,68.93125,0.046117771,8663212.889,8281297.889,3,0.086656799
CSGP,科斯塔,86.967401,5.546458,4.99578,43835000,0.976,243,8.28,-6.86,26.27,5.43,12.19833333,0.159587951,90.6073251,0.703812246,3399537.721,1995253.719,20,0.141257866
URI,联合租赁,8.50555,4.084324,18.360952,270000000,0.9149,250,8.123333333,13.08,7.13,4.16,-0.148333333,0.362634303,42.67592,1.658976469,35787740.76,13459216.8,20,0.301327734
AMED,阿米斯医疗,58.978084,9.715001,2.110784,33541000,6.4058,252,8.083333333,-5,21.02,8.23,8.106666667,0.32339237,25.16805556,1.215103103,9771581.008,4411343.651,21,0.297279299
FOXF,Fox Factory Holding Corp.,41.670985,8.986151,1.553839,18813000,0.3706,62,7.933333333,4.05,16.35,3.4,5.708333333,0.18568227,25.03048387,1.39696387,5682126.258,2370551.484,5,0.139129419
POOL,Pool Corporation,29.126759,20.709789,5.52619,117000000,0.237,252,7.923333333,10.22,11.02,2.53,4.75,0.245690743,39.06963611,-0.250122854,5891523.103,7856651.103,21,0.174460921
TREE,LendingTree,39.080918,8.876131,6.146222,42547000,4.814,122,7.783333333,-15.45,13.5,25.3,-15.35,0.455239212,65.93893443,5.554428492,5287425.23,806695.082,10,0.369967446
BDX,碧迪医疗,109.552419,3.199988,2.331304,594000000,5.5,252,7.743333333,-1.51,11.82,12.92,7.695,0.105359539,83.13587302,0.150003279,24249192.76,21086194.44,21,0.091705765
ROLL,RBC轴承,38.644554,4.124774,3.860311,27467000,0.2594,158,7.743333333,1.14,4.47,17.62,4.591666667,0.187356142,53.56515823,-0.327981241,1697248.025,2525596.203,13,0.156930821
FFIV,F5网络,25.496304,9.014357,7.359498,123000000,0.2568,232,7.726666667,5.84,17.26,0.08,8.771666667,0.290749171,63.34771552,-0.291944439,28928985.16,40856942.24,19,0.249327895
BR,布罗德里奇,36.666851,14.27941,3.663527,207000000,0.1053,139,7.7,2.47,22.16,-1.53,4.708333333,0.202315534,40.58913669,-0.322553949,12827966.24,18935775.36,11,0.153635491
DNB,邓白氏,22.261662,-6.840622,6.408776,94700000,1.0278,252,7.613333333,1.79,17.25,3.8,4.656666667,0.121031281,126.2852377,0.175386662,7422614.802,6315040.865,21,0.106036214
NGVT,Ingevity Corporation When Issued,27.653482,12.492083,3.631369,52200000,0.4581,29,7.556666667,2.17,1.25,19.25,4.926666667,0.158225521,63.94586207,-0.489192008,4656493,9115936.071,2,0.11546336
COHR,Coherent,18.222327,3.619777,10.064576,66970000,0.0958,176,7.513333333,-6.49,26.59,2.44,-1.573333333,0.201178269,66.16980114,0.278310503,4181960.852,3271475,14,0.178573846
WST,West Pharmaceutical Services Inc,57.388742,6.701569,2.035591,56100000,0.4459,252,7.51,3.71,7.72,11.1,5.568333333,0.14804553,28.31181548,0.540930472,6510247.802,4224880.952,21,0.126049026
MIDD,The Middleby Corporation,22.278643,4.426988,5.353109,83988000,0.0828,252,7.506666667,4.37,19.64,-1.49,0.645,0.271382288,36.66394841,0.287430419,8451241.96,6564426.19,21,0.224161358
MSTR,MicroStrategy Incorporated,0,2.766664,-0.120549,4828000,-0.5149,244,7.48,0.64,18.65,3.15,3.53,0.305348007,127.4504918,-0.584296329,2276438.623,5476109.016,20,0.248679409
NSP,Insperity,44.010355,41.030986,2.620974,24560000,0.752,91,7.333333333,-0.25,21.9,0.35,7.716666667,0.236835147,29.55637363,0.972953878,7264802,3682195.556,7,0.187355296
ADP,"Automatic Data Processing, Inc.",39.033658,18.182536,3.67862,109000000,-0.591,120,7.326666667,3.11,16.54,2.33,7.616666667,0.113048235,68.66254167,-0.334409868,40915683.53,61472791.67,10,0.07855304
HRS,哈里斯公司,26.962507,5.833871,6.053962,217000000,0.6565,252,7.32,2.21,-1.5,21.25,0.66,0.167615841,47.53738095,0.024194068,18747902.48,18305029.37,21,0.138259019
AIN,奥尔巴尼国际股份有限公司,40.151256,4.209941,1.916503,30306000,23.5791,252,7.266666667,4.55,11,6.25,3.225,0.236481961,29.80043532,0.018545998,2925492.31,2872224.048,21,0.184141965
WINA,威玛克工贸有限公司,21.425809,-28.224969,7.068578,7143000,0.2915,252,7.266666667,20.7,1.55,-0.45,6.383333333,0.220339347,42.42777778,0.533491979,142562.4206,92965.87302,21,0.183361932
LANC,兰卡斯特食品,31.120354,6.476558,4.937926,32387000,0.1369,252,7.26,4.12,11.18,6.48,6.128333333,0.147998466,60.14202381,-0.14984665,2132650.5,2508548.016,21,0.121974734
HON,霍尼韦尔,70.702041,6.645942,2.2278,1280000000,-0.0857,252,7.156666667,6.04,-0.86,16.29,3.508333333,0.109363552,61.78373016,0.024144309,76996798.06,75181590.48,21,0.083827389
CRL,查尔斯河,45.066595,4.937886,2.696232,54379000,-0.0041,220,7.063333333,8.8,-0.49,12.88,4.476666667,0.153639867,50.72554545,-0.017836097,11017342.33,11217417.27,18,0.13390325
MTCH,"Match Group, Inc.",26.680115,24.781824,1.889797,131000000,1.552,35,7.053333333,9.1,14.08,-2.02,2.523333333,0.21543657,24.391,0.615452591,40336461.44,24969139.71,2,0.151802488
MA,万事达,46.633888,41.364266,4.490297,1569000000,0.3331,149,6.943333333,2.28,16.29,2.26,6.8,0.27556799,60.98124161,-0.810542281,91604494.52,483508905.4,12,0.21373695
ATNI,大西洋电讯,58.036335,1.721858,1.268688,10780000,-0.0118,252,6.85,0.24,9.14,11.17,2.323333333,0.381017926,31.43375,1.611111822,1124315.738,430588.8889,21,0.263869441
CSL,卡莱尔伙伴,12.686458,2.799994,10.052451,114000000,0.1114,252,6.836666667,1.74,3.44,15.33,4.096666667,0.17481797,47.71172619,0.520314004,7810099.183,5137161.905,21,0.140635668
NVEE,NV5 Holdings Inc.,30.334731,5.505444,2.851517,7620000,0.7643,61,6.783333333,0.35,13.75,6.25,5.6,0.28838362,30.65967213,1.534272254,1410959.71,556751.4333,5,0.226335733
BIO,Bio Rad实验室,9.220118,2.050082,34.572227,268000000,52.2359,252,6.74,-15.65,16.48,19.39,9.681666667,0.145431845,88.17761905,0.428610385,2049662.468,1434724.603,21,0.123795868
QCOM,高通,0,4.276574,-2.845634,1219000000,0.4092,252,6.733333333,6.35,5.16,8.69,3.541666667,0.179294687,43.10145873,-0.490446938,270246431.9,530359744.4,21,0.145832326
SAM,波斯顿啤酒,38.411827,8.106979,8.134213,23535000,-0.1919,252,6.716666667,16.55,28.45,-24.85,21.725,0.239409375,80.96412698,0.737192886,2294114.865,1320587.302,21,0.209391589
UAL,联合大陆航空,12.064577,2.686596,7.057023,684000000,-0.1669,96,6.713333333,2.49,6.65,11,3.381666667,0.196903445,45.8621875,-0.043004414,101050433.9,105591327.1,8,0.164872725
STRA,Strayer Education,102.374615,12.828259,1.328552,5188000,-0.4964,252,6.616666667,-0.51,15.31,5.05,5.286666667,0.270761653,90.38217579,0.532824867,3487722.794,2275356.349,21,0.223607158
IEX,IDEX Corp,30.170491,5.840213,5.021463,107000000,0.2777,252,6.533333333,2.12,-0.18,17.66,2.073333333,0.115281606,42.50113611,0.51439669,7789908.008,5143901.897,21,0.101197879
ZBH,Zimmer Biomet Holdings Inc,15.013224,2.118816,8.352636,185000000,0.0043,207,6.51,6.11,-1.61,15.03,3.556666667,0.139931651,75.6368599,-0.171986298,28377699.27,34272016.5,17,0.114898243
CW,寇蒂斯莱特,23.450174,3.707222,5.665203,74788000,0.4766,252,6.496666667,5.11,1.47,12.91,0.506666667,0.146570668,40.12476667,1.000931701,4953703.437,2475698.413,21,0.120939693
ESL,埃斯特林科技,54.446553,1.453073,1.599734,27981000,-0.1039,252,6.483333333,6.4,0.85,12.2,3.291666667,0.21999769,49.25678571,0.86033318,4475582.183,2405796.032,21,0.182336931
EPAY,Bottomline Technologies,230.689874,8.362776,0.277212,12752000,3.2534,236,6.473333333,3.41,12.31,3.7,5.036666667,0.240672954,20.05228814,0.410721437,4288792.822,3040141.525,19,0.199387862
PEN,Penumbra Inc,153.448063,10.438347,0.841327,13381000,9.5886,37,6.3,18.05,-3.4,4.25,6.55,0.198475002,84.3372973,0.09586012,5153660.105,4702844.833,3,0.149839356
CEO,中海油,14.306265,1.320075,12.0255,12739000000,0.5678,212,6.296666667,6.06,13.67,-0.84,6.823333333,0.246421496,119.5884434,-0.390378476,3286289.623,5390704.717,17,0.20432591
MEDP,Medpace Holdings Inc.,38.648613,3.622743,1.431358,16568000,0.7343,26,6.28,1.81,-1.58,18.61,3.89,0.188266672,36.50461538,0.449398558,6670818.846,4602473.769,2,0.119710439
PRAH,PRA Health Sciences,59.25989,7.15853,1.778606,42282000,0.4257,47,6.276666667,5.89,0.76,12.18,5.02,0.167561052,59.01106383,0.719185356,11280970.5,6561811.652,3,0.13839268
PCRX,Pacira Pharmaceuticals,0,6.513895,-0.255555,2564000,1.1299,92,6.25,3.2,7.1,8.45,3.291666667,0.392811818,43.16929348,1.800331639,16616133.04,5933630.435,7,0.320612559
GPN,环汇有限公司,34.609695,5.044518,3.529358,118000000,0.6251,213,6.183333333,4.21,12.42,1.92,3.046666667,0.165350156,32.17030516,0.208153728,28010515.33,23184562.26,17,0.140838896
ATR,Aptar,29.65056,4.791085,3.500777,55781000,-0.1443,252,6.16,6.65,2.31,9.52,3.663333333,0.121513216,40.02752976,0.113658302,5083379.056,4564576.984,21,0.09727782
STAA,STAAR Surgical Company,536.167384,38.540239,0.083556,1830000,2.8847,252,6.15,2.1,16.55,-0.2,5.766666667,0.758660176,8.563531746,0.229358096,3228483.643,2626153.968,21,0.548896897
ITGR,Integer Holdings Corporation,25.269232,2.698798,3.047184,20022000,5.6963,27,6.133333333,2.65,8.35,7.4,4.441666667,0.145738397,45.87962963,-0.157908799,3965925.286,4709614.923,2,0.111423132
EEFT,嘉银通,34.245849,4.626381,2.832168,43636000,-0.1502,252,6.103333333,3.94,5.86,8.51,3.836666667,0.244482192,29.905,0.443475249,6557583.183,4542913.492,21,0.206317932
OMCL,Omnicell,66.912733,4.54983,1.019238,6588000,2.5043,206,6.1,1.8,9.1,7.4,4.541666667,0.220180466,20.36157767,-0.349465618,3994043,6139633.981,17,0.182667502
NUVA,纽瓦索器材,83.033256,4.605331,0.842554,11531000,-0.0174,173,6.063333333,0.87,11.17,6.15,3.035,0.286318601,35.11803468,0.264674375,12427587.45,9826709.302,14,0.243428516
GDOT,Green Dot,35.073266,5.136065,2.442316,29827000,0.5482,99,6.053333333,5.26,6.42,6.48,4.513333333,0.203751205,31.50858586,-0.016149381,8225880.66,8360904.082,8,0.170004403
RMR,The RMR Group Inc,15.669694,6.390642,5.746762,19449000,0.1047,34,6,1.65,7.75,8.6,4.358333333,0.222419492,50.63367647,-0.380931902,844040.1765,1363404.412,2,0.148510833
EPAM,Epam Systems,59.592416,6.814556,2.366073,50255000,0.3452,80,5.98,-1.11,12.55,6.5,4.575,0.259780722,60.50175,0.299077812,8019606.8,6173307.5,6,0.185702391
UNP,联合太平洋,10.487775,5.576388,14.314762,1509000000,0.292,252,5.96,7.6,1.35,8.93,3.635,0.126087652,45.57390873,0.11789718,116181666.3,103928758.7,21,0.10856835
ODFL,Old Dominion Freight Line,21.06959,4.84502,6.960743,163000000,0.6606,252,5.946666667,14.22,5.39,-1.77,3.096666667,0.228276235,29.27444881,0.949535146,14853862.75,7619181.825,21,0.19629895
TCMD,Tactile Systems Technology Inc,187.457049,15.045571,0.344879,2572000,-0.3208,27,5.916666667,1.05,20.13,-3.43,6.251666667,0.323008365,30.32675926,1.457988696,5202124.714,2116415.231,2,0.204309828
SWK,美国史丹利公司,21.078962,2.900959,6.687711,293000000,0.0569,252,5.903333333,8.34,-8.25,17.62,-0.44,0.155169867,63.16198413,1.584575162,25172395.94,9739471.429,21,0.119755091
CLX,高乐氏,22.884705,25.7001,6.365387,217000000,0.0796,252,5.85,6.4,10.17,0.98,3.411666667,0.104720001,70.29670635,0.040735178,22639679.79,21753545.24,21,0.09156853
CR,Crane Co,28.604703,3.741044,3.167661,80700000,0.1645,252,5.833333333,5.28,1.2,11.02,0.818333333,0.166714909,41.49354484,0.305307673,6540185.048,5010454.762,21,0.130260057
AMD,AMD,73.160387,26.595495,0.327773,116000000,3.7619,252,5.82,7.1,6.83,3.53,3.71,0.402473287,11.34389048,1.65074518,636853661.8,240254577,21,0.355741665
