code,name,pe,pb,eps,net_radio2018-06,income_radio2018-06,net_radio2018-03,income_radio2018-03,count,grow_3,grow_6,grow_radio_3,grow_radio_6,month_3_rs,month_6_rs,price,vol_radio,volume_3,volume_6,year
TXRH,德州公路酒吧,33.828421999999996,5.916866000000001,2.222096,17.32%,11.12%,56.51%,10.57%,168,2.353333333333334,2.6866666666666674,0.036456843834210155,0.045842191255755976,0.24764726557795022,0.1476720741584339,72.33,-0.28143609238130124,11965494.333333334,16651955.666666666,14
CHEF,The Chefs’ Warehouse,41.792909,3.58704,0.733378,85.60%,11.69%,133.13%,10.75%,87,2.9666666666666663,1.7833333333333339,0.10304358207278191,0.07282025121239226,0.36358683561746247,0.24799813203343088,37.2,0.36378934006806296,4344861.0,3185874.0,7
HEAR,Parametric Sound Corp.,13.667570000000001,66.123317,1.744275,189.24%,218.15%,119.77%,184.88%,54,-0.4227999999999999,5.7366666666666655,0.007227993634725871,1.1878043681907713,1.270554657750494,0.2830791176142336,18.8816,-0.4284892588797281,33637907.0,58857873.666666664,4
IAC,IAC/InterActiveCorp,32.995512,6.504377,6.102345,248.64%,38.02%,208.61%,30.79%,33,22.376666666666654,-1.490000000000009,0.1410323611025678,-0.009015971236476052,0.26683206643627727,0.1138639847242503,218.48,-0.22920120680109424,16262809.333333334,21098644.0,2
CPHC,坎特伯雷帕克控股,15.134148999999999,1.650929,1.037389,1.22%,3.26%,92.92%,5.35%,252,0.20743333333333366,-0.1095,0.01388529230584401,-0.004042154794802025,0.2522605542515544,0.16248911859944362,15.5,-0.0568402766710228,39453.0,41830.666666666664,21
MTCH,"Match Group, Inc.",27.457976000000002,25.50434,1.8897970000000002,155.20%,36.06%,396.80%,36.35%,35,7.069999999999998,-2.0066666666666677,0.1736909412991574,-0.043941987476030286,0.26017268643054653,0.17103345309208814,59.26,-0.24061271382470295,46721131.666666664,61524774.666666664,2
MOMO,陌陌,21.278771,6.516681,2.121833,93.91%,58.31%,59.38%,64.05%,46,2.2999999999999994,2.0933333333333337,0.054516196737173866,0.06761424388667248,0.632997964180131,0.2906531265007594,48.33,-0.14841740698040662,82197373.33333333,96523078.33333333,3
UTMD,犹他医疗产品,36.530623,4.166834,2.5471779999999997,11.32%,1.26%,15.72%,6.12%,252,-3.1166666666666694,4.400000000000006,-0.02428069221960753,0.04340865613187584,0.18336286753476438,0.15817343121216954,100.2,0.010156003714779944,316162.6666666667,312984.0,21
WINA,威玛克工贸有限公司,22.012915,-28.998384,7.068578,29.15%,10.68%,25.39%,1.87%,252,8.166666666666657,5.5,0.05465726330874515,0.04108568627580063,0.26172688411638606,0.17895180985177475,172.9,-0.16958738592056208,90444.66666666667,108915.33333333333,21
BAND,Bandwidth Inc.,52.617162,9.668842999999999,0.9892209999999999,439.91%,22.21%,107.13%,33.78%,11,5.083333333333333,1.736666666666667,0.12282891889933838,0.05237774971482112,0.24144430813084292,0.12055096161857363,54.16,-0.1327675492008671,2545159.0,2934806.0,0
RMR,The RMR Group Inc,16.70506,6.8129,5.746762,10.47%,5.93%,10.67%,7.60%,34,4.499999999999996,2.7166666666666637,0.05639081441382015,0.0375802277429618,0.2985221471334862,0.1463168374511876,91.55,-0.3961538116802943,718614.0,1190061.3333333333,2
CTRL,Control4 Corporation,46.243778000000006,5.2910260000000005,0.750155,77.49%,13.02%,17.66%,17.81%,62,3.5466666666666646,0.9733333333333327,0.13350499457776321,0.048573158780148645,0.31848940736721904,0.2098430395350076,34.93,0.3025990956855041,8431684.0,6472969.333333333,5
PENN,佩恩国民博彩,5.300807,106.34223899999999,6.055681,216.11%,1.47%,790.22%,2.40%,252,-0.17666666666666705,2.4066666666666676,-0.00394678555438258,0.08714963206078846,0.29280885498813086,0.2084246719703531,32.98,-0.3154214418421782,21368320.333333332,31213832.333333332,21
MLAB,Mesa Laboratories,0.0,7.279928999999999,-0.083235,178.84%,10.89%,16.77%,10.63%,252,-8.610000000000005,20.193333333333346,-0.0425567595834803,0.12945680287514175,0.32104301316427136,0.259666248654113,182.0,-0.32475749388567215,337566.3333333333,499918.6666666667,21
TUSK,Mammoth Energy Services Inc.,7.0050669999999995,1.8941810000000001,3.780121,3749.57%,443.03%,1215.16%,559.30%,24,-1.6733333333333344,0.8133333333333314,-0.038643731979757304,0.03167381197315242,0.2157907512934668,0.1592971892205576,28.58,-0.29461707752725597,8001850.0,11343980.333333334,2
ATVI,动视暴雪,111.801372,5.421458,0.658042,65.43%,0.61%,17.37%,13.85%,252,1.1433333333333355,3.069999999999993,0.016406841422329167,0.044609792666507476,0.29097638532657594,0.23697066907176026,79.17,-0.017745185743383064,114583995.66666667,116654043.33333333,21
TTD,Trade Desk Inc.,105.77488799999999,20.243882,1.34219,2.62%,54.30%,84.76%,60.57%,25,17.377233333333326,14.76333333333333,0.20535993845609382,0.2685037010210643,0.5971146606477423,0.23970517120849066,144.4617,-0.320647876354427,18568223.666666668,27332252.333333332,2
AEIS,先进能源工业公司,15.069023999999999,3.6858160000000004,3.720878,0.77%,18.18%,23.91%,30.98%,252,-1.3600000000000019,-2.146666666666666,-0.021956201049655677,-0.030728952794190023,0.35745224396738856,0.29480160858324406,52.91,-0.04955099858937943,7931073.333333333,8344554.333333333,21
ROAD,Construction Partners,11.207297,2.262189,1.1162370000000001,109.03%,31.72%,301.71%,7.73%,5,-0.26666666666666633,-2.146666666666666,-0.02023321003094034,-0.030728952794190023,0.020833235677276556,0.29480160858324406,12.25,-0.8382305058592504,1349894.3333333333,8344554.333333333,0
NVFY,Nova Lifestyle Inc,6.512707,0.66403,0.26716999999999996,144.55%,23.42%,236.85%,23.52%,57,0.010000000000000009,-0.21999999999999997,0.008070245512255977,-0.09730693858571098,1.2430746317198176,0.33711995369625347,1.73,-0.5875117928456919,751149.0,1821019.3333333333,4
INGN,Inogen Inc,173.214597,21.106013,1.523255,75.22%,51.65%,81.36%,50.57%,56,25.700000000000006,10.553333333333342,0.13230018816154046,0.07475656814996735,0.31252980097294775,0.2657809386376066,260.48,-0.16329753199464478,3907270.0,4669844.0,4
CVTI,契诺货运,8.283555999999999,1.8100319999999999,3.735111,544.12%,17.21%,11425.64%,7.38%,252,0.043333333333333,0.5299999999999999,0.003167794522129619,0.019482597334276496,0.5813089105017007,0.33593247960863254,31.45,-0.31257276307930315,2564201.6666666665,3730142.6666666665,21
CROX,卡骆驰,130.342207,7.255111,0.16203499999999998,56.55%,4.72%,49.45%,5.69%,152,1.4633333333333336,0.3733333333333331,0.07855812611944073,0.025585109427681302,0.6837782783710399,0.3569014955169969,21.75,-0.11171064906960332,18766898.0,21127010.0,12
TAOP,淘屏,19.234359,7.505777,0.06966699999999999,23.00%,30.75%,105.87%,1639.49%,145,-0.0026333333333333395,-0.16333333333333333,-0.00048098366430346373,-0.09082491582491582,1.9244476243661381,0.450778130419188,1.29,-0.16544125796788398,2396938.6666666665,2872103.0,12
MKTX,MarketAxess Holdings,44.23921,12.602343,4.226115,6.48%,11.11%,12.90%,11.45%,167,-4.191033333333337,-7.1166666666666645,-0.021842785169579004,-0.03057253133357703,0.27612315718351826,0.22335557860495014,182.9269,-0.12089773388131102,3461151.3333333335,3937143.0,13
EYE,National Vision Holdings Inc.,45.851271999999994,4.729527,0.997137,974.13%,14.22%,46.73%,10.31%,12,2.354999999999997,1.4600000000000009,0.06315579250776909,0.044470346104573476,0.13475895071512198,0.05297118203530613,43.125,0.8421477196009085,13265652.666666666,7201188.333333333,1
LLNW,Limelight Networks,42.319085,3.2902989999999996,0.113424,1032.86%,10.75%,104.47%,16.49%,136,0.24103333333333352,0.11666666666666654,0.05369650865312269,0.0397528242066057,0.4166672485183402,0.32650748207382974,5.0831,-0.4323641820172917,15225877.0,26823319.666666668,11
CDEV,"Centennial Resource Development, Inc.",28.547283,1.681423,0.673269,190.90%,139.13%,560.99%,253.37%,24,1.2449999999999999,-0.0533333333333322,0.06683700927335443,-0.002460076232910923,0.10865345251895137,0.04109257710102881,21.385,-0.3509059027885631,40407732.666666664,62252503.666666664,2
XNET,迅雷,0.0,1.543949,-0.191451,107.22%,58.40%,219.63%,117.14%,52,-0.7733333333333334,0.23666666666666636,-0.07707494904718594,0.03866675998600308,0.6447143738338619,0.27774104647068226,8.4,-0.524517709841447,8955345.666666666,18834236.0,4
YNDX,Yandex,14.902784,3.45131,2.022441,856.69%,34.24%,126.01%,28.67%,89,-1.1166666666666671,-1.1300000000000001,-0.0301780494173004,-0.02536584552227647,0.33734598086110684,0.24022517544940677,32.19,-0.38135011922054607,64181820.333333336,103744981.33333333,7
RDCM,Radcom Ltd,47.987787,2.956048,0.36676,471.08%,19.31%,195.83%,35.61%,252,-2.266666666666667,0.4499999999999993,-0.12025388088725565,0.02401750984857248,0.7589643191937615,0.5336849594044882,13.0,0.8367727305052661,1532455.0,834319.3333333334,21
WEYS,Weyco Group,21.346052,1.883507,1.7267830000000002,16.88%,5.98%,33.14%,0.59%,252,-0.35456666666666575,0.8300000000000006,-0.009488899641118383,0.0259544368367713,0.2118130048660393,0.1468870967509915,34.9063,-0.5365087718609227,196691.0,424368.3333333333,21
ECOL,US Ecology,26.887789,4.8962699999999995,2.826562,161.83%,8.61%,78.26%,8.91%,252,4.134433333333331,3.5166666666666657,0.06152904988008473,0.06373060900286785,0.3427933769828679,0.20443588008238867,75.8533,-0.30647288221998426,1108285.0,1598041.3333333333,21
REDU,瑞思学科英语,0.0,10.544989999999999,-0.10586500000000001,37.77%,28.64%,31.59%,28.44%,12,-0.793333333333333,-0.41666666666666785,-0.05067339708016732,-0.024607129281712947,0.19605590401330641,0.021697655588097785,11.55,-0.33686641064219075,2242409.0,3381534.3333333335,1
CBOE,芝加哥期权交易所,22.126306,3.7039779999999998,4.715202,22.06%,3.78%,676.97%,119.24%,100,1.0366666666666713,-3.6366666666666654,0.011300055526252848,-0.03139314026481529,0.19713115687465077,0.10606005917771376,106.29,-0.44112588318690327,13813624.666666666,24716880.333333332,8
LITE,Lumentum Holdings Inc.,16.974495,4.461276,3.876404,161.02%,35.20%,104.82%,16.81%,39,0.39433333333333564,-1.9333333333333325,0.018685532609723124,-0.019791381468322683,0.3610299637426359,0.23825910967642497,60.633,-0.19778716575427494,31772424.666666668,39605979.0,3
LABL,Multi-Color Corporation,15.716379000000002,1.788986,3.960836,27.93%,88.14%,31.85%,84.32%,252,-0.10000000000000142,-0.44999999999999335,-0.0003557253367315755,-0.005150189434344146,0.253295251493806,0.200265434698116,64.35,-0.3829188201848496,1627459.6666666667,2637351.0,21
ACLS,Axcelis科技设计公司,4.577268,1.623592,4.227412,5.29%,16.09%,46.38%,40.62%,219,0.09166666666666738,-1.5666666666666664,0.008471417264690098,-0.06855473059176762,0.4959596076375923,0.3781382154359661,20.225,-0.14117512485945757,6259225.333333333,7288127.666666667,18
MAR,万豪酒店,29.878683000000002,15.463628,4.237469,24.74%,6.02%,7.28%,5.39%,60,1.8966666666666707,-3.030000000000001,0.015110836355779164,-0.0221402125960958,0.11285608197286863,0.07114403137488029,130.84,-0.06278285358549357,38667655.666666664,41257947.333333336,5
DYSL,Dynasil Corporation of America,49.019186,1.181366,0.027936000000000002,275.70%,19.31%,1184.03%,1.69%,94,-0.05559999999999995,0.046666666666666634,-0.03965757765165556,0.035347406408398244,0.3407392643955693,0.20906812513371342,1.29,-0.3252792917036609,396940.6666666667,588303.6666666666,7
PRCP,Perceptron,27.877015000000004,2.292646,0.392438,195.79%,5.56%,270.57%,31.07%,252,0.041666666666666664,0.5600000000000005,0.005115590924171784,0.060364486821792074,0.36259476341334035,0.32908042841579793,10.44,0.30532540097466265,372849.6666666667,285637.3333333333,21
ATTU,Attunity Ltd,0.0,6.490463,-0.091913,108.05%,46.71%,113.85%,31.76%,75,2.5466666666666664,1.426666666666667,0.20296243788805476,0.17262036704687586,0.3623917361585909,0.25130893909740676,19.02,0.936259025020885,6702247.666666667,3461441.6666666665,6
PRAH,PRA Health Sciences,60.27754100000001,7.281461,1.7786060000000001,42.57%,35.43%,55.47%,43.89%,47,4.986666666666669,3.7633333333333354,0.052458899751596254,0.04476624058777313,0.2020562152461666,0.13306588775577205,107.76,-0.3185863525678391,11115513.333333334,16312431.333333334,3
AMCX,AMC网络公司,7.775967,21.669972,8.121177000000001,2.51%,7.16%,12.55%,2.87%,88,0.8366666666666683,3.3933333333333358,0.013962354663688342,0.062387702882294775,0.17390394485856842,0.11246883746651744,64.09,-0.4012098643005977,10189449.666666666,17016729.333333332,7
ULTI,The Ultimate Software Group,259.744127,16.694141000000002,1.211731,202.05%,20.68%,189.97%,21.12%,244,16.731666666666666,4.656666666666666,0.06121034904840413,0.020424486274255017,0.24790617258503775,0.2069394349172641,312.645,-0.15718247544254788,4637407.333333333,5502267.333333333,20
SORL,瑞立集团,3.249938,0.46412299999999995,1.372334,13.82%,40.09%,19.50%,44.12%,181,-0.13666666666666702,-0.33333333333333365,-0.02844960190984834,-0.04890813104605349,0.8302123714526678,0.48586871634018025,4.29,-0.49859788602944183,2551209.3333333335,5088150.333333333,15
III,信息服务,187.897312,3.405504,0.028473000000000002,874.43%,4.39%,128.72%,3.49%,128,0.3083333333333333,-0.016666666666666607,0.07506628711651653,-0.0033276232106641337,0.38171410944431045,0.2764917685541344,4.965,-0.12794759900804223,1513614.6666666667,1735692.3333333333,10
WVVI,Willamette Valley Vineyards,17.756298,1.433172,0.455613,35.34%,9.55%,4.86%,1.84%,252,-0.20090000000000044,0.24476666666666702,-0.023966946086282494,0.030443046103776808,0.2967774721649116,0.1785384221679828,7.96,-0.6876633959189217,61328.333333333336,196353.33333333334,21
PLPC,Preformed Line Products Company,21.564852,1.7240630000000001,3.8020199999999997,62.05%,11.69%,264.16%,16.05%,205,-3.7600000000000002,7.74333333333333,-0.04397704993224749,0.10804786860521338,0.30911057891282695,0.2506663033503493,77.24,-0.40618866232170214,135937.66666666666,228924.0,17
LGND,Ligand Pharmaceuticals Inc.,45.050992,8.666762,5.650042,1107.66%,221.64%,791.49%,91.88%,252,20.22333333333334,13.98999999999998,0.09198086266684273,0.08567553605122963,0.3852578972498344,0.3083442171176751,267.69,-0.1540139905802637,6135875.333333333,7252927.666666667,21
ZIXI,Zix Corporation,0.0,6.410784,-0.134719,61.55%,6.85%,6.59%,4.79%,252,0.07999999999999978,0.3633333333333333,0.014465561118899803,0.0809694168394983,0.7233750588473389,0.3149015868409784,5.72,-0.4690108020477767,3056459.6666666665,5756161.666666667,21
TRMB,天宝导航,72.16372,4.211943,0.58783,35.52%,19.03%,17.87%,21.55%,252,3.9199999999999995,-0.9766666666666642,0.11006871902207198,-0.028169051564770172,0.2865564809498196,0.18624713838381293,44.0,-0.25559244126850467,23269896.666666668,31259619.0,21
IRMD,iRadimed Corporation,119.731012,8.548945,0.241792,279.47%,33.53%,460.50%,37.69%,51,3.2000000000000006,2.1666666666666665,0.13250755356648622,0.13539901184725522,0.3773012100026232,0.19285080318086148,31.75,2.007575253300199,1762135.3333333333,585899.0,4
WB,微博,34.354186999999996,11.33645,2.124632,92.40%,95.38%,111.67%,75.64%,54,-2.9416666666666678,-10.043333333333337,-0.03549488463748481,-0.09202749252752684,0.38034580290008396,0.2986420996080284,75.965,-0.2523030770516919,39313836.666666664,52579909.666666664,4
GSM,Ferroglobe PLC,12.88997,1.3753,0.622965,6503.00%,36.91%,538.87%,41.58%,111,-0.12666666666666693,-0.6866666666666662,-0.014909087322609205,-0.0646603546048165,0.21141309828968527,0.16990604104123444,8.07,-0.003540931084249952,16483965.666666666,16542541.666666666,9
NVEE,NV5 Holdings Inc.,31.860235,5.782307,2.851517,76.43%,24.22%,89.07%,47.57%,61,7.325000000000003,4.416666666666667,0.09893740231366698,0.07364781481098935,0.3358414928108202,0.24092574718298457,90.825,-0.1952385693053473,1368832.6666666667,1700917.3333333333,5
RELL,理查森电子,30.719063000000002,0.872549,0.29623299999999997,1491.20%,21.76%,136.83%,28.88%,252,-0.21666666666666679,0.61,-0.022794278325427453,0.07329680026370204,0.4288910440567735,0.29283690928049294,9.0,-0.5547589284084895,260244.0,584501.3333333334,21
DNKN,唐恩都乐,18.532593,-7.838785000000001,4.1289419999999994,18.41%,4.96%,13.23%,1.73%,87,1.7966666666666669,3.0899999999999985,0.025644701435298498,0.049514619758893395,0.1461642845347094,0.09138793622317809,74.2,-0.35312792212634986,14774163.666666666,22839390.0,7
ICFI,ICF国际,22.887388,2.423695,3.5674669999999997,14.07%,5.85%,22.01%,2.19%,145,2.1166666666666694,4.199999999999998,0.031191466377359936,0.06910193119352655,0.23701436004140408,0.17347653680032438,77.3,-0.34973744928579475,1777784.0,2733948.0,12
VNOM,Viper Energy Partners LP,16.325163,12.297924,2.3564849999999997,480.00%,105.75%,107.71%,85.41%,51,2.632999999999999,2.1533333333333338,0.07763934948466868,0.08161000657187403,0.17341395541264815,0.12580188286891913,41.539,-0.17931160935110754,13715744.333333334,16712487.333333334,4
LMNX,路明克斯,37.145047,2.715625,0.762955,2.25%,4.08%,45.13%,6.28%,223,0.35000000000000026,2.8200000000000016,0.021095618139503346,0.12818357409161435,0.26295414405352296,0.20197292562211622,30.13,-0.060311884476352474,6620405.666666667,7045322.333333333,18
KRNT,Kornit Digital Ltd.,400.312982,4.789715,0.054957000000000006,725.12%,25.49%,132.53%,14.83%,42,0.9833333333333331,1.5833333333333328,0.05523054564849633,0.11220073228582407,0.2205088533881847,0.13129409760129018,20.45,-0.2179322437883668,4619428.666666667,5906686.0,3
DRYS,DryShips Inc,0.02281,0.657948,204.731049,122.86%,164.06%,107.22%,273.09%,164,-0.1137666666666665,0.4833333333333334,-0.021624720089571305,0.12259335274370359,1.0609502139333429,0.572926977233798,4.8387,-0.4413825960190897,15203735.333333334,27216723.333333332,13
STX,希捷科技,12.134012,8.589669,4.104166,304.39%,17.83%,96.39%,4.82%,121,-1.6363333333333376,1.0666666666666675,-0.03071719050227655,0.02147409118601989,0.36445672131092116,0.26746387102080144,48.221,-0.1604948427707683,61546107.666666664,73312364.0,10
PTC,PTC Inc.,203.528095,13.966404999999998,0.48592799999999997,1887.28%,8.06%,817.57%,9.94%,252,2.8499999999999943,5.273333333333326,0.03035746627149287,0.06376386979434069,0.27324521453139056,0.1600097220314918,102.38,-0.24458706177318557,16817166.0,22262216.0,21
CSII,Cardiovascular Systems,753.357622,9.587966999999999,0.051078,384.07%,11.78%,120.87%,6.60%,116,1.9733333333333363,3.4433333333333365,0.061063453587428755,0.1443391701484382,0.39991533179084654,0.29669279474607047,38.35,0.08677228622380122,5342536.333333333,4915966.666666667,9
MEDP,Medpace Holdings Inc.,40.716578999999996,4.0337760000000005,1.431358,73.43%,79.95%,72.26%,73.89%,26,5.461666666666666,1.5,0.13292002255244958,0.03979394564718854,0.24761192505938864,0.1289214181456387,59.555,0.9069740832555043,12994266.333333334,6814076.0,2
MOSY,正一科技,0.0,0.78989,-0.111572,107.89%,232.23%,107.90%,247.19%,208,-0.3450333333333333,0.18666666666666668,-0.2549031198686371,0.1464339581986641,0.9761688681996598,0.5160737108242076,0.69,-0.005533195634130404,8475284.666666666,8522441.0,17
FNJN,"Finjan Holdings, Inc.",2.688164,1.794707,1.584725,348.73%,649.24%,83.18%,162.66%,53,0.2666666666666668,0.05000000000000012,0.07352828730406274,0.021238775462233447,0.44232289549761644,0.24775561793286074,4.24,0.27464301368716276,9156298.666666666,7183422.0,4
MDSO,Medidata,88.317551,8.856566,0.9439799999999999,119.98%,14.61%,3.46%,16.89%,112,-1.230000000000004,5.746666666666667,-0.01016318157972986,0.085161066307937,0.21762494402706226,0.15199419181945567,75.35,-0.13857997044272835,11996682.333333334,13926635.0,9
PFIE,"Profire Energy, Inc.",23.188221,3.226568,0.125926,30.60%,19.81%,212.67%,55.53%,55,-0.05666666666666679,0.21666666666666634,-0.008603296514986212,0.11432711734573205,0.3355026191909165,0.2933495041735222,3.21,-0.5043964285648534,7178599.666666667,14484560.0,4
LTRX,创力,158.730153,4.725633,0.037422000000000004,1546.15%,8.99%,312.35%,0.67%,218,0.3683333333333336,0.27,0.20996777107949294,0.1388923896837753,0.6664889766242669,0.352421282338246,4.025,1.7225652835546788,3554927.0,1305727.0,18
MRTN,马尔登运输,12.680186,2.2441150000000003,1.7783650000000002,49.90%,14.88%,25.77%,7.97%,252,-0.3249999999999993,0.18333333333333357,-0.013591499569040036,0.016170464791471467,0.28160379205707214,0.18854902655190695,22.125,-0.34208553754887994,4965548.0,7547406.666666667,21
LPLA,LPL Financial Holdings Inc,17.248772,5.651643,3.7312800000000004,73.55%,22.10%,94.09%,21.33%,95,-0.29333333333333655,1.5033333333333374,-0.004339225426730553,0.027751281451190324,0.2117323024768948,0.14661900315495985,64.66,-0.4056573098289247,10943991.333333334,18413604.666666668,7
NFLX,"Netflix, Inc.",152.944045,33.766695,2.279788,485.90%,40.27%,62.79%,40.36%,197,-5.90003333333334,33.10333333333333,-0.011313724202040817,0.10309192641271392,0.6361879049126026,0.3374554946507289,364.9599,-0.03918881132585204,207816949.33333334,216293223.66666666,16
ESRX,快捷药方,11.111946000000001,2.635031,8.171386,9.17%,1.16%,13.74%,0.46%,252,5.984166666666667,2.6866666666666674,0.07295073575690901,0.038429818007394145,0.23907124537061153,0.13085601030583927,94.9325,0.06525418319641318,78534700.33333333,73723907.0,21
HWCC,休斯顿电线电缆,27.225748,1.385349,0.295676,4925.93%,24.07%,529.80%,8.03%,148,-0.11333333333333358,0.4500000000000002,-0.011915301496752642,0.06117832265855817,0.22801625160479191,0.20967706814636208,7.975,-0.5335129297101758,430190.3333333333,922191.3333333334,12
UFPI,Universal Forest Products,16.333601,2.243748,2.301391,30.53%,20.71%,55.23%,17.46%,252,0.1566666666666663,1.4533333333333331,0.004398312208688011,0.04611027892854088,0.2746464981790536,0.23368412263738278,36.79,-0.23915524567786545,4636528.333333333,6093921.666666667,21
FTNT,飞塔信息,161.854734,18.539596,0.528375,114.35%,21.40%,288.79%,17.15%,107,7.516666666666668,3.0966666666666662,0.11721054112838808,0.056219627277700336,1.6875810076281341,0.20963656291175417,86.38,-0.2219018234039074,26071979.666666668,33507313.666666668,8
CALM,Cal-Maine Foods,18.986887,2.522497,2.604429,392.94%,61.37%,2232.56%,42.17%,252,1.6333333333333353,0.5833333333333334,0.035712786830398795,0.015096368954908257,0.2740548012723797,0.24196813526798436,50.5,-0.167666120446754,6009218.666666667,7219721.333333333,21
PGTI,PGT Inc,22.401019,6.157819,1.131645,119.87%,23.21%,144.75%,24.42%,148,0.18333333333333357,0.6000000000000002,0.014784657281890642,0.0344658206280555,0.5088588575305021,0.29562771934335363,21.6,0.1400522927998447,11715014.333333334,10275857.0,12
IESC,Integrated Electrical Services,0.0,1.8680290000000002,-0.744316,47.27%,11.64%,315.06%,0.99%,149,0.9666666666666662,0.5499999999999984,0.055594234479818684,0.03700813184160824,0.5018942096896469,0.3482344902234471,19.5,-0.3239643569324026,352125.3333333333,520868.0,12
ZBRA,Zebra Technologies Corporation,52.571681999999996,8.398131,3.192403,311.76%,12.95%,1262.50%,12.95%,252,11.48666666666667,1.7900000000000016,0.08194491643631009,0.01692272228311539,0.2535172331218006,0.1719349125439964,175.39,-0.17251420318731459,6822652.666666667,8245039.0,21
ERIE,伊瑞保险,28.114079999999998,6.660667,4.514464,36.19%,38.54%,37.35%,43.29%,252,4.263333333333331,0.060000000000002274,0.03569949893442429,0.0007747245804000736,0.12536751263306725,0.09937440891403226,129.5,-0.3655654908059148,496097.3333333333,781952.0,21
AUDC,奥科,48.407245,3.479346,0.22414,136.09%,12.30%,87.95%,13.51%,233,0.6066666666666665,0.19163333333333346,0.08195087597967958,0.026583177257147525,0.5056401305886525,0.29468118250667075,9.53,3.881360850555503,4424101.0,906325.3333333334,19
DENN,Denny’s Corporation,22.656732,-8.184283,0.671765,32.88%,17.96%,16.55%,21.39%,251,-0.5500000000000002,0.11666666666666714,-0.03450175927139509,0.013844544777863085,1.3417200079309743,0.32045178756221765,14.2,-0.2701972455841164,4283159.333333333,5868927.333333333,20
BIDU,百度,19.091175,3.4857120000000004,11.316222999999999,14.97%,0.92%,213.27%,16.49%,158,0.2726333333333268,7.663333333333337,0.0010068743800343098,0.035816023816908515,0.4011724397147409,0.327044079631722,225.3179,-0.25682181082143,59120427.666666664,79550811.0,13
QGEN,快而精医药,110.958421,3.428218,0.343462,163.89%,8.08%,82.96%,11.65%,252,0.26166666666666555,1.2299999999999993,0.007122628016524944,0.03817741001435647,0.2489409645576218,0.17424060042856052,38.185,-0.12392016117437217,16222302.333333334,18516922.333333332,21
ADBE,Adobe,59.26388299999999,14.673147,4.401838,77.13%,23.88%,46.34%,23.63%,252,8.570833333333326,9.51999999999999,0.03471975672016412,0.04461581127851839,0.2014695047397517,0.13537626779905823,267.2425,-0.2030873383832815,48997744.666666664,61484460.0,21
