code,open,name,pe,pb,eps,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09,count,month_six_rs,price,vol_radio,volume_end,volume_start,year,year_rs
PNBK,25.5,爱国者国家合众银行,26.773115,1.456485,0.952448,1036000.0,0.2886,0.0,0.0,1065000.0,-0.3844,0.0,0.0,600000.0,-0.4258,0.0,0.0,1013000.0,0.2445,0.0,0.0,252,0.2769251895950983,781.4953710317454,14.968271141532346,11479.412698412698,718.8888888888889,21,0.20444217967444314
IRCP,25.8,IRSA Propiedades Comerciales SA,1.571868,0.224009,16.540825,3467000000.0,2.7551,0.0,0.0,606000000.0,0.6443,0.0,0.0,9648000000.0,6.3873,0.0,0.0,1935000000.0,1.4816,0.0,0.0,180,0.3950942699601754,19.65643222222222,1.759364268269773,81600.53333333334,29572.222222222223,15,0.30291294558227894
FORD,1.56,福沃德工业,11.018492,1.396836,0.146118,235500.0,-0.5733,9539500.0,0.301,948500.0,4.993,9012400.0,0.9882,46700.0,-0.6921,6336500.0,-0.0387,113500.0,-0.1909,6307800.0,-0.0517,252,0.8238169707101495,2.845344444444445,-0.3141312412713589,2468192.626984127,3598636.904761905,21,0.5873825055507784
RCKY,27.25,Rocky Brands,16.777639999999998,1.441671,1.6897490000000002,2649200.0,0.8155,58205800.0,-0.0043,3251100.0,1.1733,61386700.0,-0.0267,4396800.0,7.9323,66994000.0,0.0007,2234800.0,4.0149,64675100.0,-0.1167,252,0.36803550502308185,12.573749999999999,-0.14324948647349334,622327.253968254,726380.9523809524,21,0.3113229647807723
BREW,16.85,Craft Brew Alliance,23.920097,2.506707,0.735783,4452000.0,1.5824,61823000.0,0.021,161000.0,1.0901,47487000.0,0.0719,7835000.0,102.0921,45966000.0,0.0035,1751000.0,2.1721,56638000.0,0.026000000000000002,80,0.3244150697232974,12.930625000000003,1.2073922533739117,2032682.675,920852.5,6,0.21725852465918385
DENN,14.02,Denny’s Corporation,21.629587,-7.813248,0.671765,11626000.0,0.3288,157000000.0,0.1796,9759000.0,0.1655,155000000.0,0.2139,13147000.0,0.1661,135000000.0,0.0455,9325000.0,-0.0412,132000000.0,0.0311,252,0.831085897746596,5.186210317460318,0.338175557652436,10367240.063492063,7747294.444444444,21,0.5292132264057453
GLG,0.66,中国商业信贷公司,4.208348,4.211181,0.168142,9503300.0,2.9322,0.0,0.0,-385900.0,0.6858,0.0,0.0,-2169500.0,-0.5789,0.0,0.0,-2515300.0,-3.028,0.0,0.0,57,1.0170671309945922,2.591121842105262,3.4951312041184917,4964595.482758621,1104438.392857143,4,0.5791833081203721
PRCP,9.25,Perceptron,23.570603,1.9384810000000001,0.392438,772000.0,1.9579,23594000.0,0.0556,1020000.0,2.7057,21397000.0,0.3107,366000.0,-0.855,20433000.0,-0.0606,1558000.0,1.6616,19269000.0,0.0998,252,0.34583759591456914,6.886488095238096,-0.020204819706929125,697508.4126984127,711892.0634920635,21,0.28810315779198814
AAL,42.04,美国航空,13.951761999999999,-22.940672,3.102834,566000000.0,-0.3449,10935000000.0,0.0343,186000000.0,-0.4529,9707000000.0,0.0565,258000000.0,-0.1073,9251000000.0,0.0831,624000000.0,-0.1533,9577000000.0,0.0275,59,0.19511027520357693,42.41355932203389,-0.3644442506768659,137490400.96666667,216330984.5172414,4,0.1478505407705368
DZSI,11.57,"DASAN Zhone Solutions, Inc.",27.326790000000003,2.6663349999999997,0.43620200000000003,1355000.0,2.5503,76257000.0,0.2722,141000.0,1.0403,59504000.0,0.1418,4158000.0,1.6658,68623000.0,0.1539,1387000.0,1.2896,66438000.0,1.1267,26,0.20146744697146715,8.108230769230769,0.517745436788499,403577.3846153846,265905.8461538461,2,0.1340989777283644
TCCO,4.85,Technical Communications Corpora,0.0,2.749332,-0.347624,243000.0,1.7055,1544100.0,0.4461,-313300.0,-3.4542,929600.0,-0.3288,-52000.0,0.9252,1116600.0,0.7678,-517600.0,0.3984,1124600.0,1.7788,100,0.6300702382286689,5.855930000000002,4.526513864439219,935539.32,169282.0,8,0.4099701984585245
IPGP,167.51,IPG光电,22.658955,4.144369,7.390014,122000000.0,0.1682,414000000.0,0.1198,106000000.0,0.4191,360000000.0,0.2589,52956000.0,-0.2951,361000000.0,0.2889,116000000.0,0.6698,393000000.0,0.4759,143,0.38253295443656965,68.65888111888113,0.3640448339801945,8168705.444444444,5988590.140845071,11,0.28850633710444695
SGC,19.44,Superior Uniform Group,21.995952,2.0570619999999997,0.8892,3817000.0,-0.1207,82392000.0,0.2559,2450000.0,-0.3611,73087000.0,0.1984,1884000.0,-0.5758,72449000.0,0.12,4962000.0,0.1158,67773000.0,0.0382,128,0.22488542775335638,10.973242187500002,2.3152230774470404,456288.65625,137634.375,10,0.1777961040535271
GOGL,9.42,Golden Ocean Group,22.032317000000003,0.9021459999999999,0.426646,8980000.0,1.7507,141000000.0,0.4101,16683000.0,1.9332,149000000.0,0.8335,27124000.0,3.1877,151000000.0,0.7243,368000.0,1.0138,127000000.0,0.8024,43,0.19872983364453123,8.350209302325583,1.8443288728266465,5386104.045454546,1893629.142857143,3,0.14872456347116464
VRNA,12.11,Verona Pharma plc,0.0,1.6384290000000001,-3.343136,611000.0,1.1909,0.0,0.0,-15223000.0,-6.9535,0.0,0.0,-6268900.0,-7.0139,0.0,0.0,-9114200.0,-2.7029,0.0,0.0,19,0.16987952271354756,13.749984210526314,-0.20514459339968066,133938.7,168507.0,1,0.0705695409726834
DLHC,6.1,DLH Holdings Corp,64.46759399999999,1.960216,0.095707,1614000.0,0.7079,36131000.0,0.235,1316000.0,0.3442,34401000.0,0.1503,-2851000.0,-9.7994,30215000.0,0.1572,1040000.0,-0.5643,30390000.0,0.1206,77,0.46097281791586836,3.363151948051948,-0.16499479178842966,238593.94871794872,285739.4736842105,6,0.3183708316033892
MHLD,2.7,Maiden Holdings,0.0,0.36657399999999996,-2.208473,2680000.0,1.1641,0.0,0.0,22343000.0,-0.1569,0.0,0.0,-125000000.0,-0.7998,0.0,0.0,-55054000.0,-2.3495,0.0,0.0,126,0.2702562285345898,9.667539682539678,1.148848752995235,9501578.174603175,4421706.349206349,10,0.19846456665652276
CPSS,3.92,Consumer Portfolio Services,55.419993999999996,0.48651400000000006,0.072537,3165000.0,-0.3077,0.0,0.0,3145000.0,-0.298,0.0,0.0,-9951000.0,-2.333,0.0,0.0,4663000.0,-0.3654,0.0,0.0,252,0.4224636467668173,3.901781746031746,0.24610667809809192,1416515.7222222222,1136753.1746031747,21,0.36686693704208784
AIRT,33.6,Air T,16.594141,2.45434,2.024811,3282100.0,1.6686,60692100.0,0.2734,1462700.0,3.8742,53324500.0,0.2206,-714400.0,-1.429,44453300.0,0.2428,478500.0,-0.5569,48861500.0,0.2684,252,0.6109254704928645,11.105380555555554,-0.9378862175648769,148599.92857142858,2392382.5396825396,21,0.4117085245547494
AXTI,7.35,AXT Inc,20.040702,1.557649,0.370496,4551000.0,1.5311,27120000.0,0.1513,3190000.0,6.5059,24419000.0,0.1845,3273000.0,0.6171,26332000.0,0.2991,4565000.0,1.0647,28168000.0,0.2879,246,0.3692934523503659,7.299654471544713,0.39724580247902663,5558184.731707317,3977957.723577236,20,0.32450687252228877
CVLY,30.13,Codorus Valley Bancorp,18.357879999999998,1.6261940000000001,1.687014,6054000.0,0.6429,0.0,0.0,4083000.0,0.1942,0.0,0.0,1490000.0,-0.6122,0.0,0.0,3410000.0,0.0021,0.0,0.0,252,0.21012328015482998,13.198292460317457,2.428932325747595,130193.53968253969,37969.119047619046,21,0.1713491537417382
NSIT,54.52,Insight Enterprises,16.408827,2.1733700000000002,3.3853120000000003,51479000.0,0.2788,1837000000.0,0.0908,32745000.0,1.3646,1763000000.0,0.1931,14168000.0,-0.3285,1784000000.0,0.2157,22412000.0,0.0359,1758000000.0,0.2623,252,0.4451171511889145,21.080607142857147,-0.5689229345788418,4280755.404761905,9930371.5,21,0.31409236547171643
OIIM,2.17,凹凸科技,10.796688,0.676454,0.20552600000000001,1461000.0,2.0188,15205000.0,0.0476,7168000.0,5.9197,14108000.0,-0.0566,-1879000.0,-157.5833,15217000.0,-0.0435,-1375000.0,-2.0323,15520000.0,0.0744,157,0.2929022777565152,4.809360509554141,-0.7696694419902247,1085568.0,4713087.179487179,13,0.25591575850005943
FNJN,4.56,"Finjan Holdings, Inc.",2.921643,1.9505849999999998,1.584725,7039000.0,3.4873,17300000.0,6.4924,29218000.0,0.8318,65000000.0,1.6266,13928000.0,2.5567,23428000.0,1.7894,-4237000.0,-0.2832,0.0,0.0,54,0.34503925671523866,2.3435907407407415,3.391909251100192,5963267.851851852,1357784.851851852,4,0.26758891891777314
AMD,31.18,AMD,97.201415,35.334965999999994,0.327773,116000000.0,3.7619,1756000000.0,0.5256,81000000.0,3.4545,1647000000.0,0.3981,61000000.0,2.1961,1480000000.0,0.3382,71000000.0,1.1749,1643000000.0,0.2571,252,0.402473287443967,11.399525396825394,1.664831461862646,648026921.6904762,243177450.7936508,21,0.35452306553609825
CART,8.2713,加州信托银行,41.940896,1.254674,0.20147400000000001,510000.0,1.6019999999999999,0.0,0.0,581000.0,1.7536,0.0,0.0,-354000.0,-1.9267,0.0,0.0,351000.0,3.1294,0.0,0.0,167,0.27560509510617237,7.558362275449103,2.3748482741325065,76434.21428571429,22648.192771084337,13,0.21263890187975118
VCTR,8.82,Victory Capital Holdings Inc.,11.282252,1.4429299999999998,0.792395,18675000.0,6.9333,104000000.0,0.0343,10524000.0,1.3848,105000000.0,0.0427,11209000.0,5.17,106000000.0,0.0772,7850000.0,3.0972,102000000.0,0.1882,9,-0.03741485490434262,10.775555555555554,-0.5532686920097317,1727017.0,3865896.5,0,-0.04958210159459854
GOV,11.5,GOV基金,50.481027000000005,0.911968,0.233355,29695000.0,1.5430000000000001,0.0,0.0,6565000.0,-0.1146,0.0,0.0,-17991000.0,-2.4912,0.0,0.0,10989000.0,-0.0509,0.0,0.0,113,0.12559748450140848,21.82022123893805,1.2131690135221405,15941029.578947369,7202807.142857143,9,0.09189251075826456
MYFW,17.75,First Western Financial Inc,99.973866,1.365043,0.179847,1048000.0,1.5941,0.0,0.0,1186000.0,1.2548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-0.03560009901084248,17.5525,-0.7144479803615975,179371.5,628157.0,0,-0.03560009901084248
LGIH,49.45,LGI Homes Inc,7.623188000000001,1.983584,6.537947,47608000.0,0.4786,420000000.0,0.2951,27302000.0,1.3177,279000000.0,0.7127,35640000.0,0.5359,405000000.0,0.71,33687000.0,0.7305,366000000.0,0.6916,60,0.24743498231345384,32.91433333333333,0.7455507270607838,8222057.0,4710293.933333334,5,0.19867259519700545
CASS,66.42,卡斯信息系统,29.858283,3.6791629999999995,2.271229,7509000.0,0.1529,25695000.0,0.0796,8092000.0,0.28300000000000003,25361000.0,0.1137,5331000.0,-0.1701,24734000.0,0.1229,6863000.0,0.10300000000000001,24207000.0,0.09300000000000001,252,0.28074101486311837,23.51147103174604,0.43182070658356375,491106.9682539682,342994.7380952381,21,0.22125887920882
DMLP,18.9,多尔切斯特,13.130367999999999,6.936914,1.462259,16364000.0,0.9368,21062000.0,0.6817,10963000.0,0.2864,15847000.0,0.287,14229000.0,1.0709,17247000.0,0.845,7224000.0,0.0868,12279000.0,0.1517,189,0.2221876386413297,21.668941798941784,0.45797781404401555,1116123.894736842,765528.7234042553,15,0.17774983017260634
EMCF,36.39,恩克莱尔金融,16.387619,1.403309,2.243157,1413000.0,0.3573,0.0,0.0,1362000.0,0.4247,0.0,0.0,573000.0,-0.5209,0.0,0.0,1707000.0,0.6134,0.0,0.0,108,0.12457818276919706,23.442169444444446,1.5202281226626773,24959.59259259259,9903.703703703704,9,0.10205813549879428
CWCO,14.4,Consolidated Water Co Ltd,152.411969,1.4566940000000002,0.09579299999999999,2396900.0,2.9124,0.0,0.0,2058000.0,-0.2021,0.0,0.0,1123700.0,-0.1541,0.0,0.0,1416700.0,1.4761,0.0,0.0,252,0.18572624355940856,11.758611111111106,1.0635564265503965,1412324.2222222222,684412.6984126985,21,0.17272937184216786
SBBX,26.55,苏塞克斯银行,28.841155,1.421017,0.932695,2992000.0,1.485,0.0,0.0,1308000.0,-0.3496,0.0,0.0,513000.0,-0.6632,0.0,0.0,1963000.0,0.4905,0.0,0.0,252,0.22732633561441176,10.986588888888896,3.9617551276172662,137752.34126984127,27762.825396825396,21,0.1743289380734175
IRMD,31.5,iRadimed Corporation,133.192996,9.510148,0.241792,1355000.0,2.7947,7376800.0,0.3353,841200.0,4.605,7108200.0,0.3769,183600.0,-0.8390000000000001,6704900.0,0.1193,192400.0,-0.8767,5689700.0,-0.2585,52,0.3101926878282482,16.53519230769231,0.1111625636105709,1052938.1153846155,947600.4230769231,4,0.23928714914803198
EA,114.12,电子艺界,51.244901,6.710638,2.259737,293000000.0,-0.545,1137000000.0,-0.2153,607000000.0,0.0724,1582000000.0,0.036000000000000004,-186000000.0,-185.0,1160000000.0,0.0096,-22000000.0,0.4211,959000000.0,0.0679,252,0.23693913979500247,41.45292658730159,-0.02608265549439411,99194433.03968254,101850976.98412699,21,0.21465181973945643
NHLD,3.48,National Holdings Corporation,0.0,0.913394,-0.471217,812000.0,34.8333,0.0,0.0,-2252000.0,-1.5813,0.0,0.0,-8040000.0,-2.5892,0.0,0.0,3619000.0,1.6809,0.0,0.0,44,0.2082289019604966,3.0828818181818183,0.17577637773098548,765094.3636363636,650714.1818181818,3,0.12702112029631304
ATRI,641.6,Atrion公司公司,35.800101,6.1273029999999995,18.296038,8797000.0,-0.1226,38847000.0,0.0742,8487000.0,-0.147,39401000.0,0.0233,8646000.0,0.552,34024000.0,0.0219,7971000.0,0.0469,37903000.0,0.0018,252,0.20679076270016572,173.42494047619044,0.24896018729907263,85099.78571428571,68136.50793650794,21,0.17091344924089655
MFNC,16.4,Mackinac Financial Corporation,26.737689000000003,1.200338,0.623846,396000.0,-0.7643,0.0,0.0,1537000.0,-0.1095,0.0,0.0,-20000.0,-1.0118,0.0,0.0,2093000.0,0.1772,0.0,0.0,224,0.286359804972891,35.08719642857143,2.4053717337040665,96229.11607142857,28258.035714285714,18,0.22503759714540317
UONE,2.3,第一电台,0.984167,2.731594,2.4335299999999997,23896000.0,22.6594,115000000.0,-0.0207,-22522000.0,-8.5554,99621000.0,-0.0165,122000000.0,35.8801,109000000.0,-0.0398,-7818000.0,-389.9,112000000.0,0.011000000000000001,234,0.8294716571920094,9.646703846153844,-0.9598231904197052,128302.61538461539,3193449.5726495725,19,0.6708662183302422
DAIO,5.29,Data I/O Corporation,11.339503,1.990904,0.47180200000000005,486000.0,-0.597,7204000.0,-0.2114,130000.0,-0.8672,7629000.0,0.0561,1536000.0,1.0344,8096000.0,0.2628,1728000.0,1.7648,9596000.0,0.4566,252,0.4656431816591893,3.602650793650793,0.2945265517316664,705881.6984126985,545281.746031746,21,0.33679230068377414
IMOS,14.85,南茂科技,63.032582,0.035,0.2394,124000000.0,-0.6139,4492000000.0,-0.0109,22763000.0,-0.9904,4011000000.0,-0.1205,-66609000.0,-1.0691,4408000000.0,-0.0555,162000000.0,0.1609,4431000000.0,-0.0709,209,0.6349147992905634,16.116019138755984,0.6508782145959302,3024527.942857143,1832072.1153846155,17,0.46024196959498287
SIMO,55.5,慧荣科技,24.224646,3.5881,2.2580310000000003,30728000.0,0.2786,138000000.0,0.0401,23061000.0,-0.0191,130000000.0,0.024,9817000.0,-0.6247,136000000.0,-0.0557,17594000.0,-0.4623,127000000.0,-0.1978,161,0.42223959812979706,21.29695652173913,0.09151421543974537,9969170.444444444,9133340.0,13,0.33976237092163064
FNLC,28.82,第一万通金控,14.9443,1.7516630000000002,1.97935,5734000.0,0.1743,0.0,0.0,5506000.0,0.1874,0.0,0.0,5086000.0,0.1773,0.0,0.0,4982000.0,0.0921,0.0,0.0,232,0.2120882146740962,16.094714224137935,2.434186641588662,270732.3275862069,78834.4827586207,19,0.164943962639751
NTES,219.01,网易,26.454144,4.161053,8.206653999999999,2263000000.0,-0.2442,16284000000.0,0.2174,805000000.0,-0.7994,14173000000.0,0.039,1302000000.0,-0.6492,14608000000.0,0.2073,2542000000.0,-0.0908,12478000000.0,0.3546,217,0.2444759113621812,68.52458525345621,-0.7009457348586301,18761512.128440365,62736146.2962963,18,0.22850510979642782
KE,19.35,"Kimball Electronics, Inc.",31.548362,1.465517,0.626023,5784000.0,-0.2884,277000000.0,0.1471,10835000.0,0.3349,284000000.0,0.21899999999999997,-8347000.0,-2.0685,258000000.0,0.1211,8480000.0,-0.1622,253000000.0,0.1181,48,0.1750689884318495,15.37208333333333,0.07321973776879635,1433364.3333333333,1335573.9583333333,4,0.13458515623605516
ALSK,1.7,阿拉斯加通信系统,31.470270000000003,0.5522279999999999,0.054337,3402000.0,2.2021,59578000.0,0.0178,2069000.0,3.9223,55972000.0,-0.0134,-2976000.0,-2.8635,54935000.0,-0.0495,284000.0,-0.1125,56703000.0,0.0039,228,0.36923471292123233,6.380995614035086,0.654767551019212,7182255.824561403,4340341.228070175,19,0.2936842549107815
JOUT,94.7,约翰逊户外,20.749799,3.378423,4.646792,23770000.0,0.436,171000000.0,0.0999,21620000.0,0.5488,166000000.0,0.1066,235000.0,-0.9421,117000000.0,0.2438,589000.0,1.2769,91755000.0,0.2244,252,0.30990484863972984,20.482182539682537,0.2247790387846871,371378.27777777775,303220.6349206349,21,0.24725751178257036
GLNG,27.93,Golar海运,0.0,1.6688169999999998,-0.24576599999999998,53158000.0,1.8238,59374000.0,1.09,-8397000.0,0.8581,66190000.0,1.636,14915000.0,-0.0439,57587000.0,1.4969,-36474000.0,-1.0966,32432000.0,0.4565,191,0.3426197796756159,22.44513089005236,5.254501669312787,22653719.458333332,3621986.3157894737,15,0.2700808696209248
NAII,10.0,Natural Alternatives Internation,13.344289000000002,1.1248479999999998,0.760625,2884000.0,0.8801,39213000.0,0.2184,2051000.0,1.7530000000000001,31815000.0,0.2658,-1318000.0,-1.5345,33335000.0,0.0908,1434000.0,-0.4241,28074000.0,-0.1759,252,0.3945017939940259,7.047936904761904,-0.4013806648002718,369270.21428571426,616869.8412698413,21,0.31339414517874226
IDSA,2.32,美国工业服务,54.578816,1.572848,0.043057,797000.0,3.1141,16600000.0,0.2242,36000.0,1.1328,14657000.0,0.1265,-306000.0,-0.275,13455000.0,0.2827,-177000.0,0.8113,14909000.0,0.5066,252,1.7559751472493994,3.8460190476190492,-0.7462960010231182,720990.3968253968,2841856.6507936507,21,1.0876020556775383
DRYS,5.25,DryShips Inc,0.025887999999999998,0.7364350000000001,204.731049,3576000.0,1.2286,43256000.0,1.6406,773000.0,1.0722,44055000.0,2.7309,1789000.0,1.0231,42593000.0,3.4138,-17982000.0,-2.4271,29934000.0,1.4767,165,0.8169385955835704,136245778.52060547,970645.9626516056,14216426.855421687,14.646341463414634,13,0.5983764438285585
REGI,26.35,Renewable Energy Group,4.8040449999999995,1.292512,5.537000000000001,33850000.0,1.9724,577000000.0,0.1032,214000000.0,14.4717,322000000.0,-0.1973,-16983000.0,-1.8332,576000000.0,0.228,-11373000.0,-1.4839,624000000.0,0.1922,82,0.33396976283181345,10.890365853658539,0.45007348972375033,10169499.780487806,7013092.682926829,6,0.25151057115183
PINC,43.3,Premier Inc.,12.242453,-1.629994,3.5666870000000004,101000000.0,0.3625,434000000.0,0.0766,76549000.0,0.073,425000000.0,0.1199,19769000.0,-0.9197,411000000.0,0.1476,60616000.0,0.0434,391000000.0,0.2467,62,0.09805134750832356,33.781129032258065,1.0686695415888452,11462832.387096774,5541161.677419355,5,0.07445043447542636
AMRB,15.61,里弗银行,27.786381,1.264413,0.561786,1269000.0,-0.0216,0.0,0.0,1353000.0,0.1427,0.0,0.0,-392000.0,-1.2047,0.0,0.0,1109000.0,-0.3883,0.0,0.0,252,0.19122106652213633,12.0897011904762,1.3253362861591025,194998.82539682538,83858.33333333333,21,0.14900412038331753
CNXN,38.94,"PC Connection, Inc.",16.648417000000002,2.064796,2.3671919999999997,18226000.0,0.3416,707000000.0,-0.0576,11300000.0,0.5205,625000000.0,-0.0681,20723000.0,0.5944,762000000.0,0.0363,13117000.0,-0.035,729000000.0,0.0293,26,0.11404167761864543,28.687307692307698,0.06636017372838722,1018148.3076923077,954788.3846153846,2,0.0670345070002178
ODP,3.3,欧迪办公,18.816766,0.860226,0.177767,16000000.0,-0.3333,2628000000.0,0.1121,41000000.0,-0.6466,2830000000.0,0.0575,-52000000.0,-1.65,2581000000.0,-0.0532,92000000.0,-0.5233,2620000000.0,-0.0762,49,0.30783078157598937,5.105510204081633,-0.3506080756710042,124090224.36,191086799.375,4,0.19820415855942364
TXN,110.5,德州仪器,24.808278,10.081700999999999,4.445089,1405000000.0,0.3305,4017000000.0,0.0877,1366000000.0,0.3701,3789000000.0,0.1138,344000000.0,-0.6714,3750000000.0,0.0984,1285000000.0,0.2623,4116000000.0,0.12,82,0.07611952146252832,59.92780487804876,-0.15641153678508013,111534089.85365854,132213863.41463415,6,0.06627071689565106
AEIS,52.67,先进能源工业公司,14.41864,3.526735,3.720878,46405000.0,0.0077,196000000.0,0.1818,46510000.0,0.2391,196000000.0,0.3098,-29590000.0,-1.6682,179000000.0,0.3241,83864000.0,1.7622,177000000.0,0.3953,252,0.3261269262753163,24.27728174603175,-0.08449787546874897,7832647.452380952,8555575.396825397,21,0.2802890044629029
WEBK,34.75,Wellesley Bancorp,19.65878,1.360835,1.7676580000000002,1420000.0,0.5155,0.0,0.0,1437000.0,0.6311,0.0,0.0,201000.0,-0.7216,0.0,0.0,1166000.0,0.5444,0.0,0.0,82,0.1082166142518583,21.26865365853659,-0.1542151979880665,41833.34146341463,49460.9756097561,6,0.08348361326320629
ARKR,22.76,Ark Restaurants Corp,15.761959,1.869602,1.443983,2925000.0,0.7369,43989000.0,0.086,-690000.0,-1.4042,34400000.0,0.0143,1741000.0,-0.165,38617000.0,0.0175,1275000.0,-0.0964,38822000.0,0.0466,252,0.26565299806524073,18.40679206349206,-0.2052805624439403,95633.76190476191,120336.50793650794,21,0.20811766478888716
CENX,13.09,世纪铝业,16.446739,1.3687989999999999,0.810495,19400000.0,1.7324,470000000.0,0.2088,-300000.0,0.9801,454000000.0,0.2425,35805000.0,1.2125,434000000.0,0.2766,20783000.0,1.3566,401000000.0,0.2008,252,0.6183643308439607,17.742023809523825,6.556488096349225,45299580.865079366,5994792.857142857,21,0.44769559160183353
LMFA,0.507,"LM Funding America, Inc",0.0,2.008302,-2.1334150000000003,455200.0,1.5730000000000002,0.0,0.0,-8920.0,0.9779,0.0,0.0,-2725900.0,-4.1985,0.0,0.0,-4703900.0,-4.1455,0.0,0.0,35,0.1313924627401621,4.211529171428571,102.8442852050203,8950332.833333334,86189.94117647059,2,0.07725409910752905
NKSH,45.25,National Bankshares,22.621987,1.729657,2.042261,4041000.0,0.1319,0.0,0.0,3296000.0,-0.0967,0.0,0.0,3088000.0,-0.1101,0.0,0.0,3785000.0,-0.0112,0.0,0.0,252,0.29897509696124935,21.160704365079372,-0.08718546067912852,157195.35714285713,172209.52380952382,21,0.2061884541971595
PBIP,17.63,宾夕法尼亚保德信,23.599178,1.228879,0.760196,2436000.0,0.1507,0.0,0.0,2157000.0,2.0079,0.0,0.0,34000.0,-0.9535,0.0,0.0,2071000.0,1.109,0.0,0.0,164,0.1417823229925416,12.01592256097561,0.4294703246875928,258357.58536585365,180736.58536585365,13,0.12415650773642849
