code,name,pe,pb,eps,count,end,max,mean,min,price_end,price_middle,price_start,start,std,volume_end,volume_start,year
PTLA,Portola Pharmaceuticals Inc.,0.0,8.552021,-5.74756,65.0,29.34,63.45,33.84600000000001,17.99,41.814545454545446,34.028636363636366,25.306666666666665,15.25,11.542506741388546,22054831.818181816,5962428.6875,5.0
EVLO,Evelo Biosciences,0.0,2.642441,-9.350357,5.0,13.52,15.89,13.463999999999999,11.8,13.495000000000001,12.22,15.89,16.0,1.5277859797759632,1017033.0,3146998.0,0.0
EIGR,"Eiger BioPharmaceuticals, Inc.",0.0,3.6130230000000005,-3.8488809999999996,31.0,13.2,21.11,12.380645161290321,6.65,11.345454545454546,9.75,16.150000000000002,17.4,3.809271089927722,2196991.0,515772.4,2.0
CDMO,"Avid Bioservices, Inc.",0.0,8.143281,-0.563053,253.0,7.03,1515.5,142.81818418972318,2.0979,7.13730117647059,120.22416666666669,302.7083333333333,612.5,182.65965448132377,4441415.503937008,123007.12698412698,21.0
FVE,Five Star Quality Care,0.0,0.42447700000000005,-0.7355729999999999,202.0,0.9901,12.14,4.728094554455443,0.99,3.306545588235296,4.531641791044778,6.367313432835821,8.25,2.754211378314647,4343863.683168317,3365211.881188119,16.0
ALSK,阿拉斯加通信系统,35.88715,0.629734,0.054337,227.0,1.9801,16.27,6.402982819383258,1.28,1.9575671052631587,10.14344736842105,7.117333333333333,14.75,4.396285311136655,7217991.228070175,4325713.274336283,18.0
FLDM,Fluidigm Corporation,0.0,8.915878999999999,-1.42746,92.0,7.845,46.85,16.42755434782609,3.76,6.579516129032259,27.270967741935486,15.398999999999997,13.5,11.138727941818539,5872838.760869565,3219045.652173913,7.0
MNOV,美第奇新星生物技术,0.0,5.8395529999999995,-0.34160100000000004,142.0,12.39,13.28,4.776556338028168,1.59,6.123541666666665,2.4973191489361706,5.6801489361702115,11.0,2.744664222702857,2318598.4225352113,352995.77464788733,11.0
SMIT,Schmitt Industries,0.0,1.192194,-0.150944,253.0,2.71,33.3903,5.110627272727272,1.0,2.625803529411765,5.626428571428568,7.10923095238095,24.3902,4.746890205411267,495034.6220472441,235169.07142857142,21.0
VECO,Veeco Instruments Inc,0.0,0.8913260000000001,-5.984145,253.0,12.0759,106.27,28.57531976284584,4.26,27.14183411764707,23.370952380952374,35.2302380952381,62.13,14.306421881218848,15357895.2992126,10056723.015873017,21.0
STAF,Staffing 360 Solutions Inc.,0.0,-1.17074,-5.806239,37.0,2.27,7.9,1.9795486486486484,0.55,1.812076923076923,0.7857083333333333,3.3548166666666663,10.24,1.6004728807486905,6244305.842105263,2617217.0,3.0
SKIS,"Peak Resorts, Inc.",0.0,0.9712780000000001,-0.017736000000000002,47.0,5.05,8.89,5.557195744680851,3.21,4.93739375,4.784999999999999,7.041993333333334,9.0,1.2346037119795454,751655.9583333334,1221076.7826086956,3.0
TELL,Tellurian Inc.,0.0,6.197614,-0.432909,253.0,9.265,28.48,10.60083636363635,0.5315,8.105924705882355,12.399619047619055,11.326666666666668,28.72,4.823148603006993,3688742.8582677166,378852.8650793651,21.0
AMD,AMD,73.160387,26.595495,0.327773,253.0,26.73,43.75,11.339729644268772,1.72,6.532647058823529,12.870357142857141,14.673411904761902,18.9062,8.429674076742813,621969084.5984251,237581622.2222222,21.0
COCP,"Cocrystal Pharma, Inc.",350.477923,1.022707,0.010985,7.0,3.75,5.95,3.6614285714285715,2.12,3.8699999999999997,2.975,4.035,4.36,1.274904291459148,1386552.5,1280952.3333333333,0.0
RIBT,RiceBran Technologies,0.0,4.624426000000001,-0.22165900000000002,58.0,3.21,7.19,2.575491379310345,0.79,1.5171649999999999,1.6176421052631578,4.647368421052632,4.26,1.650519378467369,1521928.3793103448,895033.7931034482,4.0
XSPL,"Xspand Products Lab, Inc.",0.0,5.32632,-0.570498,5.0,6.58,7.77,6.730000000000001,5.9,6.51,6.835,6.96,5.51,0.6946221994724899,414140.6666666667,2785019.0,0.0
NSYS,Nortech Systems Incorporated,0.0,0.555972,-0.878575,253.0,4.2,12.5,5.261186561264819,2.0,4.075414117647057,5.578690476190476,6.14357142857143,5.13,1.9834642380112324,184480.67716535434,107434.92063492064,21.0
MAG,迈力达电子,0.0,3.627711,-0.66,72.0,7.53,50.06,18.838055555555556,7.53,11.552499999999997,29.90458333333333,15.057083333333333,8.83,10.515933938001863,4306180.333333333,151291.66666666666,6.0
MXWL,Maxwell Technologies,0.0,1.835981,-1.150012,253.0,3.505,40.25,12.349189723320157,3.505,8.02252941176471,13.41119047619047,15.665357142857141,31.0,6.518920648710157,5554026.897637796,1621996.8253968253,21.0
ACRS,Aclaris Therapeutics,0.0,2.747664,-3.3864199999999998,36.0,15.41,31.23,22.49361111111111,14.47,19.784999999999997,27.1225,20.573333333333334,11.94,4.580602675742122,5872482.888888889,2642174.388888889,3.0
GSKY,Greensky Inc.,3.663582,167.796846,5.309012,5.0,20.29,26.77,21.151999999999997,17.3,20.27,19.225,26.77,22.15,3.4625308662884144,19637779.0,29764139.0,0.0
REFR,Research Frontiers Incorporated,0.0,12.415645,-0.094959,253.0,1.1357,34.94,7.466086166007898,0.81,3.5823505882352933,5.607976190476191,13.254166666666666,10.69,5.968034136003109,999299.4645669291,1277670.634920635,21.0
DRIO,LabStyle Innovations Corp,0.0,5.855455,-0.10371099999999998,31.0,1.06,5.2399,2.666222580645161,1.06,1.4349454545454543,2.6078600000000005,4.07899,3.65,1.272080660626434,2008296.875,862882.6666666666,2.0
FORTY,配方系统,51.911771,0.834492,0.79,252.0,40.23,82.5,21.814809523809515,4.02,28.36311904761904,12.451428571428576,24.62988095238095,34.5,11.916197984343006,68955.09523809524,304485.71428571426,21.0
USLV,Velocitysharestm 3X Long Silver,0.0,0.0,0.0,58.0,5.885,56.5,19.558693103448277,5.885,11.230250000000002,15.275221052631576,32.608947368421056,43.98,12.470019343656999,45953524.93103448,8635787.103448275,4.0
UBX,Unity Biotechnology,0.0,3.882793,-12.895897999999999,5.0,18.4,19.06,16.49,14.9,18.729999999999997,15.045,14.9,19.0,2.0589803301634517,990781.6666666666,3231202.0,0.0
GNMK,GenMark Diagnostics,0.0,8.556835000000001,-1.041754,101.0,8.59,15.55,8.415445544554458,3.36,8.55411764705882,11.106470588235297,5.5,5.65,3.2697197203284794,5839144.62745098,2327156.0,8.0
KOOL,热动力医疗,0.0,0.587613,-2.120923,253.0,0.4896,507.2,134.87209525691694,0.3833,13.826636470588236,193.51190476190476,198.71876190476195,260.0,129.07709972471685,1458745.716535433,36572.579365079364,21.0
SIEB,Siebert Financial Corp,75.220203,48.168521999999996,0.20526399999999997,253.0,16.1,31.5,4.457012252964424,1.16,3.128930588235294,2.7149404761904767,7.542976190476186,1.4375,4.79981151625307,318832.48031496065,1151569.0476190476,21.0
NOVN,Novan Inc.,0.0,16.933467999999998,-1.4908700000000001,25.0,2.79,27.02,7.369200000000001,2.56,2.9588888888888887,5.125,14.574999999999998,14.4,7.512145121956399,1139539.923076923,4964970.416666667,2.0
TCDA,Tricida Inc.,0.0,-8.592889,-34.520897,4.0,31.63,31.63,29.002499999999998,23.65,31.229999999999997,23.65,29.9,25.0,3.6376858486314254,1119752.0,3967090.5,0.0
MVIS,维视图像,0.0,8.334448,-0.361282,253.0,1.05,512.48,50.580871146245066,0.895,2.1550917647058827,25.9516380952381,124.21238095238093,96.0,75.51923651785474,7928661.385826772,558011.9047619047,21.0
MSON,Misonix Inc,0.0,6.852703,-0.70321,253.0,19.6363,19.7,6.037241106719365,0.78,7.874003529411768,3.879940476190475,6.335913095238096,10.8333,3.186567179130711,315000.58267716534,841839.2857142857,21.0
HTGM,"HTG Molecular Diagnostics, Inc.",0.0,3.5403620000000005,-0.823943,41.0,4.629,14.35,3.9591121951219512,1.66,3.1899285714285712,2.9381999999999997,5.886907692307692,14.0,2.602225085114191,23835509.95238095,1927193.3,3.0
RMBL,Rumbleon Inc.,0.0,15.03165,-1.191915,12.0,8.24,8.57,5.547083333333333,4.14,7.154999999999999,4.5225,4.963749999999999,5.5,1.4580037073361853,1579524.1666666667,786280.3333333334,1.0
NWPX,西北管道,0.0,0.906533,-1.22482,253.0,17.965,58.15,22.749782608695654,7.06,22.283588235294108,30.116071428571427,15.855238095238095,24.5,9.307753960108665,1232479.283464567,537235.7142857143,21.0
OPRA,Opera,0.0,0.0,0.0,3.0,11.98,12.09,11.956666666666669,11.8,11.98,11.8,12.09,14.34,0.1464012750399846,4760992.5,9609491.0,0.0
ARDX,Ardelyx,0.0,1.670827,-1.001986,52.0,4.15,27.01,11.495480769230769,3.7,5.5777777777777775,12.032352941176471,17.224411764705877,14.5,5.944495745333628,8396193.923076924,2666531.0384615385,4.0
OBAS,阿贝斯,0.0,0.810657,-0.24699699999999997,234.0,8.8,881.25,83.06021623931625,4.8,8.590905128205126,55.58653846153846,185.00320512820514,187.5,126.71282678791958,19936.529914529914,68232.13675213675,19.0
MDXG,MiMedx Group Inc.,13.420066,3.468086,0.33159299999999997,66.0,5.2,16.75,8.815984848484849,4.17,10.224090909090906,8.97,7.253863636363636,6.05,2.7481623538000486,36140695.09090909,14917831.575757576,5.0
NVMM,"Novume Solutions, Inc.",0.0,20.760732,-0.451029,9.0,1.33,3.75,2.3342666666666667,1.3027,1.3275666666666668,2.0738,3.601433333333333,4.623,1.0734622664537399,219022.0,91599.5,0.0
CFMS,"ConforMIS, Inc.",0.0,1.387589,-1.010471,39.0,1.21,23.08,7.387307692307691,0.96,1.8580769230769232,6.451538461538463,13.852307692307692,18.0,6.070339109377171,8334201.55,8642112.894736841,3.0
VSAR,Versartis Inc,0.0,0.946259,-1.048764,52.0,1.75,30.52,12.702211538461539,1.4,6.25138888888889,12.479411764705883,19.75529411764706,29.85,8.06611876765907,12151274.346153846,2677452.4615384615,4.0
AMCN,航美传媒,0.0,0.126699,-1.4243270000000001,131.0,0.4349,22.89,4.59906717557252,0.4349,3.0001772727272735,2.3084090909090915,8.57906976744186,19.5,4.270774278970298,9490468.712121213,4114370.769230769,10.0
ELOX,"Eloxx Pharmaceuticals, Inc.",0.0,8.761544,-3.713997,6.0,17.28,18.32,15.836666666666668,12.27,17.8,16.12,13.59,10.35,2.181537683989591,1022667.0,4011024.0,0.0
NEPT,Neptune Technologies & Bioressources,45.500001,4.39157,0.08,134.0,4.1498,147.5117,36.233462686567194,0.841,1.5859911111111111,43.24260000000001,64.49994090909091,132.904,43.93679943102771,5876526.611940298,557795.567164179,11.0
NFLX,"Netflix, Inc.",157.391826,34.748668,2.279788,197.0,366.62,391.43,48.05668426395941,0.6407,127.3020666666667,13.451701515151516,2.729509230769231,1.1564,78.34105871775985,462815569.61616164,261196492.85714287,16.0
NERV,Minerva Neurosciences,0.0,3.538909,-0.9074549999999999,51.0,10.55,14.115,7.398627450980394,4.38,7.411764705882352,9.38264705882353,5.401470588235294,6.24,2.5372148270163035,4361688.807692308,4359927.6,4.0
HEBT,希伯伦科技,3.047844,0.589305,0.485622,22.0,1.44,4.95,2.723181818181818,1.44,1.6825,2.892857142857143,3.742857142857143,7.0,0.9901725985361214,830751.8181818182,945562.0909090909,1.0
VCEL,Vericel Corporation,0.0,5.89506,-0.472008,47.0,12.1,13.45,4.628297872340424,2.02,8.012500000000001,2.7912500000000002,2.9779999999999998,3.0,3.271640539910624,17123327.75,5217551.173913044,3.0
RAVE,RAVE Restaurant Group,0.0,7.286815,-0.211304,253.0,1.3843,13.98,3.4893442687747034,1.01,5.084165882352942,2.3035714285714284,3.0613095238095234,4.25,2.398360220425904,1051448.31496063,355280.15873015876,21.0
AQXP,"Aquinox Pharmaceuticals, Inc.",0.0,0.8254440000000001,-1.696466,55.0,3.06,18.06,10.572818181818183,1.84,11.292105263157897,11.866666666666667,8.519722222222223,11.8,4.006769475899086,4430476.892857143,6536596.962962963,4.0
MYOS,MYOS Corporation,0.0,2.647696,-0.632107,51.0,1.33,14.19,3.2590215686274524,1.18,1.4421470588235294,1.8951647058823529,6.439752941176472,14.21,3.3787919507015354,6336830.192307692,326112.8,4.0
FNJN,"Finjan Holdings, Inc.",2.738645,1.828411,1.584725,53.0,4.32,5.02,2.301016981132076,0.9,2.927777777777778,1.39725,2.594317647058824,5.5,1.028175115984224,5776049.148148148,1356645.2307692308,4.0
JNCE,Jounce Therapeutics Inc.,0.0,2.499061,-0.9972540000000001,21.0,7.855,28.32,16.156904761904766,7.06,12.087857142857143,17.19142857142857,19.19142857142857,18.0,5.96578672016325,8436662.454545455,3498209.4,1.0
MSTR,MicroStrategy Incorporated,0.0,2.766664,-0.120549,244.0,148.37,1390.6,127.44737704918033,5.0,145.32292682926825,86.2314814814815,150.567037037037,81.25,155.2219622405802,2271829.12295082,5476109.016393443,20.0
STLR,Stellar Acquisition III Inc.,0.0,6.1984639999999995,-0.1728,24.0,10.45,10.45,10.192333333333332,9.88,10.37615,10.17085,10.03,9.92,0.1686542402479795,289117.6666666667,183912.25,2.0
MELI,MercadoLibre,0.0,104.885047,-1.454434,134.0,342.31,387.97,115.0480597014925,12.32,206.10644444444443,95.30255555555556,42.114431818181814,22.0,87.40483261813348,11554923.059701493,14386004.47761194,11.0
ABAC,奥信天力,19.041892,0.212864,0.09978,51.0,1.64,9.6,3.6725705882352946,1.64,2.3977117647058828,2.777411764705882,5.8425882352941185,7.96,2.036479067340897,392342.26923076925,99186.52,4.0
CSBR,"Champions Oncology, Inc.",0.0,31937.514069999997,-0.13429000000000002,140.0,8.8369,21.0,8.178876428571431,1.58,4.363461702127658,9.730212765957447,10.492173913043484,6.12,4.105171050574673,511331.85714285716,12520.0,11.0
TROV,TrovaGene,0.0,0.850073,-3.5481870000000004,76.0,0.804,131.52,49.64980657894737,0.77,14.44789615384615,69.0624,66.84719999999999,48.0,31.98647039283259,3147266.8947368423,281607.8157894737,6.0
BJRI,BJs餐饮,27.167162,5.321555,2.749643,253.0,75.55,75.7,22.836442687747045,1.16,41.324352941176464,21.672619047619047,5.292261904761904,1.56,16.81197954861153,6787542.086614173,1629787.3015873015,21.0
CORI,"Corium International, Inc.",0.0,13.849429,-1.546149,54.0,9.71,14.66,7.596944444444444,3.47,9.409999999999998,5.094999999999999,8.285833333333333,8.23,2.895028011183068,3570025.8518518517,915391.7777777778,4.0
APRI,Apricus Biosciences,0.0,1.308711,-1.126056,97.0,0.32,56.1,18.635732989690727,0.2697,2.476245454545454,18.42,35.515937500000014,26.0,15.28080140641982,7235114.8367346935,578637.5,8.0
RVEN,Reven Housing Reit Inc,0.0,1.413767,-0.22738699999999998,26.0,4.05,5.956,4.776946153846153,2.58,3.8666888888888886,4.9446111111111115,5.6123625,4.6,0.8979021876488639,79920.46153846153,22739.69230769231,2.0
ROKU,Roku Inc,23.72167,31.688541999999998,2.66676,13.0,62.01,62.01,41.12538461538462,20.38,49.4,36.2575,35.65,15.78,12.063932205396807,126900455.42857143,150245847.83333334,1.0
APWC,亚太电线电缆,9.258441,0.234364,0.289876,90.0,2.6,6.42,2.901463333333333,1.36,2.6770199999999997,2.4138700000000006,3.6134999999999997,5.69,0.7718067670855842,85303.35555555555,133304.44444444444,7.0
FANH,泛华金融控股集团,19.664951000000002,2.8803099999999997,1.329777,131.0,24.1,33.4,12.228625954198472,4.85,13.205340909090909,6.994886363636365,16.5846511627907,25.0,7.192691430928479,2939367.5606060605,5959247.692307692,10.0
CPIX,坎伯兰药业,0.0,1.517656,-0.297315,110.0,6.02,16.74,6.332509090909089,4.2,5.934756756756758,5.2472972972972975,7.856666666666666,17.22,2.2708420486701266,406472.6,1188090.9090909092,9.0
MHLD,Maiden Holdings,0.0,0.525532,-2.395481,125.0,3.775,17.75,9.725959999999997,3.13,11.57154761904762,10.726428571428574,6.810487804878049,10.0,3.282882394010364,8868529.698412698,4417764.516129033,10.0
IPIC,iPic Entertainment Inc.,0.0,-0.304052,-38.991913000000004,8.0,6.5312,11.83,8.67765,6.53,6.547066666666666,8.716666666666667,11.815000000000001,17.0,2.2089880443316123,160639.75,379506.0,0.0
VLRX,"Valeritas Holdings, Inc.",0.0,10.988477,-2.501041,19.0,1.13,7.15,3.40842105263158,1.13,1.577142857142857,3.216666666666667,5.736666666666667,9.5,1.9735930661216041,10207818.2,694850.7777777778,1.0
CPAH,CounterPath Corporation,0.0,1.454976,-0.51,75.0,2.15,25.3,8.066977333333337,1.9301,2.516232,4.648699999999999,17.035999999999998,32.5,7.222157934918877,1120830.4210526317,56374.59459459459,6.0
ASNS,Arsanis Inc.,0.528619,0.716453,3.575357,11.0,2.07,22.89,11.604545454545454,2.07,2.6275000000000004,18.7225,14.083333333333334,13.0,7.705479042391023,1987326.1666666667,825483.4,0.0
VNET,世纪互联,0.0,1.6565729999999999,-1.077393,90.0,9.84,29.97,13.488500000000002,4.46,8.115166666666665,21.055000000000003,11.295333333333334,20.26,6.334838417899771,16621376.066666666,12942957.777777778,7.0
DFBG,Differential Brands Group Inc.,0.0,1.307024,-0.880684,33.0,4.855,8.0,3.012981818181818,0.8479,2.4045909090909094,1.8947181818181817,4.739636363636364,7.5,1.8239107143810773,4034587.1764705884,334948.0625,2.0
BIOL,Biolase,0.0,1.71725,-0.982835,253.0,1.8036,88.665,18.94363122529646,1.21,9.272043529411762,26.35303571428571,21.320952380952377,18.375,15.871185186371315,878038.3622047245,965661.1111111111,21.0
AQMS,"Aqua Metals, Inc.",0.0,1.270066,-1.234358,39.0,2.44,19.54,7.417820512820512,1.82,3.0976923076923075,12.323846153846155,6.8319230769230765,6.5,4.613733331740171,11215550.05,1988350.105263158,3.0
HGSH,汉广厦房地产,6.900010000000001,0.39918400000000004,0.21739099999999997,97.0,1.35,10.9,2.866509278350516,0.26,1.6335969696969697,4.490240625,2.5142187500000004,4.15,2.256218106611264,1186667.9387755103,871570.8333333334,8.0
BPTH,"Bio-Path Holdings, Inc.",0.0,3.5911199999999996,-0.768309,55.0,1.37,30.5,12.975381818181818,1.34,2.9113684210526323,15.715555555555559,20.858333333333334,40.5,9.017581453884466,1426098.5357142857,299813.6666666667,4.0
OBLN,Obalon Therapeutics Inc,0.0,2.982031,-2.4335709999999997,24.0,2.7,12.93,7.1475,1.66,2.9025,8.0375,10.502500000000001,15.21,3.5165697836781598,2841299.0833333335,1521620.0833333333,2.0
UGLD,Velocitysharestm 3X Long Gold Et,0.0,0.0,0.0,53.0,7.91,16.87,11.271113207547167,7.37,10.416944444444443,10.677722222222222,12.803823529411764,13.48,2.3127631880200505,13013767.925925925,6501887.846153846,4.0
MEET,MeetMe,0.0,1.7934169999999998,-1.020867,54.0,5.17,6.43,3.398981481481481,1.53,3.848888888888889,4.397777777777778,1.950277777777778,2.92,1.4519048579819982,33340779.14814815,13976270.296296297,4.0
PLAB,福尼克斯,21.351384,0.979864,0.505822,253.0,10.625,42.56,13.852490118577073,0.45,8.497588235294119,10.616547619047617,22.50708333333333,29.125,8.227866276091467,9359600.960629921,11570187.301587302,21.0
CENX,世纪铝业,15.459688,1.286651,0.810495,253.0,11.94,73.0,17.76430830039527,2.11,11.866,28.537023809523824,12.960119047619045,16.13,13.990482337912113,44751075.01574803,5643346.825396826,21.0
LPSN,LivePerson,0.0,10.150751,-0.284513,222.0,26.925,26.925,7.2468018018018014,0.12,11.574932432432428,7.346013513513512,2.819459459459459,8.75,5.259820670032554,7516913.90990991,4165085.585585586,18.0
VBIV,VBI Vaccines Inc.,0.0,1.04809,-0.8936930000000001,253.0,2.07,43.25,11.074570750988137,2.04,3.809981176470588,17.933994047619052,11.566220238095237,4.5375,9.07478594682698,817968.3149606299,55770.63492063492,21.0
AGRX,"Agile Therapeutics, Inc.",0.0,0.366519,-0.750534,53.0,0.2815,11.62,5.737292452830188,0.2815,2.774527777777778,6.400277777777777,8.172352941176472,5.5,2.887167539025659,6923042.296296297,1464364.3461538462,4.0
SSRM,SSR Mining Inc,0.0,1.099,0.0,253.0,8.34,42.49,12.030335968379445,0.75,9.592411764705885,22.588809523809523,3.9388095238095246,3.5,9.595934333865149,27738498.086614173,8092764.285714285,21.0
HTHT,华住,51.302510999999996,10.291005,0.674236,103.0,34.01,44.01,10.571978640776699,2.88,21.480285714285714,5.732611764705883,4.182205882352941,3.375,10.65022631476974,21025582.25,13146305.88235294,8.0
ABCD,新生,14.611084,-100.156284,0.9403819999999999,106.0,13.16,13.38,3.8874433962264163,0.91,6.448333333333332,2.161685714285714,2.979142857142857,4.0,2.591417038647788,1431456.1509433961,663333.962264151,8.0
AVEO,AVEO制药公司,0.0,-7.004446000000001,-0.23877199999999998,103.0,2.955,20.61,5.519057281553399,0.54,1.7311971428571427,2.18620588235294,12.75117647058824,8.25,5.654243402284243,31749226.673076924,9134429.411764706,8.0
