code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps,Name,LastSale,MarketCap,year,Sector,industry,Summary Quote,Unnamed: 8
SRTS,"Sensus Healthcare, Inc.",7.59,9.23,110085.0,1.80212,0.0,5.620481,-0.143298,"Sensus Healthcare, Inc.",9.23,$148.72M,2016.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/srts,
UAVS,"AgEagle Aerial Systems, Inc.",0.45,0.581139,1105700.0,3.434935,0.0,1.350851,-0.274426,"AgEagle Aerial Systems, Inc.",0.5811,$6.74M,,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/uavs,
LPTX,Leap Therapeutics Inc,2.01,2.25,5640682.0,1.609866,0.0,7.55668,-2.399965,"LEAP THERAPEUTICS, INC.",2.25,$50.09M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lptx,
CWBR,"CohBar, Inc.",3.12,3.8,334899.0,3.022892,0.0,7.633129,-0.354578,"CohBar, Inc.",3.8,$161.71M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cwbr,
CFMS,"ConforMIS, Inc.",1.49,1.78,2338913.0,2.880688,0.0,3.339548,-0.739999,"ConforMIS, Inc.",1.78,$116.22M,2015.0,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/cfms,
BNGO,Bionano Genomics,4.1,5.0,148389.0,3.314385,0.0,3.313552,-6.734864,"Bionano Genomics, Inc.",5.0,$50.16M,2018.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/bngo,
OMED,"OncoMed Pharmaceuticals, Inc.",0.85,0.991,3363398.0,4.077223,0.0,0.794963,-0.210727,"OncoMed Pharmaceuticals, Inc.",0.991,$38.34M,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/omed,
RVP,Retractable Technologies Inc,0.78,0.9,5539197.0,4.940744,0.0,1.174257,-0.092618,"Retractable Technologies, Inc.",0.9,$29.4M,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/rvp,
TIS,Orchids Paper Products Inc,1.26,1.5,357597.0,2.225755,0.0,0.137035,-1.537544,Orchids Paper Products Company,1.5,$16.01M,2005.0,Basic Industries,Paper,https://www.nasdaq.com/symbol/tis,
FAMI,"Farmmi, Inc.",3.25,3.75,583496.0,1.978056,13.004668,2.439979,0.288358,"FARMMI, INC.",3.75,$44.75M,2018.0,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/fami,
FRAN,Francesca’s Holdings Corporation,0.7345,0.8584,2302976.0,2.522316,0.0,0.327654,-0.455345,Francesca&#39;s Holdings Corporation,0.8584,$31.05M,2011.0,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/fran,
CATB,"Catabasis Pharmaceuticals, Inc.",5.81,6.71,606518.0,1.753182,0.0,2.139625,-5.12,"Catabasis Pharmaceuticals, Inc.",6.71,$50.3M,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/catb,
ITMR,Itamar Medical Ltd,12.4,14.0,7001.0,1.699849,0.0,0.0,0.0,Itamar Medical Ltd.,14.0,$4.18B,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/itmr,
FEIM,高频电子,10.94,12.39,60351.0,3.153959,0.0,1.674548,-1.4268,"Frequency Electronics, Inc.",12.39,$108.16M,,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/feim,
SND,Smart Sand Inc.,3.52,3.99,1194621.0,1.511082,8.673913,0.781642,0.46,"Smart Sand, Inc.",3.99,$166M,2016.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/snd,
HYRE,Hyrecar Inc.,6.6,7.52,1489470.0,0.792293,0.0,11.185238,-1.416702,HyreCar Inc.,7.52,$88.04M,2018.0,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/hyre,
PTGX,Protagonist Therapeutics Inc,9.95,11.52,416531.0,1.710265,0.0,2.390421,-1.740435,"Protagonist Therapeutics, Inc.",11.52,$268.96M,2016.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ptgx,
PLX,Protalix BioTherapeutics Inc,0.4699,0.491,1055039.0,2.109314,0.0,-1.120905,-0.35438,"Protalix BioTherapeutics, Inc.",0.491,$72.85M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/plx,
QFIN,360金融,13.58,14.6,103763.0,1.67024,0.0,-5.821776,-5.228354,"360 Finance, Inc.",14.6,$2.1B,2018.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,
QTT,趣头条,13.75,15.63,2110857.0,1.244746,0.0,19.751995,-2.107135,Qutoutiao Inc.,15.63,$4.43B,2018.0,,,https://www.nasdaq.com/symbol/qtt,
MICT,Micronet Enertec Technologies I,1.1549,1.2847,105013.0,0.731865,0.0,9.239273,-0.44044,"MICT, Inc.",1.2847,$12M,,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/mict,
REED,Reeds Inc,2.55,2.85,374429.0,1.922845,0.0,-19.35074,-0.809648,"Reeds, Inc.",2.85,$73.28M,,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/reed,
ONTX,"Onconova Therapeutics, Inc.",3.65,4.07,462171.0,3.955176,0.0,2.126526,-7.352572,"Onconova Therapeutics, Inc.",4.07,$23.09M,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ontx,
RKDA,"Arcadia Biosciences, Inc.",8.5,7.9,1998049.0,3.000475,0.0,2.919197,-5.087704,"Arcadia Biosciences, Inc.",7.9,$37.72M,2015.0,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/rkda,
MDCA,MDC Partners Inc,2.45,2.29,4710722.0,2.52359,0.916228,-0.394336,2.499378,MDC Partners Inc.,2.29,$114.35M,,Technology,Advertising,https://www.nasdaq.com/symbol/mdca,
SYNH,"Syneos Health, Inc.",43.0,46.92,2097103.0,2.33645,0.0,1.709605,-0.353297,"Syneos Health, Inc.",46.92,$4.84B,2014.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/synh,
PHAS,Phasebio Pharmaceuticals Inc,3.35,3.72,620208.0,2.963793,0.0,-0.76222,-28.762156,"PhaseBio Pharmaceuticals, Inc.",3.72,$91.13M,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/phas,
CVRS,"Corindus Vascular Robotics, Inc.",1.84,1.98,3489524.0,1.726122,0.0,-41.149198,-0.224887,"Corindus Vascular Robotics, Inc.",1.98,$400.35M,2015.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/cvrs,
HJLI,Hancock Jaffe Laboratories Inc.,2.0,2.35,606761.0,0.554418,0.0,16.244889,-1.75,"Hancock Jaffe Laboratories, Inc.",2.35,$27.54M,2018.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/hjli,
APYX,Apyx Medical Inc,7.05,7.92,1045865.0,2.656702,4.106067,3.071501,1.928853,Apyx Medical Corporation,7.92,$262.97M,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/apyx,
CURO,Curo Group Holdings Corp.,10.05,11.24,1042827.0,3.478448,0.0,-27.064611,-0.481348,CURO Group Holdings Corp.,11.24,$516.96M,2017.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/curo,
RNDB,"Randolph Bancorp, Inc.",15.2258,17.05,49518.0,2.707144,0.0,1.210514,-0.374457,"Randolph Bancorp, Inc.",17.05,$101.5M,2016.0,Finance,Major Banks,https://www.nasdaq.com/symbol/rndb,
MPO,Midstates Petroleum,8.6,9.67,403332.0,1.55681,5.063212,0.361708,1.909855,"MIDSTATES PETROLEUM COMPANY, INC.",9.67,$244.67M,2016.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mpo,
CUE,"Cue Biopharma, Inc.",7.21,8.01,317116.0,2.546143,0.0,4.880172,-1.939999,"Cue Biopharma, Inc.",8.01,$165.79M,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cue,
LLEX,Lilis Energy Inc,1.42,1.62,1242430.0,1.48639,0.0,8.687752,-0.469998,"Lilis Energy, Inc.",1.62,$115.83M,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/llex,
LLEX,Lilis Energy Inc,1.42,1.62,1242430.0,1.48639,0.0,8.687752,-0.469998,"Lilis Energy, Inc.",1.62,$115.83M,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/llex,
VYGR,Voyager Therapeutics Inc,17.7,19.66,1822108.0,2.063594,0.0,13.80636,-2.75334,"Voyager Therapeutics, Inc.",19.66,$723.42M,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vygr,
CIDM,Cinedigm数码影院,1.81,1.82,491261.0,1.906957,0.0,-1.942399,-0.273701,Cinedigm Corp,1.82,$64.93M,,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/cidm,
BTX,BioTime Inc,1.38,1.73,2529198.0,1.553457,0.0,2.831286,-0.362402,"BioTime, Inc.",1.73,$265.69M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/btx,
ARCW,阿尔克科技,0.97,1.06,15337.0,1.459388,0.0,0.913806,-0.468724,"ARC Group Worldwide, Inc.",1.06,$24.75M,,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/arcw,
MBOT,Microbot Medical Inc,7.78,8.59,629354.0,2.566404,0.0,6.100041,-2.388245,Microbot Medical Inc. ,8.59,$37M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/mbot,
EDGE,Edge Therapeutics,0.46,0.5036,1158720.0,2.93321,0.0,0.531795,-1.308103,"Edge Therapeutics, Inc.",0.5036,$15.87M,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/edge,
AUMN,黄金矿业,0.3,0.33,173960.0,1.328554,0.0,4.165484,-0.02069,Golden Minerals Company,0.33,$31.81M,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aumn,
ISIG,Insignia Systems,1.27,1.3299,36875.0,2.423308,11.194445,0.973588,0.1188,"Insignia Systems, Inc.",1.3299,$15.89M,1991.0,Consumer Services,Advertising,https://www.nasdaq.com/symbol/isig,
TLRA,"Telaria, Inc.",5.45,5.96,3562752.0,1.689868,0.0,4.658854,-0.182627,"Telaria, Inc.",5.96,$253.42M,2013.0,Technology,Advertising,https://www.nasdaq.com/symbol/tlra,
PCTI,PC-Tel,5.11,5.35,175677.0,1.469584,0.0,1.322342,-0.75,"PC-Tel, Inc.",5.35,$98.1M,1999.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/pcti,
AKAO,Achaogen Inc,0.53,0.5633,2570970.0,0.774638,0.0,1.436396,-4.120788,"Achaogen, Inc.",0.5633,$27.15M,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akao,
SBOW,SilverBow Resources Inc,20.82,22.54,127733.0,2.600618,3.555205,0.959008,6.34,"SilverBow Resorces, Inc.",22.54,$263.56M,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sbow,
DOMO,Domo Inc.,37.97,41.71,4153874.0,1.924013,0.0,24.671655,-9.433243,"Domo, Inc.",41.71,$1.1B,2018.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/domo,
DVCR,Diversicare Healthcare Services,3.82,4.29,11148.0,1.660757,0.0,-23.342785,-1.160703,Diversicare Healthcare Services Inc.,4.29,$27.96M,,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/dvcr,
LEVB,Level Brands Inc.,4.08,4.48,169811.0,1.351598,0.0,2.709016,-0.053221,"Level Brands, Inc.",4.48,$45.56M,2017.0,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/levb,
RIOT,"Riot Blockchain, Inc.",3.42,3.73,1376070.0,1.719689,0.0,3.438705,-4.529852,"Riot Blockchain, Inc",3.73,$54.83M,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/riot,
CPSH,CPS Technologies Corp,1.49,1.6,123884.0,2.41977,0.0,3.620156,-0.280628,CPS Technologies Corp.,1.6,$21.13M,,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cpsh,
VFF,Village Farms International Inc,13.09,14.31,1656133.0,0.966815,0.0,0.0,0.0,"Village Farms International, Inc.",14.31,$681.77M,,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/vff,
UTI,Universal Technical Institute In,3.015,3.32,54576.0,2.341032,0.0,1.707208,-1.76787,Universal Technical Institute Inc,3.32,$84.21M,2003.0,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/uti,
MRKR,"Marker Therapeutics, Inc.",5.34,5.86,298094.0,1.48507,0.0,385.06152,-1.288557,"Marker Therapeutics, Inc.",5.86,$265.87M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrkr,
GDP,古德里奇,12.3,13.6,86344.0,3.003249,104.615388,2.564922,0.13,Goodrich Petroleum Corporation,13.6,$165.26M,2017.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gdp,
ORN,Orion Marine Group,3.79,4.15,607825.0,2.819374,12.516664,0.509625,0.331558,"Orion Group Holdings, Inc.",4.15,$120.21M,,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/orn,
BRFS,BRF SA,5.6,5.9,10250171.0,2.220071,0.0,0.687381,-1.422025,BRF S.A.,5.9,$4.79B,,Consumer Non-Durables,Meat/Poultry/Fish,https://www.nasdaq.com/symbol/brfs,
TWI,Titan International Inc,4.69,5.12,1343822.0,1.516422,85.333335,1.099902,0.06,"Titan International, Inc.",5.12,$306.93M,,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/twi,
SPEX,Spherix Incorporated,0.879389,0.8784,380714.0,3.08217,4.182877,0.620248,0.209999,Spherix Incorporated,0.8784,$7.5M,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/spex,
ODT,Odonate Therapeutics LLC,21.65,23.75,316694.0,2.135686,0.0,5.124443,-3.636617,"Odonate Therapeutics, Inc.",23.75,$635.38M,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/odt,
NRCG,Hennessy Capital Acquisition Corp. III,8.2,8.97,118380.0,3.599621,0.149163,-14.49789,60.135723,NRC Group Holdings Corp.,8.97,$331.02M,2017.0,Basic Industries,Environmental Services,https://www.nasdaq.com/symbol/nrcg,
ABEO,Abeona Therapeutics Inc,7.5,8.1,657130.0,1.641262,0.0,2.58478,-0.959103,Abeona Therapeutics Inc.,8.1,$388.35M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,
HUYA,虎牙,24.75,26.71,6387886.0,1.510309,0.0,6.474073,-2.184348,HUYA Inc.,26.71,$5.44B,2018.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/huya,
ORTX,Orchard Therapeutics Plc,14.73,16.25,61146.0,1.436688,0.0,-7.571217,-13.684727,Orchard Therapeutics plc,16.25,$1.37B,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ortx,
GSHD,Goosehead Insurance,24.46,27.04,349278.0,1.505699,0.0,4.721274,-0.66,"Goosehead Insurance, Inc.",27.04,$981.17M,2018.0,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/gshd,
MKSI,MKS仪器,82.15,87.74,1251278.0,1.850021,12.288516,2.538619,7.14,"MKS Instruments, Inc.",87.74,$4.76B,1999.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mksi,
RLM,Realm Therapeutics plc,3.01,3.28,29350.0,3.07362,0.0,15.745791,-0.175404,Realm Therapeutics plc,3.28,$15.29M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rlm,
ODC,美国石油勘探,28.79,31.33,35668.0,2.727954,24.687914,1.784851,1.269042,Oil-Dri Corporation Of America,31.33,$236.96M,,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/odc,
HSDT,"Helius Medical Technologies, Inc.",6.5,7.13,129013.0,2.05603,0.0,18.73755,-1.26,"Helius Medical Technologies, Inc.",7.13,$181.81M,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/hsdt,
SOXL,三倍做多半导体ETF-Direxion Daily,131.48,137.79,1526958.0,1.875806,0.0,0.0,0.0,,,,,,,,
SVBI,Severn Bancorp Inc,8.78,9.34,97841.0,3.005702,13.940319,1.20683,0.669999,Severn Bancorp Inc,9.34,$118.82M,,Finance,Major Banks,https://www.nasdaq.com/symbol/svbi,
ELF,e.l.f. Beauty Inc.,8.61,9.24,892359.0,1.058863,28.875089,1.967017,0.319999,"e.l.f. Beauty, Inc.",9.24,$451.1M,2016.0,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/elf,
AQMS,"Aqua Metals, Inc.",3.9,4.18,1460974.0,1.881462,0.0,3.701807,-1.178574,"Aqua Metals, Inc.",4.18,$185.42M,2015.0,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/aqms,
TEUM,Pareteum Corp,4.8,5.21,6122058.0,0.778627,0.0,3.87709,-0.201011,Pareteum Corporation,5.21,$563.43M,,Technology,EDP Services,https://www.nasdaq.com/symbol/teum,
TTPH,Tetraphase Pharmaceuticals Inc.,1.33,1.41,2128287.0,2.603487,0.0,0.948925,-1.374071,"Tetraphase Pharmaceuticals, Inc.",1.41,$75.61M,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ttph,
LUNA,Luna Innovations Incorporated,3.91,4.24,403527.0,2.687067,10.887651,1.901033,0.389432,Luna Innovations Incorporated,4.24,$118.54M,2006.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/luna,
PNRG,PrimeEnergy Corporation,159.33,164.8,1092.0,0.502023,16.633691,3.512161,9.907602,PrimeEnergy Resources Corporation,164.8,$337.75M,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pnrg,
EDRY,EuroDry Ltd.,7.51,7.75,15319.0,0.943823,31.206838,0.405833,0.248343,EuroDry Ltd.,7.75,$17.47M,,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/edry,
MTNB,"Matinas BioPharma Holdings, Inc",1.16,1.3,4907769.0,2.923604,0.0,-105.724691,-0.158264,"Matinas Biopharma Holdings, Inc.",1.3,$146.1M,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtnb,
CLRB,Cellectar Biosciences Inc.,2.16,2.34,848909.0,3.079712,0.0,1.037087,-5.226525,"Cellectar Biosciences, Inc.",2.34,$11.13M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clrb,
CBK,克里斯托弗·班克斯,0.39,0.39,308193.0,0.75591,0.0,0.729718,-0.88,Christopher & Banks Corporation,0.39,$14.99M,,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/cbk,
ENSV,Enservco Corp,0.5,0.5275,113317.0,1.400445,0.0,5.703059,-0.139375,ENSERVCO Corporation,0.5275,$28.67M,,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ensv,
ULTA,Ulta Salon,327.97,338.41,3882889.0,2.542669,30.933274,11.027153,10.94,"Ulta Beauty, Inc.",338.41,$20.07B,2007.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/ulta,
CKPT,"Checkpoint Therapeutics, Inc.",3.01,3.27,28286.0,1.002765,0.0,5.056184,-1.157526,"Checkpoint Therapeutics, Inc.",3.27,$111.33M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ckpt,
AGM.A,联邦农业抵押贷款,71.23,76.35,7650.0,4.459601,8.646659,1.486962,8.83,Federal Agricultural Mortgage Corporation,,,,,,https://www.nasdaq.com/symbol/agm.a,
AVGO,安华高科技,286.46,290.29,14406587.0,2.671036,10.948785,4.951128,26.513443,Broadcom Inc.,290.29,$114.99B,2009.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/avgo,
SREV,ServiceSource International,0.97,1.04,841116.0,1.929687,0.0,0.949125,-0.271563,"ServiceSource International, Inc.",1.04,$96.65M,2011.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/srev,
LIVX,"LiveXLive Media, Inc.",5.77,6.22,453178.0,3.24808,0.0,21.981289,-0.722336,"LiveXLive Media, Inc.",6.22,$324.03M,,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/livx,
MOXC,魔线,0.7801,0.84,135346.0,1.523731,0.0,-5.452273,-0.099563,"Moxian, Inc.",0.84,$56.58M,,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/moxc,
LINC,林肯教育服务,2.94,3.19,24187.0,2.526902,0.0,2.009539,-0.269999,Lincoln Educational Services Corporation,3.19,$78.61M,2005.0,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/linc,
HTHT,华住,39.02,39.04,7829695.0,2.314847,57.902574,12.371076,0.674236,Huazhu Group Limited,39.04,$11.36B,2010.0,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/htht,
AXU,Alexco Resource Corp,1.27,1.34,337694.0,0.911598,0.0,1.695881,-0.04,Alexco Resource Corp,1.34,$145.17M,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu,
TTI,Tetra Technologies Inc,2.36,2.55,2265798.0,2.516731,0.0,1.847486,-0.496506,"Tetra Technologies, Inc.",2.55,$320.35M,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tti,
MACK,Merrimack Pharmaceuticals,6.73,7.24,120653.0,2.078683,0.0,1.642356,-3.035749,"Merrimack Pharmaceuticals, Inc.",7.24,$96.6M,2012.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mack,
TGC,Tengasco Inc,1.02,1.08,3719.0,0.390127,6.439303,1.682594,0.16772,"Tengasco, Inc.",1.08,$11.49M,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tgc,
WOW,Wideopenwest Inc.,8.69,9.18,786959.0,1.951806,0.0,-2.613915,-1.11,"WideOpenWest, Inc.",9.18,$758.82M,2017.0,Consumer Services,Television Services,https://www.nasdaq.com/symbol/wow,
FGP,法瑞加合作伙伴,1.28,1.35,636164.0,1.203605,0.0,-0.130348,-2.226484,"Ferrellgas Partners, L.P.",1.35,$131.16M,1994.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/fgp,
CIR,Circor国际,29.68,32.01,560933.0,2.414538,0.0,1.201593,-1.99,"CIRCOR International, Inc.",32.01,$635.63M,,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/cir,
CUTR,古特拉,17.02,18.3,383226.0,1.812823,0.0,5.485278,-2.234405,"Cutera, Inc.",18.3,$254.44M,2004.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/cutr,
IMTE,Integrated Media Technology Limited,8.8,9.5,11983.0,0.919816,0.0,2.107487,-0.580724,Integrated Media Technology Limited,9.5,$25.35M,,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/imte,
HAIR,Restoration Robotics Inc,1.38,0.9,22601040.0,4.578487,0.0,3.930893,-0.740253,"Restoration Robotics, Inc.",0.9,$36.61M,2017.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/hair,
EKSO,Ekso Bionics Holdings Inc,2.3,2.48,742444.0,2.153465,0.0,58.41498,-0.440836,"Ekso Bionics Holdings, Inc.",2.48,$159.36M,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ekso,
UUU,Universal Security Instruments I,1.2902,1.38,115370.0,1.165926,0.0,0.289421,-0.697429,"Universal Security Instruments, Inc.",1.38,$3.19M,,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/uuu,
BDSI,BioDelivery科学国际有限公司,4.99,4.98,1988292.0,1.529389,0.0,11.857279,-0.73406,"BioDelivery Sciences International, Inc.",4.98,$352.04M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bdsi,
