,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sz002763,,,,,71.70%,65.30%,59.45%,55.67%,19.57%,16.28%,17.73%,,,,,8.24%,7.48%,7.34%,8.03%,8.77%,9.67%,11.23%,,,,,28.47%,20.80%,18.88%,20.03%,15.02%,11.76%,13.26%,,,,,1.66次,0.88次,0.97次,1.05次,1.08次,1.06次,1.02次
sz300115,,,30.43%,9.64%,12.87%,24.09%,24.89%,47.78%,33.91%,48.79%,53.84%,,,19.65%,19.05%,20.30%,15.65%,13.17%,12.51%,11.68%,11.44%,6.99%,,,26.98%,15.12%,12.63%,13.35%,13.97%,15.85%,15.62%,18.76%,13.69%,,,0.87次,0.55次,0.55次,0.69次,0.79次,0.74次,0.86次,0.92次,0.92次
sz300595,,,,,,9.37%,10.47%,8.62%,14.58%,11.63%,11.95%,,,,,,43.99%,27.25%,48.46%,50.13%,48.46%,47.68%,,,,,,35.99%,21.73%,38.63%,40.04%,38.56%,21.40%,,,,,,1.18次,0.65次,0.70次,0.70次,0.72次,0.49次
sz300403,,,53.39%,36.29%,21.87%,18.61%,19.51%,7.89%,9.93%,9.78%,11.00%,,,5.47%,12.76%,18.97%,18.74%,19.91%,20.19%,20.84%,24.86%,20.44%,,,19.65%,66.48%,36.45%,30.54%,26.86%,22.45%,12.10%,15.25%,11.24%,,,3.05次,1.76次,1.34次,1.30次,1.22次,0.73次,0.54次,0.53次,0.49次
sz000906,,,79.86%,65.96%,68.01%,64.24%,67.40%,73.69%,70.61%,74.18%,74.74%,,,0.30%,0.58%,0.36%,0.08%,0.38%,0.35%,0.36%,0.36%,0.37%,,,4.93%,11.07%,7.87%,2.01%,6.92%,6.92%,6.78%,7.63%,9.76%,,,4.93次,5.75次,6.25次,6.06次,5.76次,4.50次,3.66次,4.96次,5.37次
sh601811,,,,,37.14%,38.49%,34.98%,34.06%,32.61%,32.32%,35.24%,,,,,10.96%,12.07%,11.21%,11.29%,10.73%,9.91%,12.48%,,,,,10.96%,12.96%,12.03%,11.19%,9.83%,8.22%,11.29%,,,,,1.19次,0.57次,0.62次,0.62次,0.58次,0.55次,0.60次
sz000532,,,18.94%,20.56%,18.35%,13.76%,18.73%,21.32%,36.59%,58.22%,62.89%,,,23.14%,9.32%,18.67%,29.99%,34.20%,26.63%,25.63%,17.46%,13.52%,,,6.86%,3.85%,3.78%,6.62%,7.95%,4.60%,5.45%,5.83%,6.63%,,,0.21次,0.23次,0.19次,0.20次,0.21次,0.16次,0.18次,0.19次,0.22次
sz300659,,,,,,47.41%,43.65%,42.27%,41.96%,34.68%,24.86%,,,,,,20.18%,23.66%,3.66%,23.62%,22.40%,17.29%,,,,,,32.53%,46.94%,4.94%,40.92%,35.19%,16.56%,,,,,,1.54次,1.16次,0.71次,0.98次,0.88次,0.72次
sz300402,,,71.78%,69.22%,70.09%,65.22%,62.59%,53.60%,54.18%,55.19%,52.98%,,,4.94%,7.04%,7.24%,7.51%,7.27%,6.72%,0.62%,-39.45%,2.39%,,,13.84%,14.64%,17.05%,14.97%,13.45%,8.75%,0.60%,-15.42%,1.76%,,,0.79次,0.61次,0.72次,0.64次,0.67次,0.50次,0.44次,0.18次,0.34次
sh603833,,,,,72.11%,69.00%,58.94%,54.70%,50.64%,48.04%,35.62%,,,,,3.97%,7.26%,6.17%,8.11%,8.61%,13.22%,13.38%,,,,,26.45%,43.25%,37.15%,28.12%,28.44%,39.45%,25.75%,,,,,3.02次,1.66次,1.64次,1.50次,1.52次,1.51次,1.28次
sh600612,,,63.24%,65.59%,65.59%,64.24%,58.57%,59.99%,53.06%,57.14%,49.99%,,,2.18%,2.98%,3.23%,3.11%,3.43%,3.74%,3.98%,3.91%,3.69%,,,14.96%,21.36%,28.20%,24.58%,28.71%,25.56%,26.09%,21.83%,21.13%,,,3.28次,3.13次,3.31次,3.16次,3.62次,3.14次,3.09次,2.73次,2.90次
sz002928,,,,,,,91.59%,85.85%,80.32%,78.06%,79.03%,,,,,,,11.34%,9.58%,14.51%,13.52%,10.85%,,,,,,,103.57%,63.34%,68.56%,55.56%,38.50%,,,,,,,1.10次,0.76次,0.83次,0.83次,0.76次
sz300008,,,8.95%,14.44%,17.69%,16.72%,16.42%,36.13%,44.55%,23.58%,40.26%,,,34.28%,30.41%,22.50%,6.78%,2.97%,4.86%,4.25%,8.83%,11.94%,,,23.69%,13.50%,15.35%,4.56%,2.30%,6.60%,6.39%,6.56%,5.18%,,,0.40次,0.38次,0.53次,0.40次,0.37次,0.86次,0.79次,0.58次,0.36次
sh601238,,,34.42%,32.56%,32.03%,35.18%,41.06%,42.05%,41.28%,45.38%,41.13%,,,46.04%,63.13%,37.94%,8.21%,13.52%,13.08%,13.62%,12.74%,15.12%,,,0.00%,0.00%,15.65%,3.68%,8.28%,9.27%,11.43%,15.39%,21.49%,,,0.25次,0.25次,0.27次,0.28次,0.35次,0.37次,0.45次,0.66次,0.71次
sz002423,,,45.57%,30.93%,32.77%,37.42%,39.74%,42.53%,47.67%,51.52%,54.11%,,,8.08%,6.81%,5.22%,3.86%,0.18%,-3.83%,-22.35%,0.59%,-26.51%,,,14.77%,6.49%,4.91%,3.93%,0.13%,-2.60%,-11.06%,0.28%,-15.17%,,,0.93次,0.62次,0.65次,0.66次,0.45次,0.37次,0.27次,0.24次,0.27次
sz300336,,,43.43%,45.23%,50.79%,16.72%,19.84%,25.18%,28.33%,36.31%,41.23%,,,17.00%,26.95%,19.38%,23.45%,23.78%,19.56%,24.20%,23.68%,19.97%,,,13.73%,29.00%,32.91%,18.52%,13.01%,12.68%,10.24%,9.73%,8.47%,,,0.99次,0.57次,0.88次,0.53次,0.44次,0.48次,0.40次,0.27次,0.26次
sz300713,,,,,,,25.23%,28.72%,50.48%,30.65%,21.78%,,,,,,,15.73%,22.37%,23.68%,25.13%,22.14%,,,,,,,16.14%,28.71%,53.38%,50.68%,24.21%,,,,,,,1.42次,0.93次,1.26次,1.22次,0.61次
sh603355,,,,,64.80%,58.47%,56.90%,49.62%,31.22%,41.59%,37.28%,,,,,8.89%,9.85%,8.64%,8.13%,9.08%,11.44%,6.40%,,,,,29.44%,36.08%,28.23%,25.72%,17.32%,18.13%,11.77%,,,,,2.67次,1.42次,1.38次,1.48次,1.19次,0.99次,1.11次
sz000551,,,51.48%,46.54%,47.89%,48.86%,49.78%,46.30%,48.21%,48.67%,49.67%,,,7.10%,5.05%,3.41%,1.95%,4.17%,3.46%,2.89%,4.70%,5.21%,,,11.07%,7.56%,3.03%,0.40%,3.24%,2.38%,1.83%,3.69%,4.06%,,,0.88次,0.90次,0.81次,0.63次,0.67次,0.68次,0.65次,0.62次,0.63次
sh600449,,,49.40%,55.39%,46.36%,45.94%,43.66%,44.65%,42.82%,42.71%,34.40%,,,25.86%,24.26%,13.79%,3.15%,8.90%,8.47%,1.72%,2.59%,8.69%,,,23.51%,24.11%,9.75%,1.62%,7.62%,6.55%,0.47%,1.38%,7.72%,,,0.53次,0.46次,0.40次,0.42次,0.54次,0.48次,0.40次,0.47次,0.57次
sh600566,,,38.67%,39.72%,45.23%,50.57%,42.79%,31.68%,24.34%,26.07%,33.93%,,,3.48%,3.58%,3.30%,-21.65%,16.45%,17.39%,18.13%,19.97%,21.69%,,,1.52%,1.64%,1.52%,-6.83%,42.35%,26.20%,28.57%,29.95%,31.78%,,,0.27次,0.28次,0.26次,0.16次,1.63次,1.11次,1.09次,1.09次,0.97次
sz300610,,,,,,41.67%,27.61%,25.73%,16.40%,19.00%,16.05%,,,,,,8.45%,6.73%,7.01%,8.36%,9.45%,11.22%,,,,,,23.38%,14.95%,14.80%,14.85%,15.38%,12.97%,,,,,,3.23次,1.58次,1.55次,1.37次,1.32次,1.08次
sz002922,,,,,,,42.28%,61.07%,44.35%,46.98%,35.07%,,,,,,,5.07%,3.35%,15.89%,8.09%,6.78%,,,,,,,9.85%,7.29%,38.77%,16.52%,16.27%,,,,,,,2.15次,1.09次,1.08次,1.10次,1.05次
sh600718,,,31.18%,33.15%,36.72%,38.30%,41.17%,42.06%,47.23%,31.45%,29.75%,,,15.63%,10.27%,7.36%,6.26%,5.16%,3.13%,3.95%,22.04%,12.48%,,,17.21%,11.67%,9.34%,9.32%,7.88%,4.77%,6.93%,26.76%,12.78%,,,0.71次,0.76次,0.78次,0.85次,0.83次,0.82次,0.71次,0.65次,0.58次
sh600249,,,23.14%,28.02%,36.46%,34.34%,39.36%,44.35%,44.59%,38.59%,35.04%,,,2.26%,0.74%,0.24%,2.81%,0.78%,-2.73%,-17.06%,-0.43%,-11.18%,,,0.64%,0.42%,0.77%,0.74%,0.54%,1.11%,-7.53%,1.31%,-7.49%,,,0.20次,0.25次,0.34次,0.38次,0.36次,0.32次,0.34次,0.43次,0.49次
sz000670,,,12.97%,32.64%,29.77%,21.90%,35.44%,29.01%,21.40%,11.48%,18.02%,,,5.33%,10.79%,3.86%,2.08%,4.16%,2.79%,5.10%,4.88%,-135.60%,,,1.81%,5.13%,1.04%,1.17%,2.70%,4.51%,4.13%,3.76%,-61.18%,,,0.50次,0.36次,0.19次,0.40次,0.30次,0.30次,0.51次,0.62次,0.38次
sz000629,,,71.97%,72.58%,52.57%,50.45%,57.74%,76.76%,82.59%,62.50%,56.66%,,,-4.25%,2.45%,0.02%,3.84%,3.60%,-35.59%,-21.22%,-61.92%,9.75%,,,-9.90%,6.92%,0.01%,4.00%,3.68%,-29.56%,-0.23%,-1.05%,22.34%,,,0.95次,0.75次,1.15次,0.50次,0.47次,0.38次,0.21次,0.32次,0.94次
sz002366,,,46.35%,17.39%,18.13%,22.32%,19.86%,20.22%,65.43%,61.52%,58.34%,,,15.54%,9.76%,8.38%,3.20%,4.00%,6.15%,6.89%,34.43%,41.91%,,,34.96%,12.78%,8.01%,4.31%,4.01%,4.85%,1.70%,24.61%,44.64%,,,1.21次,0.97次,0.76次,0.63次,0.65次,0.63次,0.15次,0.26次,0.40次
sz300530,,,,,20.51%,10.38%,3.55%,3.48%,7.24%,5.56%,8.74%,,,,,30.52%,27.15%,29.05%,28.17%,31.23%,35.62%,38.62%,,,,,41.26%,27.28%,23.64%,19.17%,16.18%,14.26%,11.24%,,,,,1.49次,0.85次,0.76次,0.66次,0.49次,0.35次,0.27次
sh600283,,,56.27%,53.55%,60.28%,67.38%,70.65%,75.13%,64.62%,66.28%,54.45%,,,8.69%,22.85%,12.61%,0.84%,1.30%,-1.37%,-4.64%,13.82%,29.38%,,,5.46%,11.61%,6.66%,1.91%,2.04%,1.84%,2.56%,3.37%,4.09%,,,0.23次,0.21次,0.20次,0.22次,0.21次,0.20次,0.17次,0.15次,0.19次
sh600195,,,44.15%,40.33%,25.11%,27.49%,23.62%,25.96%,23.57%,38.74%,37.07%,,,12.73%,12.85%,16.27%,7.80%,6.79%,7.03%,6.64%,9.07%,10.46%,,,18.72%,22.25%,25.01%,11.41%,10.90%,10.42%,9.08%,10.32%,11.11%,,,0.94次,0.98次,1.00次,1.08次,1.08次,1.01次,0.98次,0.76次,0.66次
sz000839,,,45.24%,44.53%,45.77%,49.51%,50.57%,42.02%,37.01%,54.54%,55.64%,,,31.41%,13.49%,9.17%,8.78%,6.33%,7.98%,12.53%,5.81%,6.89%,,,11.33%,4.49%,2.51%,2.93%,2.25%,3.23%,5.26%,3.48%,3.87%,,,0.19次,0.19次,0.16次,0.18次,0.18次,0.21次,0.25次,0.30次,0.28次
sh600717,,,39.83%,39.12%,36.58%,37.89%,42.98%,45.37%,43.11%,37.04%,42.24%,,,8.59%,9.51%,10.13%,10.40%,9.08%,6.46%,10.95%,13.80%,8.70%,,,6.87%,8.00%,8.67%,8.73%,8.67%,8.77%,8.73%,8.47%,4.78%,,,0.47次,0.53次,0.56次,0.56次,0.60次,0.80次,0.46次,0.40次,0.42次
sh603367,,,,,14.61%,22.88%,26.94%,29.42%,30.83%,29.94%,21.46%,,,,,15.47%,13.84%,9.39%,9.17%,9.84%,9.54%,12.34%,,,,,20.31%,19.58%,12.68%,12.00%,12.40%,11.28%,13.32%,,,,,1.95次,1.13次,1.00次,0.94次,0.87次,0.81次,0.74次
sh603655,,,,,,,18.57%,22.19%,15.88%,10.70%,7.33%,,,,,,,25.46%,24.00%,22.14%,19.31%,18.81%,,,,,,,23.32%,18.57%,17.47%,11.18%,11.71%,,,,,,,1.34次,0.61次,0.55次,0.50次,0.46次
sh600488,,,40.69%,44.12%,30.20%,29.06%,25.25%,17.31%,19.27%,17.03%,26.94%,,,7.56%,8.23%,6.71%,6.02%,3.51%,6.24%,5.61%,5.30%,8.24%,,,4.39%,5.86%,5.73%,5.80%,2.12%,3.70%,3.28%,2.61%,4.46%,,,0.34次,0.41次,0.53次,0.67次,0.53次,0.46次,0.47次,0.40次,0.54次
sh600152,,,71.31%,70.83%,64.42%,64.85%,62.49%,64.47%,52.67%,46.44%,48.62%,,,0.55%,2.20%,4.86%,-4.53%,0.30%,-20.68%,4.81%,-12.79%,0.64%,,,2.69%,6.51%,10.57%,-17.39%,3.66%,-32.08%,7.64%,-11.33%,1.79%,,,0.71次,1.05次,1.32次,0.97次,0.90次,0.61次,0.48次,0.44次,0.85次
sh603166,,,78.57%,80.82%,79.05%,76.04%,74.61%,65.19%,43.52%,41.00%,33.28%,,,8.83%,11.66%,12.20%,11.68%,11.05%,9.10%,5.39%,9.87%,10.21%,,,28.20%,37.18%,38.10%,21.70%,19.72%,14.53%,4.98%,4.93%,6.48%,,,1.33次,0.79次,0.62次,0.42次,0.45次,0.42次,0.29次,0.29次,0.40次
sz000017,,,"1,196.67%","1,371.14%","1,339.69%","1,150.97%",94.92%,73.79%,70.81%,68.05%,74.36%,,,-40.69%,21.56%,12.37%,-17.80%,581.26%,2.73%,-0.06%,2.74%,1.15%,,,0.00%,--,--,3.09%,--,51.72%,-1.17%,19.93%,10.11%,,,1.45次,1.94次,2.34次,1.96次,1.73次,2.09次,3.51次,2.84次,2.15次
sz000936,,,51.97%,44.38%,37.54%,33.26%,30.97%,32.07%,24.72%,43.02%,57.85%,,,4.29%,6.27%,4.93%,5.90%,2.62%,3.22%,4.74%,28.85%,7.23%,,,7.45%,13.62%,7.94%,7.62%,2.42%,3.07%,3.53%,15.88%,4.17%,,,0.90次,1.03次,1.07次,0.88次,0.76次,0.65次,0.55次,0.34次,0.29次
sz300606,,,,,39.96%,34.51%,35.73%,30.55%,27.68%,23.09%,15.07%,,,,,13.34%,11.90%,14.32%,12.65%,15.76%,18.25%,21.30%,,,,,51.30%,24.68%,25.27%,18.41%,17.20%,18.07%,12.61%,,,,,2.23次,1.07次,1.00次,0.97次,0.78次,0.74次,0.57次
sz300292,,,60.84%,60.76%,57.99%,25.96%,31.52%,32.46%,21.73%,24.12%,22.06%,,,9.33%,13.48%,14.08%,8.10%,5.95%,7.10%,11.15%,8.47%,8.93%,,,25.63%,27.34%,30.63%,7.14%,5.07%,9.18%,10.09%,6.80%,8.53%,,,0.98次,0.86次,0.89次,0.66次,0.57次,0.73次,0.67次,0.62次,0.74次
sz000619,,,24.72%,35.63%,45.17%,45.74%,41.40%,35.38%,32.13%,31.21%,25.22%,,,6.20%,4.63%,2.84%,5.51%,3.97%,3.13%,3.44%,2.74%,0.48%,,,12.71%,8.52%,4.16%,9.61%,6.22%,4.66%,3.95%,3.10%,0.37%,,,1.46次,1.29次,1.10次,0.98次,0.92次,0.93次,0.86次,0.82次,0.84次
sz002466,,,38.85%,9.13%,12.34%,35.53%,48.45%,22.58%,45.82%,48.29%,40.39%,,,11.96%,13.21%,9.99%,10.52%,-31.90%,19.79%,22.81%,45.76%,47.74%,,,14.97%,8.06%,4.13%,4.19%,-14.11%,3.73%,8.24%,39.41%,35.71%,,,0.81次,0.41次,0.37次,0.29次,0.26次,0.36次,0.27次,0.42次,0.38次
sh603199,,,,,57.14%,51.18%,48.00%,41.46%,13.07%,11.83%,14.22%,,,,,16.58%,16.08%,16.29%,16.07%,17.63%,18.46%,18.57%,,,,,17.08%,15.63%,14.09%,13.06%,8.92%,7.99%,8.37%,,,,,0.81次,0.44次,0.43次,0.45次,0.41次,0.38次,0.39次
sh600062,,,25.06%,24.58%,28.53%,27.68%,17.66%,14.12%,17.12%,14.60%,16.84%,,,9.20%,9.93%,8.66%,9.02%,12.78%,12.70%,12.94%,13.45%,13.74%,,,13.77%,14.13%,12.96%,13.85%,17.56%,9.87%,10.50%,11.15%,11.91%,,,1.12次,1.08次,1.13次,1.11次,1.05次,0.65次,0.71次,0.69次,0.73次
sz300231,,,36.86%,30.14%,11.57%,22.11%,20.34%,23.80%,25.29%,38.57%,46.89%,,,15.07%,16.94%,17.55%,11.98%,12.37%,11.80%,12.41%,11.04%,13.18%,,,40.48%,37.49%,18.59%,13.26%,14.05%,15.37%,19.78%,21.39%,18.45%,,,1.38次,1.48次,0.88次,0.91次,0.89次,1.01次,1.13次,1.26次,0.78次
sh603968,,,,,66.43%,64.37%,63.15%,58.32%,35.19%,27.58%,26.37%,,,,,6.58%,5.02%,4.95%,7.00%,8.36%,11.11%,9.68%,,,,,18.89%,16.21%,13.93%,19.84%,12.34%,12.80%,12.53%,,,,,1.85次,1.12次,1.01次,1.13次,0.85次,0.78次,0.93次
sz002296,,,17.72%,16.09%,26.64%,35.97%,17.11%,28.00%,32.27%,30.99%,37.19%,,,32.69%,34.25%,28.34%,10.19%,21.36%,19.09%,13.24%,16.53%,-26.76%,,,19.48%,14.42%,14.64%,2.67%,9.14%,6.83%,5.28%,5.72%,-10.36%,,,0.34次,0.34次,0.40次,0.28次,0.26次,0.28次,0.28次,0.24次,0.24次
sz002041,,,39.20%,33.36%,25.97%,28.73%,25.81%,26.49%,25.89%,18.05%,15.44%,,,31.85%,41.00%,35.80%,36.19%,37.53%,36.18%,32.10%,32.61%,16.97%,,,13.16%,24.74%,22.57%,20.81%,22.60%,20.84%,17.35%,17.93%,6.08%,,,0.43次,0.53次,0.54次,0.45次,0.47次,0.40次,0.37次,0.37次,0.18次
sh600804,,,26.11%,17.98%,45.10%,56.44%,64.73%,67.73%,70.14%,68.85%,68.77%,,,13.99%,10.63%,8.02%,8.12%,7.01%,7.67%,9.06%,8.58%,9.39%,,,11.77%,4.72%,4.54%,5.68%,10.10%,11.63%,14.04%,12.98%,11.43%,,,0.64次,0.51次,0.40次,0.33次,0.55次,0.50次,0.47次,0.45次,0.37次
sh600353,,,34.22%,35.04%,19.91%,17.13%,18.22%,20.73%,23.40%,24.00%,29.09%,,,5.69%,19.91%,0.79%,26.62%,19.55%,12.03%,8.17%,5.96%,4.18%,,,4.47%,14.75%,0.42%,13.69%,9.08%,6.49%,4.87%,4.15%,2.58%,,,0.52次,0.48次,0.45次,0.42次,0.38次,0.45次,0.60次,0.63次,0.64次
sz002368,,,75.13%,48.07%,46.63%,57.56%,51.31%,51.31%,62.51%,68.01%,67.37%,,,3.67%,4.40%,4.90%,4.58%,5.35%,4.66%,4.17%,5.71%,5.40%,,,30.20%,11.08%,10.95%,12.00%,14.48%,10.15%,9.57%,13.28%,11.59%,,,2.00次,1.37次,1.17次,1.23次,1.02次,1.06次,0.97次,0.77次,0.65次
sh603855,,,,,,59.37%,62.59%,60.12%,58.93%,57.23%,40.79%,,,,,,11.74%,11.17%,11.15%,9.90%,9.43%,8.52%,,,,,,37.13%,23.03%,22.82%,18.09%,14.92%,11.06%,,,,,,2.00次,0.83次,0.82次,0.74次,0.65次,0.69次
sz002024,,,58.36%,57.08%,61.48%,61.78%,65.10%,64.06%,63.75%,49.02%,46.83%,,,5.13%,5.44%,5.20%,2.55%,0.10%,0.76%,0.56%,0.33%,2.15%,,,28.44%,24.48%,23.68%,10.61%,1.31%,3.01%,2.87%,1.41%,5.76%,,,2.03次,1.89次,1.81次,1.45次,1.33次,1.32次,1.59次,1.32次,1.28次
sz002481,,,58.71%,13.30%,32.46%,38.14%,43.13%,36.68%,38.74%,41.39%,40.27%,,,13.36%,14.51%,11.81%,16.00%,15.19%,13.97%,14.91%,2.74%,1.73%,,,35.23%,17.42%,9.11%,11.06%,11.97%,14.00%,7.15%,2.19%,1.42%,,,0.98次,0.61次,0.58次,0.45次,0.47次,0.38次,0.31次,0.43次,0.47次
sh600228,,,60.91%,79.12%,73.74%,87.31%,106.17%,74.33%,72.33%,77.33%,62.29%,,,-10.91%,-14.89%,2.22%,-20.91%,-28.61%,5.56%,-4.02%,-10.11%,2.45%,,,-27.18%,-71.46%,11.08%,-220.94%,--,--,-35.27%,-88.80%,67.49%,,,0.70次,0.97次,1.06次,0.88次,0.94次,1.12次,0.96次,0.89次,1.43次
sh600455,,,82.77%,83.36%,82.34%,79.68%,76.43%,75.34%,73.11%,74.08%,73.27%,,,-39.85%,-1.77%,5.85%,6.97%,6.09%,4.89%,3.54%,-4.58%,4.83%,,,-65.50%,-5.00%,16.38%,15.31%,8.80%,4.69%,2.40%,-7.73%,3.48%,,,0.29次,0.37次,0.35次,0.40次,0.35次,0.29次,0.25次,0.24次,0.23次
sz000768,,,42.63%,50.63%,52.28%,58.44%,61.59%,62.06%,54.78%,54.86%,56.68%,,,3.84%,3.58%,1.50%,1.69%,2.12%,1.77%,1.91%,1.74%,1.53%,,,3.52%,3.76%,1.15%,2.18%,3.05%,3.00%,3.01%,2.70%,3.03%,,,0.53次,0.57次,0.43次,0.62次,0.56次,0.64次,0.67次,0.68次,0.78次
sz000687,,,23.76%,26.22%,41.58%,43.84%,45.33%,36.65%,56.66%,65.14%,64.30%,,,8.42%,6.66%,7.23%,1.16%,-20.23%,2.00%,-31.09%,9.82%,7.16%,,,5.56%,4.67%,6.94%,0.56%,-10.60%,1.00%,-21.88%,13.13%,8.87%,,,0.50次,0.52次,0.57次,0.37次,0.28次,0.28次,0.34次,0.49次,0.43次
sz002591,,,29.80%,24.63%,6.53%,11.41%,15.19%,16.78%,18.72%,18.08%,13.03%,,,21.73%,23.21%,19.92%,12.04%,9.52%,2.17%,-36.75%,4.98%,-0.55%,,,28.96%,27.75%,10.65%,3.58%,4.31%,0.78%,-9.27%,2.00%,1.43%,,,0.89次,0.79次,0.47次,0.27次,0.39次,0.27次,0.20次,0.16次,0.21次
sh600028,,,53.77%,54.06%,54.91%,55.86%,54.93%,55.41%,45.56%,44.45%,46.47%,,,4.76%,4.02%,3.07%,2.38%,2.48%,1.73%,2.15%,3.06%,2.98%,,,17.25%,17.43%,15.93%,12.80%,12.24%,8.14%,5.04%,6.68%,7.14%,,,1.66次,2.07次,2.37次,2.34次,2.19次,1.99次,1.39次,1.31次,1.53次
sz002080,,,58.79%,48.53%,48.15%,54.74%,59.85%,65.91%,61.40%,59.74%,59.34%,,,12.58%,12.09%,5.33%,5.14%,3.54%,3.90%,5.78%,4.72%,7.89%,,,14.36%,19.81%,5.49%,5.51%,4.47%,6.22%,11.34%,5.55%,9.23%,,,0.73次,0.72次,0.55次,0.53次,0.56次,0.61次,0.73次,0.63次,0.48次
sz000595,,,57.44%,72.20%,75.45%,73.41%,73.86%,72.04%,38.28%,44.82%,59.01%,,,-49.38%,-40.97%,1.50%,2.17%,-36.82%,4.63%,-52.47%,-23.74%,6.39%,,,-28.41%,-54.58%,3.40%,3.69%,-47.85%,7.31%,-26.42%,-11.99%,2.76%,,,0.27次,0.47次,0.59次,0.43次,0.34次,0.42次,0.23次,0.30次,0.28次
sz000761,,,59.44%,58.06%,62.11%,60.04%,63.58%,67.79%,72.02%,75.51%,76.43%,,,-4.34%,2.03%,1.58%,0.16%,0.69%,0.76%,-11.08%,2.80%,3.97%,,,-10.32%,6.35%,5.21%,0.45%,1.75%,1.52%,-24.11%,6.34%,11.84%,,,1.05次,1.29次,1.31次,1.12次,0.99次,0.90次,0.62次,0.60次,0.69次
sz002615,,,52.52%,52.21%,17.42%,18.71%,19.60%,20.49%,27.94%,48.34%,51.04%,,,11.08%,10.02%,9.74%,7.66%,9.52%,9.42%,4.88%,8.72%,7.13%,,,32.35%,34.83%,19.54%,7.35%,10.07%,11.34%,5.87%,17.21%,14.05%,,,1.31次,1.60次,1.07次,0.78次,0.85次,0.96次,0.89次,1.14次,0.92次
sz002180,,,10.43%,10.97%,9.91%,11.58%,11.32%,13.02%,37.53%,91.55%,79.87%,,,18.40%,18.65%,17.01%,8.60%,1.71%,43.68%,14.40%,-4.69%,6.81%,,,6.87%,7.90%,7.57%,3.84%,1.04%,38.55%,23.75%,3.31%,41.31%,,,0.32次,0.37次,0.39次,0.37次,0.32次,0.88次,1.08次,0.21次,0.48次
sz002030,,,26.76%,28.41%,29.44%,31.36%,34.37%,42.48%,36.23%,38.32%,43.09%,,,14.95%,15.76%,14.70%,14.75%,16.03%,14.60%,7.99%,8.43%,6.23%,,,13.57%,14.28%,15.00%,16.96%,20.91%,19.68%,10.09%,7.71%,5.29%,,,0.57次,0.59次,0.63次,0.69次,0.83次,0.79次,0.64次,0.45次,0.35次
sz300304,,,57.46%,27.60%,25.98%,11.58%,14.14%,13.63%,14.45%,18.05%,12.86%,,,17.14%,19.53%,22.66%,23.69%,21.98%,18.85%,16.17%,20.45%,21.89%,,,75.48%,47.06%,35.90%,13.36%,10.90%,8.90%,7.36%,8.05%,8.63%,,,1.84次,1.39次,1.16次,0.59次,0.42次,0.37次,0.35次,0.32次,0.31次
sh600908,95.39%,,94.27%,,92.71%,93.03%,93.10%,93.74%,93.66%,92.88%,93.18%,--,,--,,42.80%,43.57%,45.26%,40.28%,34.17%,35.04%,34.82%,--,,--,,21.40%,18.98%,17.65%,15.83%,12.30%,11.52%,11.04%,0.05次,,0.08次,,0.06次,0.03次,0.03次,0.02次,0.02次,0.02次,0.02次
sz002037,,,48.09%,57.27%,65.14%,60.83%,66.42%,70.85%,72.13%,67.70%,69.22%,,,9.86%,10.17%,10.28%,8.21%,7.54%,6.84%,2.83%,2.34%,2.16%,,,14.83%,18.84%,27.64%,16.69%,12.13%,11.88%,4.15%,3.09%,3.75%,,,1.04次,0.99次,1.04次,0.83次,0.64次,0.56次,0.39次,0.43次,0.61次
sz300394,,,,,7.77%,7.75%,6.03%,5.67%,4.28%,7.22%,8.88%,,,,,43.45%,38.25%,38.40%,44.20%,43.57%,39.21%,32.37%,,,,,46.09%,30.95%,25.20%,31.08%,17.40%,17.04%,14.39%,,,,,1.35次,0.75次,0.61次,0.65次,0.45次,0.41次,0.40次
sh603822,,,,,33.99%,31.25%,38.65%,47.75%,46.57%,35.10%,44.26%,,,,,7.91%,7.62%,5.38%,6.16%,7.59%,8.58%,5.93%,,,,,21.44%,17.29%,10.13%,10.29%,9.99%,7.78%,7.83%,,,,,3.23次,1.53次,1.22次,0.94次,0.70次,0.57次,0.76次
sz002404,,,49.70%,17.26%,18.22%,17.93%,22.14%,31.71%,36.54%,40.27%,44.45%,,,5.59%,5.86%,6.48%,5.88%,4.84%,4.46%,3.21%,4.70%,4.38%,,,18.82%,9.51%,7.73%,7.80%,6.33%,6.29%,4.67%,7.83%,8.61%,,,1.59次,1.39次,1.10次,1.10次,1.09次,1.08次,0.99次,1.03次,1.16次
